bin	completeness	contamination	ncbi_lng
bin.75.fa	13.11	1.99	1-131567-2759-2698737-33634-2696291-2836-33849-33850-33851-33852-2857
bin.15.fa	99.62	0.0	1-131567-2759-33154-4751-451864-4890-716545-147538-716546-147545-451870-34395
bin.7.fa	0.8	0.2	1-131567-2759-2698737-33634-4762-4776-4777
bin.39.fa	0.78	0.0	1-131567-2759-2698737-33630-5878-431838-33829-194286-486728-311384
bin.29.fa	84.6	5.0	1-131567-2759-33090-3041-2692248-75966-2507901-2507902-13786
bin.6.fa	0.0	0.0	1-131567-2759-2698737-33634-2696291-569578-2833-2978-195994-55584
bin.12.fa	0.0	0.0	1-131567-2759-2698737-33630-5878-431838-33829-194286-486728-311384
bin.74.fa	9.64	0.0	1-131567-2759-2698737-33634-2696291-2825-96792-98651
bin.42.fa	0.6	0.2	1-131567-2759-33090-3041-2692248-75966-35460-35461-2511126-3071
bin.25.fa	0.0	0.0	1-131567-2759-554915-2605435-142796-33680-137627-5789-1115744
bin.1.fa	6.02	1.2	1-131567-2759-2698737-33634-2696291-2825-96792-704141-64705
bin.58.fa	48.94	0.0	1-131567-2759-33090-3041-2692248-75966-75981-2511081-1034479
bin.30.fa	6.02	2.41	1-131567-2759-2698737-33630-5878-431838-33829-141411-200604-211026
bin.35.fa	92.48	0.75	1-131567-2759-33154-4751-451864-4890-716545-147538-716546-147547-1520881-388435-5197-157822-78060
bin.21.fa	64.4	2.0	1-131567-2759-33090-3041-2692248-75966-2507901-2507902-13786
bin.48.fa	1.88	0.0	1-131567-2759-2698737-33634-2696291-2825-96792-704141
bin.26.fa	0.0	0.0	1-131567-2759-554915-2605435-142796-33083-2058181-2058184
bin.86.fa	8.43	0.0	1-131567-2759-2698737-33630-5878-431838-33829-141411-200604-211026
bin.83.fa	7.89	0.0	1-131567-2759-2698737-33634-2696291-2825-96792-98651
bin.52.fa	0.45	0.45	1-131567-2759-554915-2605435-142796-33083-2058949-2058185
bin.4.fa	10.68	3.88	1-131567-2759-2698737-33630-2864-89954
bin.33.fa	21.86	11.63	1-131567-2759-2698737-33630-5878-431838-6020-31277-37093-291294
bin.32.fa	0.0	0.0	1-131567-2759-2698737-33630-5878-431838-33829-194286-486728-311384
bin.73.fa	30.0	0.0	1-131567-2759-33090-3041-2692248-75966-75981
bin.60.fa	43.61	2.63	1-131567-2759-33154-4751-451864-4890-716545-147538-716546-147545-451870-34395-43219
bin.37.fa	28.8	1.0	1-131567-2759-33090-3041-2692248-75966-2507901-2507902-13786
bin.82.fa	13.24	2.7	1-131567-2759-2698737-33630-2497438-27997-27998-27999
bin.71.fa	4.35	0.93	1-131567-2759-2698737-33634-2696291-33859-420622-420617-2991
merged.0.fa	91.2	4.8	1-131567-2759-33090-3041-2692248-75966-2507901-2507902-13786
