Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	761	761
OG0000001	564	546
OG0000002	492	492
OG0000003	457	457
OG0000004	434	434
OG0000005	326	326
OG0000006	318	318
OG0000007	81	30
OG0000008	304	304
OG0000009	301	301
OG0000010	295	295
OG0000011	248	248
OG0000012	119	91
OG0000013	229	229
OG0000014	224	224
OG0000015	220	220
OG0000016	220	220
OG0000017	216	216
OG0000018	210	210
OG0000019	198	198
OG0000020	195	195
OG0000021	194	194
OG0000022	186	186
OG0000023	40	21
OG0000024	178	178
OG0000025	74	44
OG0000026	91	70
OG0000027	168	168
OG0000028	162	162
OG0000029	161	161
OG0000030	160	160
OG0000031	85	69
OG0000032	157	157
OG0000033	153	153
OG0000034	59	42
OG0000035	56	40
OG0000036	74	57
OG0000037	152	152
OG0000038	111	82
OG0000039	150	150
OG0000040	147	147
OG0000041	142	142
OG0000042	141	141
OG0000043	137	137
OG0000044	134	134
OG0000045	70	60
OG0000046	132	132
OG0000047	131	131
OG0000048	131	131
OG0000049	68	34
OG0000050	80	68
OG0000051	17	8
OG0000052	67	42
OG0000053	41	35
OG0000054	119	119
OG0000055	119	119
OG0000056	119	119
OG0000057	118	118
OG0000058	118	118
OG0000059	59	46
OG0000060	117	117
OG0000061	76	62
OG0000062	114	114
OG0000063	114	114
OG0000064	44	29
OG0000065	71	33
OG0000066	73	67
OG0000067	21	7
OG0000068	29	16
OG0000069	106	106
OG0000070	104	104
OG0000071	37	27
OG0000072	25	12
OG0000073	104	104
OG0000074	31	25
OG0000075	45	32
OG0000076	41	36
OG0000077	101	101
OG0000078	102	102
OG0000079	100	100
OG0000080	99	99
OG0000081	41	30
OG0000082	19	12
OG0000083	27	10
OG0000084	23	16
OG0000085	95	94
OG0000086	97	97
OG0000087	95	95
OG0000088	96	96
OG0000089	27	17
OG0000090	18	11
OG0000091	66	60
OG0000092	93	93
OG0000093	93	93
OG0000094	46	33
OG0000095	29	26
OG0000096	92	92
OG0000097	29	23
OG0000098	91	91
OG0000099	39	31
OG0000100	47	38
OG0000101	49	40
OG0000102	90	90
OG0000103	89	89
OG0000104	88	88
OG0000105	87	87
OG0000106	87	87
OG0000107	87	87
OG0000108	43	30
OG0000109	56	52
OG0000110	14	8
OG0000111	25	18
OG0000112	34	14
OG0000113	83	83
OG0000114	83	83
OG0000115	83	83
OG0000116	18	8
OG0000117	81	81
OG0000118	16	8
OG0000119	80	80
OG0000120	80	80
OG0000121	43	37
OG0000122	19	12
OG0000123	79	79
OG0000124	79	79
OG0000125	30	12
OG0000126	39	30
OG0000127	77	77
OG0000128	77	77
OG0000129	20	15
OG0000130	38	30
OG0000131	73	66
OG0000132	76	76
OG0000133	75	75
OG0000134	71	65
OG0000135	14	9
OG0000136	73	73
OG0000137	45	39
OG0000138	72	72
OG0000139	71	71
OG0000140	26	19
OG0000141	25	15
OG0000142	38	33
OG0000143	71	71
OG0000144	71	71
OG0000145	22	12
OG0000146	20	14
OG0000147	17	10
OG0000148	69	69
OG0000149	31	19
OG0000150	15	5
OG0000151	23	18
OG0000152	15	11
OG0000153	68	68
