Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	560	307
OG0000001	411	229
OG0000002	291	94
OG0000003	142	46
OG0000004	116	38
OG0000005	229	154
OG0000006	156	40
OG0000007	158	69
OG0000008	169	72
OG0000009	134	34
OG0000010	123	44
OG0000011	101	37
OG0000012	183	101
OG0000013	127	59
OG0000014	86	24
OG0000015	113	47
OG0000016	145	100
OG0000017	92	24
OG0000018	104	30
OG0000019	144	81
OG0000020	109	48
OG0000021	154	82
OG0000022	80	27
OG0000023	87	43
OG0000024	77	21
OG0000025	90	24
OG0000026	117	58
OG0000027	112	50
OG0000028	110	54
OG0000029	79	29
OG0000030	71	24
OG0000031	82	34
OG0000032	84	41
OG0000033	118	71
OG0000034	69	18
OG0000035	68	22
OG0000036	61	24
OG0000037	55	22
OG0000038	83	33
OG0000039	100	40
OG0000040	58	11
OG0000041	74	22
OG0000042	60	18
OG0000043	84	39
OG0000044	145	111
OG0000045	60	24
OG0000046	52	18
OG0000047	68	20
OG0000048	105	69
OG0000049	241	225
OG0000050	114	80
OG0000051	59	17
OG0000052	94	57
OG0000053	55	14
OG0000054	70	23
OG0000055	68	25
OG0000056	30	9
OG0000057	49	13
OG0000058	59	36
OG0000059	87	35
OG0000060	228	210
OG0000061	47	13
OG0000062	238	238
OG0000063	61	27
OG0000064	48	22
OG0000065	36	8
OG0000066	43	16
OG0000067	58	26
OG0000068	44	14
OG0000069	51	15
OG0000070	224	224
OG0000071	63	32
OG0000072	60	23
OG0000073	51	14
OG0000074	48	25
OG0000075	54	17
OG0000076	56	28
OG0000077	23	9
OG0000078	38	17
OG0000079	60	29
OG0000080	39	18
OG0000081	40	11
OG0000082	208	208
OG0000083	59	17
OG0000084	151	118
OG0000085	46	17
OG0000086	66	35
OG0000087	46	18
OG0000088	16	10
OG0000089	42	16
OG0000090	109	77
OG0000091	46	24
OG0000092	35	10
OG0000093	66	26
OG0000094	31	12
OG0000095	5	4
OG0000096	44	13
OG0000097	39	13
OG0000098	31	14
OG0000099	57	24
OG0000100	30	5
OG0000101	20	9
OG0000102	59	25
OG0000103	51	22
OG0000104	65	21
OG0000105	104	86
OG0000106	26	3
OG0000107	7	5
OG0000108	42	13
OG0000109	53	14
OG0000110	18	13
OG0000111	186	186
OG0000112	35	16
OG0000113	75	29
OG0000114	36	11
OG0000115	61	33
OG0000116	185	185
OG0000117	43	24
OG0000118	51	36
OG0000119	22	9
OG0000120	35	16
OG0000121	63	15
OG0000122	33	15
OG0000123	72	40
OG0000124	36	16
OG0000125	28	10
OG0000126	26	10
OG0000127	35	14
OG0000128	39	9
OG0000129	40	12
OG0000130	38	11
OG0000131	20	6
OG0000132	24	8
OG0000133	14	7
OG0000134	40	31
OG0000135	48	36
OG0000136	30	5
OG0000137	46	12
OG0000138	40	25
OG0000139	40	7
OG0000140	51	21
OG0000141	36	16
OG0000142	10	4
OG0000143	58	33
OG0000144	39	16
OG0000145	20	17
OG0000146	60	15
OG0000147	48	23
OG0000148	28	11
OG0000149	43	14
OG0000150	19	9
OG0000151	26	11
OG0000152	30	9
OG0000153	12	8
OG0000154	26	3
OG0000155	35	9
OG0000156	39	21
OG0000157	52	29
OG0000158	27	14
OG0000159	32	11
OG0000160	32	11
OG0000161	150	147
OG0000162	30	13
OG0000163	44	9
OG0000164	22	8
OG0000165	10	5
OG0000166	151	151
OG0000167	152	152
OG0000168	71	55
OG0000169	39	18
OG0000170	36	10
OG0000171	29	7
OG0000172	28	6
OG0000173	45	24
OG0000174	48	12
OG0000175	8	3
OG0000176	34	8
OG0000177	36	12
OG0000178	28	14
OG0000179	25	9
OG0000180	29	11
OG0000181	12	7
OG0000182	42	15
OG0000183	15	8
OG0000184	28	15
OG0000185	24	5
OG0000186	32	11
OG0000187	107	89
OG0000188	36	8
OG0000189	40	13
OG0000190	49	28
OG0000191	46	30
OG0000192	28	9
OG0000193	22	9
OG0000194	24	6
OG0000195	20	4
OG0000196	18	11
OG0000197	22	13
OG0000198	20	7
OG0000199	21	15
OG0000200	16	6
OG0000201	21	10
OG0000202	24	7
OG0000203	22	7
OG0000204	35	8
OG0000205	37	10
OG0000206	20	7
OG0000207	30	14
OG0000208	31	17
OG0000209	21	15
OG0000210	16	8
OG0000211	33	17
OG0000212	42	24
OG0000213	36	19
OG0000214	26	7
OG0000215	55	32
OG0000216	27	10
OG0000217	26	14
OG0000218	10	4
OG0000219	28	13
OG0000220	48	21
OG0000221	15	4
OG0000222	16	5
OG0000223	21	5
OG0000224	7	2
OG0000225	11	3
OG0000226	37	14
OG0000227	27	4
OG0000228	27	11
OG0000229	61	23
OG0000230	25	12
OG0000231	31	13
OG0000232	14	2
OG0000233	24	5
OG0000234	9	5
OG0000235	26	8
OG0000236	26	6
OG0000237	38	14
OG0000238	22	15
OG0000239	22	4
OG0000240	15	5
OG0000241	29	12
OG0000242	19	9
OG0000243	19	10
OG0000244	13	3
OG0000245	25	8
OG0000246	24	6
OG0000247	33	13
OG0000248	14	3
OG0000249	64	44
OG0000250	12	3
OG0000251	27	19
OG0000252	36	20
OG0000253	25	6
OG0000254	18	7
OG0000255	16	7
OG0000256	8	2
OG0000257	23	15
OG0000258	31	17
OG0000259	24	10
OG0000260	17	4
OG0000261	12	7
OG0000262	34	12
OG0000263	27	11
OG0000264	12	7
OG0000265	14	2
OG0000266	18	7
OG0000267	32	13
OG0000268	27	7
OG0000269	32	11
OG0000270	22	9
OG0000271	32	12
OG0000272	28	9
OG0000273	28	12
OG0000274	23	5
OG0000275	5	1
OG0000276	25	11
OG0000277	30	10
OG0000278	43	21
OG0000279	35	16
OG0000280	18	10
OG0000281	10	2
OG0000282	24	8
OG0000283	14	8
OG0000284	24	10
OG0000285	25	8
OG0000286	17	3
OG0000287	30	18
OG0000288	51	25
OG0000289	19	4
OG0000290	27	4
OG0000291	38	20
OG0000292	24	4
OG0000293	13	4
OG0000294	13	7
OG0000295	28	9
OG0000296	27	0
OG0000297	24	4
OG0000298	19	2
OG0000299	30	16
OG0000300	26	18
OG0000301	28	7
OG0000302	20	10
OG0000303	34	10
OG0000304	15	6
OG0000305	28	6
OG0000306	20	1
OG0000307	30	10
OG0000308	24	6
OG0000309	36	12
OG0000310	35	14
OG0000311	21	8
OG0000312	22	8
OG0000313	5	2
OG0000314	15	9
OG0000315	14	4
OG0000316	16	5
OG0000317	27	14
OG0000318	15	7
OG0000319	10	4
OG0000320	10	2
OG0000321	9	3
OG0000322	17	4
OG0000323	6	3
OG0000324	43	34
OG0000325	37	21
OG0000326	54	37
OG0000327	10	5
OG0000328	27	14
OG0000329	15	10
OG0000330	69	56
OG0000331	17	5
OG0000332	13	8
OG0000333	21	2
OG0000334	19	8
OG0000335	51	29
OG0000336	13	7
OG0000337	14	5
OG0000338	9	6
OG0000339	26	7
OG0000340	43	26
OG0000341	20	2
OG0000342	4	2
OG0000343	34	27
OG0000344	13	8
OG0000345	5	2
OG0000346	3	1
OG0000347	15	7
OG0000348	10	3
OG0000349	7	4
OG0000350	23	4
OG0000351	25	13
OG0000352	15	7
OG0000353	30	5
OG0000354	74	62
OG0000355	15	5
OG0000356	29	15
OG0000357	23	4
OG0000358	8	3
OG0000359	11	5
OG0000360	14	2
OG0000361	5	3
OG0000362	6	3
OG0000363	17	7
OG0000364	14	4
OG0000365	15	7
OG0000366	4	2
OG0000367	4	2
OG0000368	6	2
OG0000369	21	3
OG0000370	9	5
OG0000371	42	34
OG0000372	5	2
OG0000373	13	6
OG0000374	7	3
OG0000375	19	6
OG0000376	14	5
OG0000377	26	17
OG0000378	11	7
OG0000379	49	31
OG0000380	13	5
OG0000381	3	1
OG0000382	21	7
OG0000383	25	7
OG0000384	15	3
OG0000385	26	14
OG0000386	2	1
OG0000387	28	14
OG0000388	6	5
OG0000389	7	1
OG0000390	11	7
OG0000391	28	10
OG0000392	6	3
OG0000393	1	1
OG0000394	8	4
OG0000395	18	2
OG0000396	30	14
OG0000397	12	6
OG0000398	7	1
OG0000399	5	4
OG0000400	22	13
OG0000401	20	17
OG0000402	12	3
OG0000403	15	8
OG0000404	15	5
OG0000405	16	4
OG0000406	18	4
OG0000407	6	2
OG0000408	3	2
OG0000409	4	2
OG0000410	99	99
OG0000411	11	4
OG0000412	15	5
OG0000413	8	5
OG0000414	3	2
OG0000415	9	2
OG0000416	2	1
OG0000417	14	6
OG0000418	7	3
OG0000419	47	33
OG0000420	15	5
OG0000421	13	1
OG0000422	3	2
OG0000423	3	1
OG0000424	8	5
OG0000425	5	1
OG0000426	9	4
OG0000427	6	3
OG0000428	25	8
OG0000429	6	3
OG0000430	63	52
OG0000431	28	19
OG0000432	5	1
OG0000433	27	2
OG0000434	14	3
OG0000435	2	2
OG0000436	27	17
OG0000437	2	2
OG0000438	7	2
OG0000439	9	3
OG0000440	2	2
OG0000441	38	21
OG0000442	10	3
OG0000443	2	2
OG0000444	14	2
OG0000445	17	1
OG0000446	3	1
OG0000447	22	8
OG0000448	7	4
OG0000449	17	5
OG0000450	5	3
OG0000451	18	4
OG0000452	17	10
OG0000453	1	1
OG0000454	12	9
OG0000455	4	2
OG0000456	5	2
OG0000457	12	2
OG0000458	20	7
OG0000459	19	6
OG0000460	24	10
OG0000461	16	10
OG0000462	11	4
OG0000463	14	5
OG0000464	22	4
OG0000465	45	34
OG0000466	7	3
OG0000467	27	13
OG0000468	6	1
OG0000469	23	6
OG0000470	16	10
OG0000471	24	11
OG0000472	6	3
OG0000473	25	6
OG0000474	18	9
OG0000475	3	1
OG0000476	5	4
OG0000477	6	5
OG0000478	77	71
OG0000479	18	9
OG0000480	9	1
OG0000481	3	3
OG0000482	11	4
OG0000483	8	5
OG0000484	4	3
OG0000485	9	3
OG0000486	10	6
OG0000487	25	9
OG0000488	15	9
OG0000489	21	5
OG0000490	24	6
OG0000491	17	10
OG0000492	7	4
OG0000493	6	2
OG0000494	18	8
OG0000495	3	1
OG0000496	6	1
OG0000497	25	16
OG0000498	12	3
OG0000499	2	1
OG0000500	11	5
OG0000501	23	12
OG0000502	2	1
OG0000503	22	7
OG0000504	6	1
OG0000505	12	5
OG0000506	7	2
OG0000507	29	15
OG0000508	89	89
OG0000509	9	1
OG0000510	2	2
OG0000511	4	4
OG0000512	41	30
OG0000513	3	3
OG0000514	24	10
OG0000515	15	4
OG0000516	15	9
OG0000517	38	24
OG0000518	14	3
OG0000519	10	3
OG0000520	12	5
OG0000521	7	1
OG0000522	4	2
OG0000523	19	3
OG0000524	31	24
OG0000525	22	14
OG0000526	20	13
