full	id	new_name	source
PP054355.1 Rhizoplaca chrysoleuca voucher 18-59131 (KUN) RNA polymerase II second largest subunit (RPB2) gene, partial cds	PP054355.1	PP054355.1 Rhizoplaca chrysoleuca	literature
OR242366.1 Roccellinastrum spongoideum isolate LW05 RNA polymerase II second largest subunit (rpb2) gene, partial cds	OR242366.1	OR242366.1 Roccellinastrum spongoideum	literature
OR242365.1 Cenozosia excorticata isolate LW10 RNA polymerase II second largest subunit (rpb2) gene, partial cds	OR242365.1	OR242365.1 Cenozosia excorticata	literature
MW522909.1 Bacidia rosella voucher M-0311930 DNA-directed RNA polymerase II second largest subunit (RPB2) gene, partial cds	MW522909.1	MW522909.1 Bacidia rosella	literature
OP245173.1 Diorygma karnatakense voucher CRG668RATM05 RNA polymerase II largest subunit (RPB2) gene, partial cds	OP245173.1	OP245173.1 Diorygma karnatakense	literature
ON677408.1 Neohormodochis septispora voucher HKAS:124172 RNA polymerase II second largest subunit (RPB2) gene, partial cds	ON677408.1	ON677408.1 Neohormodochis septispora	literature
OP198714.1 Micarea lignaria voucher Svensson 3818 (UPS) DNA-dependent RNA polymerase II second largest subunit (RPB2) gene, partial cds	OP198714.1	OP198714.1 Micarea lignaria	literature
MW654135.1 Emmanuelia lobulifera isolate 18-61328 RNA polymerase II second largest subunit (RPB2) gene, partial cds	MW654135.1	MW654135.1 Emmanuelia lobulifera	literature
OK665631.1 Lecanora polytropa voucher KRAM:Flakus 29524 DNA-directed RNA polymerase II subunit (rpb2) gene, partial cds	OK665631.1	OK665631.1 Lecanora polytropa	literature
MT831995.1 Porina leptalea voucher Ertz 23175 (BR) RNA polymerase II second largest subunit (RPB2) gene, partial cds	MT831995.1	MT831995.1 Porina leptalea	literature
MT831994.1 Gyalecta amsterdamensis voucher Ertz 21404 (BR) RNA polymerase II second largest subunit (RPB2) gene, partial cds	MT831994.1	MT831994.1 Gyalecta amsterdamensis	literature
MT180072.1 Cetrariella delisei voucher LA31978 RNA polymerase II largest subunit (RPB2) gene, partial cds	MT180072.1	MT180072.1 Cetrariella delisei	literature
MT215163.1 Pycnothelia mascarena isolate CL206 RNA polymerase II second largest subunit (rpb2) gene, partial cds	MT215163.1	MT215163.1 Pycnothelia mascarena	literature
DQ992425.1 Peltigera hydrophila isolate AFTOL 1838 DNA-dependent RNA polymerase II second largest subunit (RPB2) gene, partial cds	DQ992425.1	DQ992425.1 Peltigera hydrophila	literature
MN612606.1 Graphis scripta isolate 8987 RNA polymerase II second largest subunit (RPB2) gene, partial cds	MN612606.1	MN612606.1 Graphis scripta	literature
MN311953.1 Caloplaca xerica isolate F493 RNA polymerase II second largest subunit (RPB2) gene, partial cds	MN311953.1	MN311953.1 Caloplaca xerica	literature
MG592345.1 Buellia zoharyi strain AS13 RNA polymerase II second largest subunit (RPB2) gene, partial cds	MG592345.1	MG592345.1 Buellia zoharyi	literature
KF662440.1 Lecidea sphaerella voucher Z. Palice 4621 (FR) second largest subunit RNA polymerase II (RPB2) gene, partial cds	KF662440.1	KF662440.1 Lecidea sphaerella	literature
JX420890.1 Thelotrema macrosporum bio-material DNA4013 RNA polymerase II second largest subunit (RPB2) gene, partial cds	JX420890.1	JX420890.1 Thelotrema macrosporum	literature
KY633999.1 Thamnolia subuliformis isolate IB16 DNA-dependent RNA polymerase II second largest subunit (RPB2) gene, partial cds	KY633999.1	KY633999.1 Thamnolia subuliformis	literature
DQ992474.1 Alectoria ochroleuca RNA polymerase II second largest subunit (RPB2) gene, partial cds	DQ992474.1	DQ992474.1 Alectoria ochroleuca	literature
DQ992477.1 Rhizocarpon oederi RNA polymerase II second largest subunit (RPB2) gene, partial cds	DQ992477.1	DQ992477.1 Rhizocarpon oederi	literature
DQ992478.1 Stictis urceolatum RNA polymerase II second largest subunit (RPB2) gene, partial cds	DQ992478.1	DQ992478.1 Stictis urceolatum	literature
DQ992467.1 Ochrolechia sp. AFTOL 318 DNA-dependent RNA polymerase II second largest subunit-like (RPB2) gene, partial sequence	DQ992467.1	DQ992467.1 Ochrolechia sp.	literature
DQ992458.1 Phlyctis argena isolate AFTOL 1375 DNA-dependent RNA polymerase II second largest subunit (RPB2) gene, partial cds	DQ992458.1	DQ992458.1 Phlyctis argena	literature
DQ992434.1 Loxospora ochrophaea isolate AFTOL 879 DNA-dependent RNA polymerase II second largest subunit (RPB2) gene, partial cds	DQ992434.1	DQ992434.1 Loxospora ochrophaea	literature
HM244818.1 Thelotrema saxatile voucher Lendemer 6389 (PH) RNA polymerase II second largest subunit (RPB2) gene, partial cds	HM244818.1	HM244818.1 Thelotrema saxatile	literature
HM244806.1 Ostropa barbara voucher Wedin & Baloch SW071 (S) RNA polymerase II second largest subunit (RPB2) gene, partial cds	HM244806.1	HM244806.1 Ostropa barbara	literature
HM244808.1 Porina aenea voucher Arup & Baloch SW154 (S) RNA polymerase II second largest subunit (RPB2) gene, partial cds	HM244808.1	HM244808.1 Porina aenea	literature
HM244807.1 Gyalecta fagicola voucher Delin L-163179 (UPS) RNA polymerase II second largest subunit (RPB2) gene, partial cds	HM244807.1	HM244807.1 Gyalecta fagicola	literature
HM244800.1 Odontotrema cassiopes voucher Baloch s.n. (S) RNA polymerase II second largest subunit (RPB2) gene, partial cds	HM244800.1	HM244800.1 Odontotrema cassiopes	literature
HM244790.1 Cryptodiscus pini voucher Baloch & Arup SW175 (S) RNA polymerase II second largest subunit (RPB2) gene, partial cds	HM244790.1	HM244790.1 Cryptodiscus pini	literature
HM244777.1 Absconditella sphagnorum voucher Palice 11146 (S) RNA polymerase II second largest subunit (RPB2) gene, partial cds	HM244777.1	HM244777.1 Absconditella sphagnorum	literature
DQ973089.1 Ophioparma lapponica isolate AFTOL-ID 1707 RNA polymerase II second largest subunit (RPB2) gene, partial cds	DQ973089.1	DQ973089.1 Ophioparma lapponica	literature
DQ973077.1 Erioderma verruculosum isolate AFTOL-ID 337 RNA polymerase II second largest subunit (RPB2) gene, partial cds	DQ973077.1	DQ973077.1 Erioderma verruculosum	literature
DQ912399.1 Xanthoria polycarpa isolate AFTOL-ID 200 RNA polymerase II second largest subunit (RPB2) gene, partial cds	DQ912399.1	DQ912399.1 Xanthoria polycarpa	literature
DQ902342.1 Pertusaria hemisphaerica isolate AFTOL-ID 959 RNA polymerase II second largest subunit (RPB2) gene, partial cds	DQ902342.1	DQ902342.1 Pertusaria hemisphaerica	literature
DQ883754.1 Heterodermia vulgaris isolate AFTOL-ID 320 RNA polymerase II second largest subunit (RPB2) gene, partial cds	DQ883754.1	DQ883754.1 Heterodermia vulgaris	literature
KU844461.1 Baeomyces rufus isolate T1359 RNA polymerase II second largest subunit (RPB2) gene, partial cds	KU844461.1	KU844461.1 Baeomyces rufus	literature
KU844455.1 Placopsis illita isolate KS164 RNA polymerase II second largest subunit (RPB2) gene, partial cds	KU844455.1	KU844455.1 Placopsis illita	literature
MH327871.1 Cyanodermella banksiae culture CPC:32105 DNA-directed RNA polymerase II second largest subunit (rpb2) gene, partial cds	MH327871.1	MH327871.1 Cyanodermella banksiae	literature
