Genome,GTX0468_trimmed,GTX0466_trimmed,GTX0486_487_trimmed,GTX0481_trimmed,GTX0494_trimmed,GTX0484_trimmed,GTX0465_trimmed,GTX0491_trimmed,GTX0493_trimmed
coassembly.bin.100_k141,422700,1366,43590,162,39,207,302,35860,53
coassembly.bin.107_k141,18018,113079,25920,34683,4320,280068,65082,23284,7221
coassembly.bin.114_k141,6,6,4,0,10,7,65215,2,3
coassembly.bin.11_k141,392680,76012,414506,52070,39863,75578,44081,110202,36038
coassembly.bin.126_k141,155966,13101,24475,3766,1176,4660,5308,24954,1997
coassembly.bin.129_k141,252957,924859,276855,221182,158425,472316,182469,48258,191313
coassembly.bin.133_k141,3329,181563,28351,2993,495,214382,20337,11926,856
coassembly.bin.145_k141,21978,568660,14872,46268,13680,316090,231526,32375,57618
coassembly.bin.151_k141,0,61,51,1947,807,1997294,179,22,2285
coassembly.bin.160_k141,40286,23415,362241,7349,3692,6540,8860,75308,4312
coassembly.bin.165_k141,1135423,5076,50344,3430,179,6542,3585,183563,467
coassembly.bin.167_k141,492750,105,30261,38,14,62,31,17443,14
coassembly.bin.174_k141,125218,996496,151834,143370,103133,204492,165022,51098,236005
coassembly.bin.175_k141,1922,33516,3823,16189,754,549608,22157,2723,14402
coassembly.bin.180_k141,51,421879,2468,3425,126,10008,69503,74,3980
coassembly.bin.182_k141,210862,1298,328251,660,1393,848,576,45905,1005
coassembly.bin.186_k141,11892,232379,10709,528,146,836,76932,44231,199
coassembly.bin.187_k141,73916,228,148051,16,0,66,290,13863,2
coassembly.bin.191_k141,4316,486519,7092,8649,1914,15851,35181,5551,3843
coassembly.bin.195_k141,87999,181593,2591302,55873,47117,2550811,82787,239027,49284
coassembly.bin.203_k141,284593,9433,47329,4399,2705,2675,4351,22059,2592
coassembly.bin.204_k141,185253,13599,78970,3919,1716,3077,7182,34096,1350
coassembly.bin.209_k141,15,262393,82,6450,7138,1269,9720,28,3906
coassembly.bin.211_k141,540637,51392,498960,2042,208,6583,5404,65862,628
coassembly.bin.212_k141,56514,17826,1297925,5968,1541,6015,7029,62479,3234
coassembly.bin.216_k141,1181,192062,1887,119147,8343,29412,29380,2090,73729
coassembly.bin.233_k141,1734,6861,2260,63256,124422,3400,3758,2509,555952
coassembly.bin.238_k141,5,1093,14,108166,13714,186,120,0,27291
coassembly.bin.246_k141,34112,839365,54386,16464,6362,17173,38656,50648,6955
coassembly.bin.24_k141,61301,224479,36766,6948,2115,6195,12817,60227,3643
coassembly.bin.251_k141,208055,104019,588735,11573,4655,5957,26674,364492,7353
coassembly.bin.265_k141,110597,782,73459,605,388,341,427,11088,295
coassembly.bin.266_k141,11,12,74,0,0,2,110224,18,0
coassembly.bin.271_k141,381735,824206,326943,724126,363153,557788,442283,119188,385998
coassembly.bin.274_k141,81685,1344,256215,82,1,203,77,49790,5
coassembly.bin.284_k141,805138,14607,7854,4188,7759,14822,6265,7828,5218
coassembly.bin.287_k141,309,91806,922,45481,948,10224,15127,138,1551
coassembly.bin.28_k141,104,120811,438,347,51,12666,21872,68,98
coassembly.bin.291_k141,221459,2531,77287,2343,544,1307,1590,14212,1086
coassembly.bin.299_k141,205993,4728,387593,4017,246,8847,5241,117561,658
coassembly.bin.304_k141,52889,2441,891092,715,23,2897,1213,15073,270
coassembly.bin.315_k141,39,341307,44,294,11,3317,1913,294,203
coassembly.bin.324_k141,2580,303628,4130,1379,41,36794,176643,3160,19
coassembly.bin.330_k141,6918,894405,13124,5572,330,665,2264,2376,278
coassembly.bin.334_k141,544789,11572,6530,1003,72,827,2205,5457,385
coassembly.bin.33_k141,6820,39915,24894,22221,1581,128748,53284,7135,3520
coassembly.bin.341_k141,81,64382,365,160297,133321,7390,15868,15,424977
coassembly.bin.34_k141,2017,170412,1966,250950,13955,8157,36308,1383,14015
coassembly.bin.352_k141,33,22344,152,364914,34414,34567,57235,34,89030
coassembly.bin.356_k141,4431,70375,11153,77034,38112,64862,52091,9323,182989
coassembly.bin.357_k141,6413,226161,6852,1378,460,152340,26173,3664,631
coassembly.bin.35_k141,472,145006,656,777,150,12281,7585,359,320
coassembly.bin.363_k141,7087,73223,9689,270846,137119,31143,37738,5224,42513
coassembly.bin.372_k141,1097,169400,2076,999,332,5971,36009,1035,558
coassembly.bin.374_k141,82242,10632,1516337,3415,237,3634,9872,54994,872
coassembly.bin.376_k141,33351,40785,249032,375134,40889,789358,534044,223860,27217
coassembly.bin.377_k141,18752,12024,470561,432,148,217,486,89695,321
coassembly.bin.378_k141,55458,85945,51305,2506885,17962,64824,57980,46416,29412
coassembly.bin.385_k141,75351,2104197,80522,52923,44255,97436,85193,78258,35123
coassembly.bin.53_k141,1048,1132,181763,282,219,342,647,2536,225
coassembly.bin.63_k141,19002,168789,8804,1202,257,26375,22931,4989,424
coassembly.bin.64_k141,761,765247,3676,932,172,49588,314042,4100,252
coassembly.bin.66_k141,252235,8279,39456,5878,334,2981,3751,13750,918
coassembly.bin.70_k141,21952,34,406658,10,6,41,14,10016,16
coassembly.bin.73_k141,178861,407958,148226,174600,148534,1307608,410171,66981,157383
coassembly.bin.76_k141,94650,212607,1682912,6746,5591,15807,17990,419721,5591
coassembly.bin.80_k141,25232,7264,532696,3258,170,5427,3504,163065,552
coassembly.bin.86_k141,627508,1397344,614849,878892,708874,959207,1151182,289827,809538
coassembly.bin.88_k141,101419,6159,375724,4077,5429,1829,2771,27822,4172
GTX0465.bin.15_k141,17630,810819,42916,1467108,167890,413709,1046444,44716,257848
GTX0465.bin.1_k141,69768,17008967,103361,3521969,81431,3555128,13707656,168880,61367
GTX0465.bin.32_k141,15921,386337,19880,24541,7809,788344,834916,9249,5245
GTX0465.bin.6_k141,7879,803394,5335,182998,145627,184824,444338,5332,33119
GTX0466.bin.15_k141,5071,5284755,19577,1820,221,3051,6260,10413,442
GTX0466.bin.17_k141,11,167938,18,563,94,101,774,15,254
GTX0466.bin.23_k141,1498,1893470,13589,1314,441,18783,30114,3406,8398
GTX0466.bin.25_k141,2110,1202419,913,213,98,922,11974,1122,148
GTX0466.bin.27_k141,0,29698,8,31,8,232,1226,17,0
GTX0466.bin.31_k141,15,215929,38,3488,316,428,11273,12,839
GTX0466.bin.44_k141,1938,1985216,3111,5353,1008,3619,150626,3071,2032
GTX0466.bin.47_k141,4362,679522,9263,1661,248,1155,1525,3480,1541
GTX0466.bin.55_k141,9986,528106,3031,2759,81,3482,27262,54016,519
GTX0466.bin.56_k141,153,1371712,145,4963,419,1017,55949,64,1201
GTX0466.bin.67_k141,676,355268,715,44606,6944,4324,24017,820,42116
GTX0466.bin.69_k141,49218,232821,4219,4191,2030,5128,18890,1753,2177
GTX0466.bin.6_k141,14736,282821,1977,4954,172,7087,9197,8396,720
GTX0466.bin.71_k141,156978,1595632,286574,8962,8232,8928,12267,845317,7288
GTX0466.bin.74_k141,196311,501288,7533,7255,8356,4632,71070,8097,7055
GTX0466.bin.75_k141,328,446551,1450,55,1,222,7782,157,19
GTX0466.bin.79_k141,0,46429,0,5,2,38,5319,0,0
GTX0466.bin.7_k141,1604,740083,1222,12243,9965,14690,92857,1314,39249
GTX0466.bin.81_k141,124223,1426551,48199,61624,3158,187748,262597,225599,15454
GTX0466.bin.9_k141,62,609222,225,12,0,396,10041,46,9
GTX0468.bin.12_k141,1089331,124679,326027,30097,9792,18117,33549,267396,13232
GTX0468.bin.14_k141,338945,353,4360,62,1,65,62,22551,6
GTX0468.bin.17_k141,1275886,9372,100584,714,452,1722,686,95565,303
GTX0468.bin.19_k141,1742015,1426446,595693,296996,27744,46659,81090,673286,39510
GTX0468.bin.22_k141,750733,224834,573706,29848,13446,33367,84001,722608,15086
GTX0468.bin.23_k141,1960106,2006,304114,162,78,778,865,53998,32
GTX0468.bin.25_k141,479070,712253,71008,365951,76662,495459,914804,142674,74341
GTX0468.bin.26_k141,241624,39965,6837,181,23,1048,3692,4681,47
GTX0468.bin.2_k141,2322378,11436,653275,741,14,4406,4443,249147,20
GTX0468.bin.37_k141,1039206,13908,1331535,7473,362,12761,6539,229118,1407
GTX0468.bin.3_k141,689545,36663,16450,2905,3494,4137,4193,73277,2383
GTX0468.bin.44_k141,1015532,17138,25046,9868,16198,5377,7909,20029,14343
GTX0468.bin.45_k141,925325,15216,558801,906,175,888,1690,270971,369
GTX0468.bin.47_k141,379338,1222,581180,139,1,604,572,151447,4
GTX0468.bin.49_k141,405954,10813,420854,14578,488,3935,6481,90768,1396
GTX0468.bin.4_k141,883548,1981,26962,280,648,743,412,457886,408
GTX0468.bin.50_k141,426669,10033,53333,1454,60,4578,1624,33319,306
GTX0468.bin.53_k141,5170682,4376510,127892,102211,124589,5666662,112570,233892,92014
GTX0468.bin.59_k141,346223,1273185,571863,16431,3866,16664,338031,1160972,6355
GTX0468.bin.60_k141,1425588,502897,257413,30689,2483,38133,38399,266411,8602
GTX0468.bin.63_k141,1752100,2349,1290131,211,14,604,357,530208,57
GTX0468.bin.68_k141,253035,584,79400,42,61,44,120,17352,65
GTX0468.bin.6_k141,161417,1339,11137,455,0,24,618,26054,101
GTX0468.bin.72_k141,270198,199987,91934,3193,99,3694,35782,125019,427
GTX0468.bin.76_k141,1577335,15667,541393,2481,3753,3356,2514,222828,2786
GTX0468.bin.79_k141,981210,76330,256159,76091,3350,147119,71562,314527,9770
GTX0468.bin.7_k141,463809,11152,412169,3659,155,9500,7865,194874,517
GTX0468.bin.80_k141,2764989,69930,121983,17662,12760,15626,26168,569488,10729
GTX0468.bin.9_k141,404432,3213,76266,197,6,882,506,13297,100
