Genome,GTX0468_trimmed,GTX0466_trimmed,GTX0486_487_trimmed,GTX0481_trimmed,GTX0494_trimmed,GTX0484_trimmed,GTX0465_trimmed,GTX0491_trimmed,GTX0493_trimmed
coassembly.bin.100_k141,99.82,1.93,52.49,0.31,0.05,0.21,0.49,46.81,0.12
coassembly.bin.107_k141,22.09,96.22,24.67,62.18,6.36,99.47,88.51,23.04,12.42
coassembly.bin.114_k141,0.05,0.08,0.06,0.0,0.13,0.09,99.91,0.03,0.04
coassembly.bin.11_k141,69.23,11.71,93.91,7.88,1.26,40.01,9.84,76.03,2.67
coassembly.bin.126_k141,98.64,19.88,29.71,9.93,3.18,12.28,13.66,38.7,6.64
coassembly.bin.129_k141,4.82,98.96,34.8,21.65,1.3,92.42,26.72,12.37,4.07
coassembly.bin.133_k141,7.38,98.75,28.33,7.35,1.12,99.25,41.94,18.37,2.07
coassembly.bin.145_k141,27.64,97.41,15.92,40.89,12.3,98.98,97.8,43.58,42.28
coassembly.bin.151_k141,0.0,0.64,0.44,15.01,6.8,99.99,1.56,0.2,19.16
coassembly.bin.160_k141,40.09,14.76,99.52,6.76,3.14,7.23,9.87,60.31,4.89
coassembly.bin.165_k141,99.52,6.43,66.18,5.37,0.54,9.34,6.99,96.19,1.48
coassembly.bin.167_k141,99.95,0.2,48.73,0.05,0.02,0.15,0.09,34.51,0.04
coassembly.bin.174_k141,9.22,99.7,19.26,4.66,2.34,12.72,10.84,10.6,28.3
coassembly.bin.175_k141,2.8,44.21,3.73,26.21,1.46,99.93,35.31,4.3,23.39
coassembly.bin.180_k141,0.18,98.99,7.36,8.84,0.46,25.11,85.24,0.21,12.09
coassembly.bin.182_k141,96.54,2.08,99.0,0.87,0.66,1.75,1.13,57.67,0.83
coassembly.bin.186_k141,32.91,99.66,29.26,1.69,0.6,2.82,92.42,78.14,0.8
coassembly.bin.187_k141,92.25,0.98,99.21,0.08,0.01,0.28,0.97,40.67,0.01
coassembly.bin.191_k141,3.56,99.7,5.01,7.64,2.53,12.13,37.72,6.0,4.4
coassembly.bin.195_k141,1.7,1.93,98.42,2.0,1.31,98.38,0.96,9.98,1.84
coassembly.bin.203_k141,99.18,6.88,59.73,3.1,1.36,2.31,3.32,38.0,1.93
coassembly.bin.204_k141,99.16,23.07,90.75,7.32,3.4,6.88,15.98,47.33,3.31
coassembly.bin.209_k141,0.07,99.69,0.22,9.75,9.35,3.67,25.08,0.11,6.75
coassembly.bin.211_k141,98.73,16.44,99.0,2.17,0.23,4.73,5.8,55.4,0.81
coassembly.bin.212_k141,50.29,16.68,99.06,9.07,3.34,11.14,11.97,48.52,6.23
coassembly.bin.216_k141,0.55,97.4,1.65,88.2,5.25,40.33,37.96,0.58,73.13
coassembly.bin.233_k141,2.24,6.25,2.75,74.05,91.49,5.38,6.4,1.88,99.78
coassembly.bin.238_k141,0.01,2.55,0.05,99.16,46.75,0.66,0.49,0.02,72.39
coassembly.bin.246_k141,24.05,99.21,34.31,14.34,6.36,29.13,51.69,33.73,10.73
coassembly.bin.24_k141,81.2,98.22,35.09,12.39,4.81,13.52,20.02,71.45,8.84
coassembly.bin.251_k141,97.53,95.06,99.07,16.48,8.65,11.88,57.96,98.09,13.67
coassembly.bin.265_k141,98.56,2.71,95.08,2.15,0.66,1.9,1.73,36.36,1.2
coassembly.bin.266_k141,0.07,0.07,0.12,0.0,0.0,0.01,99.81,0.04,0.0
coassembly.bin.271_k141,13.57,37.92,15.62,99.01,17.81,57.31,75.32,10.29,14.6
coassembly.bin.274_k141,86.27,3.28,99.2,0.35,0.01,0.67,0.26,75.55,0.02
coassembly.bin.284_k141,99.99,0.03,0.98,0.02,0.03,1.02,0.1,0.27,0.02
coassembly.bin.287_k141,1.12,98.17,3.79,84.63,0.81,35.01,48.06,0.72,4.14
coassembly.bin.28_k141,0.24,99.52,1.67,1.31,0.16,43.03,60.01,0.12,0.29
coassembly.bin.291_k141,99.78,5.99,95.22,4.42,1.59,4.53,4.35,39.31,2.72
