Genome,GTX0468_trimmed,GTX0466_trimmed,GTX0486_487_trimmed,GTX0481_trimmed,GTX0494_trimmed,GTX0484_trimmed,GTX0465_trimmed,GTX0491_trimmed,GTX0493_trimmed
coassembly.bin.100_k141,100.0,3.69,65.04,0.64,0.09,0.78,1.06,57.77,0.19
coassembly.bin.107_k141,69.43,99.77,83.37,85.89,23.0,100.0,97.03,80.06,35.75
coassembly.bin.114_k141,0.08,0.15,0.06,0.0,0.14,0.09,99.98,0.03,0.04
coassembly.bin.11_k141,100.0,97.21,100.0,90.61,84.08,96.71,86.62,99.17,81.03
coassembly.bin.126_k141,100.0,67.88,87.71,31.48,9.86,35.68,39.96,87.38,15.64
coassembly.bin.129_k141,95.88,100.0,98.37,96.67,91.4,99.93,95.46,57.28,94.22
coassembly.bin.133_k141,12.65,99.91,66.3,11.29,2.45,99.97,54.47,36.6,3.64
coassembly.bin.145_k141,46.31,100.0,36.53,73.72,32.89,99.99,99.87,60.54,80.62
coassembly.bin.151_k141,0.0,0.68,0.62,19.45,8.52,100.0,1.96,0.24,22.38
coassembly.bin.160_k141,79.25,64.33,100.0,29.37,14.3,25.45,33.68,94.97,16.28
coassembly.bin.165_k141,100.0,20.28,85.26,13.95,0.77,24.46,14.3,99.85,1.95
coassembly.bin.167_k141,100.0,0.45,60.25,0.16,0.05,0.19,0.15,41.49,0.09
coassembly.bin.174_k141,99.94,100.0,99.99,99.97,99.76,100.0,99.99,95.62,100.0
coassembly.bin.175_k141,6.33,57.77,12.75,33.23,1.95,100.0,42.26,8.05,29.41
coassembly.bin.180_k141,0.24,100.0,9.57,12.7,0.51,32.98,93.68,0.29,14.51
coassembly.bin.182_k141,99.76,5.26,99.99,2.62,4.97,3.1,2.41,73.87,3.62
coassembly.bin.186_k141,42.75,100.0,40.33,3.04,0.71,4.06,97.0,86.79,1.05
coassembly.bin.187_k141,97.21,1.46,99.92,0.15,0.01,0.45,1.67,49.39,0.02
coassembly.bin.191_k141,8.72,99.99,15.05,16.58,3.67,28.28,50.41,11.43,7.38
coassembly.bin.195_k141,27.26,49.7,99.83,21.38,18.58,99.83,29.15,59.79,18.51
coassembly.bin.203_k141,99.99,35.97,80.88,18.81,11.99,12.53,20.06,55.54,11.01
coassembly.bin.204_k141,99.97,49.96,97.08,20.11,8.71,16.28,30.36,79.7,7.69
coassembly.bin.209_k141,0.12,100.0,0.35,22.83,24.64,5.09,32.44,0.14,14.51
coassembly.bin.211_k141,99.98,58.82,99.97,6.74,1.8,11.89,9.37,66.76,2.31
coassembly.bin.212_k141,94.1,66.25,100.0,34.51,9.81,32.37,37.19,96.34,17.31
coassembly.bin.216_k141,3.91,99.26,6.4,95.25,20.24,53.42,53.46,6.79,84.69
coassembly.bin.233_k141,7.04,22.05,9.86,85.02,97.54,11.8,12.41,9.65,100.0
coassembly.bin.238_k141,0.03,6.23,0.11,99.8,54.27,1.31,0.79,0.03,78.92
coassembly.bin.246_k141,79.94,100.0,93.15,58.24,25.45,56.24,82.76,91.98,28.75
coassembly.bin.24_k141,95.97,100.0,91.09,39.26,13.04,35.28,57.6,96.86,20.98
coassembly.bin.251_k141,100.0,99.45,100.0,49.8,23.66,31.35,75.16,100.0,33.42
coassembly.bin.265_k141,99.93,8.18,99.33,6.91,4.08,4.01,4.57,56.08,3.16
coassembly.bin.266_k141,0.09,0.12,0.58,0.0,0.0,0.01,99.95,0.12,0.0
coassembly.bin.271_k141,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.89,100.0
coassembly.bin.274_k141,96.85,6.27,100.0,0.42,0.02,1.06,0.36,87.94,0.04
coassembly.bin.284_k141,100.0,27.45,15.62,9.0,14.36,27.02,13.42,16.71,9.63
coassembly.bin.287_k141,2.18,99.34,5.64,91.81,7.46,43.09,56.63,1.16,9.74
coassembly.bin.28_k141,0.84,99.83,2.77,1.97,0.38,48.97,68.84,0.58,0.58
coassembly.bin.291_k141,100.0,20.77,99.17,18.72,4.83,11.36,13.61,61.71,8.55
coassembly.bin.299_k141,99.79,16.59,100.0,13.65,1.07,26.42,16.88,97.25,2.33
coassembly.bin.304_k141,76.22,7.09,100.0,2.08,0.15,7.69,3.39,34.3,0.76
coassembly.bin.315_k141,0.12,100.0,0.15,0.99,0.03,10.7,6.14,1.01,0.64
coassembly.bin.324_k141,6.43,99.92,10.36,3.19,0.09,58.15,98.42,7.78,0.05
coassembly.bin.330_k141,23.46,100.0,41.03,18.87,1.75,4.03,9.08,10.53,1.64
coassembly.bin.334_k141,100.0,36.3,25.4,4.19,0.39,3.83,8.37,20.04,1.56
coassembly.bin.33_k141,34.29,88.17,74.96,70.6,11.95,99.86,93.78,34.76,22.5
