ID	Species	Group	Ecology	Taxonomy	filename
Acastr1	Acarospora strigata	Fungi	Lichen	Ascomycota; Lecanoromycetes; Acarosporales	Acastr1_GeneCatalog_proteins_20160720.fasta
Altal1	Alternaria alternata	Fungi	Non_lichen	Ascomycota; Dothideomycetes; Pleosporales	Altal1_GeneCatalog_proteins_20141010.fasta
Amamu1	Amanita muscaria	Fungi	Non_lichen	Basidiomycota	Amamu1_GeneCatalog_proteins_20120806.fasta
AOBU01	Cyphellophora europaea	Fungi	Non_lichen	Ascomycota; Eurotiomycetes; Chaetothyriales	AOBU01.fasta
Artol1	Arthrobotrys oligospora	Fungi	Non_lichen	Ascomycota; Orbiliomycetes; Orbiliales	Artol1_GeneCatalog_proteins_20131209.fasta
Ascim1	Ascobolus immersus	Fungi	Non_lichen	Ascomycota; Pezizomycetes; Pezizales	Ascim1_GeneCatalog_proteins_20121221.fasta
Aspni	Aspergillus niger CBS 513.88	Fungi	Non_lichen	Ascomycota; Eurotiomycetes; Eurotiales	Aspni_DSM_1_GeneCatalog_proteins_20130526.fasta
Aurpu	Aureobasidium pullulans var. melanogenum	Fungi	Non_lichen	Ascomycota; Dothideomycetes; Botryosphaeriales	Aurpu_var_mel1_GeneCatalog_proteins_20130418.fasta
CAJPDR01	Alectoria fallacina	Fungi	Lichen	Ascomycota; Lecanoromycetes; Lecanorales	CAJPDR01_protein.fasta
Capcor1	Capronia coronata	Fungi	Non_lichen	Ascomycota; Eurotiomycetes; Chaetothyriales	Capcor1_GeneCatalog_proteins_20160826.fasta
Claba1	Cladophialophora bantiana CBS 173.52	Fungi	Non_lichen	Ascomycota; Eurotiomycetes; Chaetothyriales	Claba1_GeneCatalog_proteins_20160826.fasta
Clagr3	Cladonia grayi	Fungi	Lichen	Ascomycota; Lecanoromycetes; Lecanorales	Clagr3_GeneCatalog_proteins_20111121.fasta
Cocpo1	Coccidioides posadasii	Fungi	Non_lichen	Ascomycota; Eurotiomycetes; Onygenales	Cocpo1_1_GeneCatalog_proteins_20191103.fasta
Dibbae1	Dibaeis baeomyces 	Fungi	Lichen	Ascomycota; Lecanoromycetes; Pertusariales	Dibbae1_GeneCatalog_proteins_20160727.fasta
EndpusZ1	Endocarpon pusillum	Fungi	Non_lichen	Ascomycota; Eurotiomycetes; Verrucariales	EndpusZ1_GeneCatalog_proteins_20180130.fasta
Erypu1	Erysiphe pulchra	Fungi	Non_lichen	Ascomycota; Leotiomycetes; Erysiphales	Erypu1_GeneCatalog_proteins_20210223.fasta
Exoaq1	Exophiala aquamarina	Fungi	Non_lichen	Ascomycota; Eurotiomycetes; Chaetothyriales	Exoaq1_GeneCatalog_proteins_20160901.fasta
Fonmu1	Fonsecaea multimorphosa	Fungi	Non_lichen	Ascomycota; Eurotiomycetes; Chaetothyriales	Fonmu1_GeneCatalog_proteins_20160827.fasta
Fusgr1	Fusarium graminearum	Fungi	Non_lichen	Ascomycota; Sordariomycetes; Hypocreales	Fusgr1_GeneCatalog_proteins_20110524.fasta
