target_id	sample	expression	part	substrate	thallus	part2
XANPAGTX0501_002103-T1	XBA1	4.48814418578482	apothecia	bark	XB1	apothecia
XANPAGTX0501_002103-T1	XBA2	4.02217341310238	apothecia	bark	XB2	apothecia
XANPAGTX0501_002103-T1	XBC1	2.79414723868443	thallus_centre	bark	XB1	thallus
XANPAGTX0501_002103-T1	XBC2	2.78810057981098	thallus_centre	bark	XB2	thallus
XANPAGTX0501_002103-T1	XBE1	2.30874853808982	thallus_edge	bark	XB1	thallus
XANPAGTX0501_002103-T1	XBE2	1.81521522577872	thallus_edge	bark	XB2	thallus
XANPAGTX0501_002103-T1	XMC2	3.00683594902634	thallus_centre	metal_bridge	XM2	thallus
XANPAGTX0501_002103-T1	XSA1	4.90137491364763	apothecia	stone_fence	XS1	apothecia
XANPAGTX0501_002103-T1	XSA2	5.30470899910435	apothecia	stone_fence	XS2	apothecia
XANPAGTX0501_002103-T1	XSA2_2	5.29707852699817	apothecia	stone_fence	XS2	apothecia
XANPAGTX0501_002103-T1	XSC1	4.06463452295546	thallus_centre	stone_fence	XS1	thallus
XANPAGTX0501_002103-T1	XSC2	4.43717632150273	thallus_centre	stone_fence	XS2	thallus
XANPAGTX0501_002103-T1	XSE2	3.38160007419913	thallus_edge	stone_fence	XS2	thallus
XANPAGTX0501_002103-T1	XTA1	4.28186929311696	apothecia	twigs	XT1	apothecia
XANPAGTX0501_002103-T1	XTA2	4.3845475017971	apothecia	twigs	XT2	apothecia
XANPAGTX0501_002103-T1	XTC2	4.1642772474231	thallus_centre	twigs	XT2	thallus
XANPAGTX0501_002103-T1	XTE2	3.84457032553248	thallus_edge	twigs	XT2	thallus
XANPAGTX0501_002104-T1	XBA1	5.03824788886288	apothecia	bark	XB1	apothecia
XANPAGTX0501_002104-T1	XBA2	4.73468701527256	apothecia	bark	XB2	apothecia
XANPAGTX0501_002104-T1	XBC1	3.01526574306327	thallus_centre	bark	XB1	thallus
XANPAGTX0501_002104-T1	XBC2	3.75601705819529	thallus_centre	bark	XB2	thallus
XANPAGTX0501_002104-T1	XBE1	3.11729677661523	thallus_edge	bark	XB1	thallus
XANPAGTX0501_002104-T1	XBE2	2.42018287589461	thallus_edge	bark	XB2	thallus
XANPAGTX0501_002104-T1	XMC2	3.23046792183276	thallus_centre	metal_bridge	XM2	thallus
XANPAGTX0501_002104-T1	XSA1	5.63266066300526	apothecia	stone_fence	XS1	apothecia
XANPAGTX0501_002104-T1	XSA2	5.78951918683964	apothecia	stone_fence	XS2	apothecia
XANPAGTX0501_002104-T1	XSA2_2	5.98490445273957	apothecia	stone_fence	XS2	apothecia
XANPAGTX0501_002104-T1	XSC1	4.72998226389786	thallus_centre	stone_fence	XS1	thallus
XANPAGTX0501_002104-T1	XSC2	5.22820370109778	thallus_centre	stone_fence	XS2	thallus
XANPAGTX0501_002104-T1	XSE2	4.04271343072455	thallus_edge	stone_fence	XS2	thallus
XANPAGTX0501_002104-T1	XTA1	4.86654167221049	apothecia	twigs	XT1	apothecia
XANPAGTX0501_002104-T1	XTA2	5.06617915092276	apothecia	twigs	XT2	apothecia
XANPAGTX0501_002104-T1	XTC2	4.67951158660849	thallus_centre	twigs	XT2	thallus
XANPAGTX0501_002104-T1	XTE2	4.20032707972342	thallus_edge	twigs	XT2	thallus
