DATASET_BINARY
SEPARATOR COMMA
DATASET_LABEL,Differentially Expressed
COLOR,#ff0000
FIELD_LABELS,Upregulated in lichen,Upregulated in culture
FIELD_SHAPES,4,5
FIELD_COLORS,#F8766D,#00B6EB
DATA
FUN_000051-T1,1,-1
FUN_000085-T1,-1,-1
FUN_000099-T1,-1,-1
FUN_000106-T1,-1,-1
FUN_000163-T1,1,-1
FUN_000182-T1,-1,-1
FUN_000197-T1,-1,-1
FUN_000203-T1,-1,-1
FUN_000306-T1,-1,1
FUN_000358-T1,-1,-1
FUN_000361-T1,-1,-1
FUN_000377-T1,-1,-1
FUN_000388-T1,-1,-1
FUN_000410-T1,-1,-1
FUN_000439-T1,-1,-1
FUN_000452-T1,-1,-1
FUN_000458-T1,-1,-1
FUN_000467-T1,1,-1
FUN_000471-T1,-1,-1
FUN_000479-T1,-1,-1
FUN_000516-T1,-1,-1
FUN_000540-T1,-1,-1
FUN_000553-T1,-1,-1
FUN_000626-T1,-1,-1
FUN_000633-T1,-1,-1
FUN_000644-T1,-1,-1
FUN_000646-T1,-1,-1
FUN_000656-T1,1,-1
FUN_000698-T1,-1,-1
FUN_000709-T1,-1,-1
FUN_000719-T1,-1,-1
FUN_000740-T1,-1,-1
FUN_000747-T1,-1,-1
FUN_000801-T1,-1,-1
FUN_000833-T1,-1,-1
FUN_000850-T1,-1,1
FUN_000861-T1,-1,-1
FUN_000923-T1,1,-1
FUN_000933-T1,-1,-1
FUN_000935-T1,-1,-1
FUN_001002-T1,-1,-1
FUN_001015-T1,1,-1
FUN_001028-T1,-1,-1
FUN_001051-T1,-1,1
FUN_001066-T1,-1,-1
FUN_001083-T1,-1,-1
FUN_001094-T1,-1,-1
FUN_001104-T1,-1,-1
FUN_001123-T1,-1,-1
FUN_001127-T1,1,-1
FUN_001150-T1,-1,-1
FUN_001160-T1,-1,-1
FUN_001259-T1,-1,-1
FUN_001263-T1,-1,-1
FUN_001264-T1,-1,-1
FUN_001455-T1,1,-1
FUN_001458-T1,1,-1
FUN_001516-T1,-1,-1
FUN_001599-T1,-1,-1
FUN_001631-T1,-1,-1
FUN_001663-T1,-1,-1
FUN_001675-T1,-1,-1
FUN_001704-T1,-1,-1
FUN_001758-T1,-1,-1
FUN_001769-T1,-1,-1
FUN_001785-T1,-1,-1
FUN_001815-T1,-1,-1
FUN_001832-T1,1,-1
FUN_001856-T1,1,-1
FUN_001885-T1,-1,-1
FUN_001941-T1,-1,-1
FUN_001970-T1,1,-1
FUN_001974-T1,-1,1
FUN_002007-T1,-1,-1
FUN_002012-T1,-1,-1
FUN_002120-T1,-1,-1
FUN_002144-T1,-1,-1
FUN_002191-T1,1,-1
FUN_002229-T1,-1,-1
FUN_002283-T1,-1,-1
FUN_002304-T1,-1,-1
FUN_002310-T1,-1,-1
FUN_002315-T2,1,-1
FUN_002316-T1,-1,-1
FUN_002331-T1,1,-1
FUN_002353-T1,-1,-1
FUN_002376-T1,-1,-1
FUN_002396-T1,-1,-1
FUN_002406-T2,-1,-1
FUN_002409-T1,1,-1
FUN_002462-T1,-1,-1
