genome,location,length
bin.195.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/coassembly/final.contigs.fa.metabat/bin.195.fa,56966617
bin.321.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/coassembly/final.contigs.fa.metabat/bin.321.fa,60246696
bin.64.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/coassembly/final.contigs.fa.metabat/bin.64.fa,22353331
bin.1.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/coassembly/final.contigs.fa.metabat/bin.1.fa,59833070
bin.378.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/coassembly/final.contigs.fa.metabat/bin.378.fa,33057185
bin.46.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/coassembly/final.contigs.fa.metabat/bin.46.fa,55253575
bin.335.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/coassembly/final.contigs.fa.metabat/bin.335.fa,17486084
bin.76.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/coassembly/final.contigs.fa.metabat/bin.76.fa,25481863
bin.376.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/coassembly/final.contigs.fa.metabat/bin.376.fa,23218115
bin.10.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/coassembly/final.contigs.fa.metabat/bin.10.fa,23784779
bin.142.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/coassembly/final.contigs.fa.metabat/bin.142.fa,26349761
