genome,completeness,contamination,location,length,N50
GTX0465.bin.1.fa,89.4,4.4,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0465.bin.1.fa,59369835,53632
GTX0465.bin.21.fa,92.86,0.38,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0465.bin.21.fa,21448810,35481
GTX0466.bin.15.fa,99.62,0.0,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0466.bin.15.fa,27330910,508503
GTX0466.bin.29.fa,84.6,5.0,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0466.bin.29.fa,57637508,11164
GTX0466.bin.35.fa,92.48,0.75,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0466.bin.35.fa,21984485,35217
GTX0466.bin.21.fa,64.4,2.0,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0466.bin.21.fa,43165405,42405
GTX0466.merged.0.fa,91.2,4.8,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0466.merged.0.fa,59848596,49452
GTX0484.bin.40.fa,88.35,0.38,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0484.bin.40.fa,20180701,25299
GTX0468.bin.24.fa,97.37,0.38,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0468.bin.24.fa,25851708,207162
GTX0468.bin.53.fa,87.8,4.4,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0468.bin.53.fa,60640980,15495
GTX0486_487.bin.12.fa,87.22,3.76,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0486_487.bin.12.fa,24644408,9695
GTX0486_487.bin.100.fa,95.86,0.0,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0486_487.bin.100.fa,24299713,38965
GTX0486_487.bin.46.fa,91.35,0.75,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0486_487.bin.46.fa,20777064,29374
GTX0491.bin.33.fa,90.2,5.8,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0491.bin.33.fa,67503976,28337
GTX0491.bin.13.fa,84.59,0.0,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0491.bin.13.fa,21433045,102804
GTX0481.bin.18.fa,92.48,1.13,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0481.bin.18.fa,21493487,26143
GTX0481.bin.1.fa,94.36,1.5,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0481.bin.1.fa,29852520,13535
GTX0493.bin.23.fa,87.0,4.2,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0493.bin.23.fa,55592226,14283
GTX0493.bin.28.fa,95.86,0.75,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0493.bin.28.fa,24719443,152225
GTX0494.bin.15.fa,87.6,4.6,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0494.bin.15.fa,58857211,23916
GTX0494.bin.19.fa,98.5,0.38,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0494.bin.19.fa,25611674,96876
GTX0465.bin.10.fa,69.12,2.92,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0465.bin.10.fa,2576733,15956
GTX0465.bin.15.fa,61.82,8.77,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0465.bin.15.fa,2832436,5451
GTX0465.bin.17.fa,52.9,0.0,analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0465.bin.17.fa,3752970,12462
