	Astpho2_GeneCatalog_proteins_20111209.aa	Auxeprot1_GeneCatalog_proteins_20170909.aa	Batpra1_GeneCatalog_proteins_20180426.aa	Botrbrau1_GeneCatalog_proteins_20200805.aa	Chabra1_GeneCatalog_proteins_20200807.aa	Chleu1_GeneCatalog_proteins_20200804.aa	Chlorella_NC64A.best_proteins	Chloso1228_1_GeneCatalog_proteins_20200805.aa	Coccomyxa_C169_v2_filtered_proteins	GTX0465.bin.1.proteins	GTX0468.bin.53.proteins	GTX0493.bin.23.proteins	TrebA12_1_GeneCatalog_proteins_20200804.aa	Ulvmu1_GeneCatalog_proteins_20200803.aa	Volca2_1_GeneCatalog_proteins_20200117.aa	coassembly.bin.195.proteins	trebgel_BUSCO_proteins	trebus_BUSCO_proteins
Astpho2_GeneCatalog_proteins_20111209.aa	0.0	3876.0	3140.0	4091.0	2946.0	4251.0	4378.0	4526.0	4831.0	4757.0	4537.0	4847.0	5238.0	4100.0	4615.0	4639.0	638.0	1289.0
Auxeprot1_GeneCatalog_proteins_20170909.aa	3876.0	0.0	3100.0	3358.0	2640.0	3580.0	4415.0	4622.0	4020.0	3383.0	3176.0	3457.0	3743.0	3540.0	3935.0	3301.0	670.0	1334.0
Batpra1_GeneCatalog_proteins_20180426.aa	3140.0	3100.0	0.0	2674.0	2451.0	3103.0	3294.0	3344.0	3261.0	2758.0	2516.0	2712.0	3019.0	3220.0	3433.0	2639.0	696.0	1371.0
Botrbrau1_GeneCatalog_proteins_20200805.aa	4091.0	3358.0	2674.0	0.0	2515.0	3594.0	3896.0	4061.0	4394.0	3672.0	3527.0	3765.0	3978.0	3445.0	3933.0	3636.0	559.0	1078.0
Chabra1_GeneCatalog_proteins_20200807.aa	2946.0	2640.0	2451.0	2515.0	0.0	2890.0	2896.0	2981.0	2920.0	2583.0	2403.0	2595.0	2839.0	2924.0	3144.0	2541.0	528.0	1024.0
Chleu1_GeneCatalog_proteins_20200804.aa	4251.0	3580.0	3103.0	3594.0	2890.0	0.0	4134.0	4330.0	4056.0	3638.0	3436.0	3688.0	4073.0	4179.0	6010.0	3544.0	623.0	1286.0
Chlorella_NC64A.best_proteins	4378.0	4415.0	3294.0	3896.0	2896.0	4134.0	0.0	6547.0	4478.0	3788.0	3577.0	3898.0	4215.0	3984.0	4558.0	3722.0	668.0	1327.0
Chloso1228_1_GeneCatalog_proteins_20200805.aa	4526.0	4622.0	3344.0	4061.0	2981.0	4330.0	6547.0	0.0	4654.0	3940.0	3713.0	4071.0	4417.0	4107.0	4764.0	3890.0	655.0	1317.0
Coccomyxa_C169_v2_filtered_proteins	4831.0	4020.0	3261.0	4394.0	2920.0	4056.0	4478.0	4654.0	0.0	4116.0	3872.0	4199.0	4634.0	3973.0	4452.0	4053.0	680.0	1363.0
GTX0465.bin.1.proteins	4757.0	3383.0	2758.0	3672.0	2583.0	3638.0	3788.0	3940.0	4116.0	0.0	7161.0	7310.0	5930.0	3500.0	3945.0	6957.0	598.0	1188.0
GTX0468.bin.53.proteins	4537.0	3176.0	2516.0	3527.0	2403.0	3436.0	3577.0	3713.0	3872.0	7161.0	0.0	8277.0	5849.0	3307.0	3672.0	7759.0	594.0	1143.0
GTX0493.bin.23.proteins	4847.0	3457.0	2712.0	3765.0	2595.0	3688.0	3898.0	4071.0	4199.0	7310.0	8277.0	0.0	6239.0	3592.0	3975.0	7947.0	618.0	1185.0
TrebA12_1_GeneCatalog_proteins_20200804.aa	5238.0	3743.0	3019.0	3978.0	2839.0	4073.0	4215.0	4417.0	4634.0	5930.0	5849.0	6239.0	0.0	3875.0	4423.0	6027.0	611.0	1246.0
Ulvmu1_GeneCatalog_proteins_20200803.aa	4100.0	3540.0	3220.0	3445.0	2924.0	4179.0	3984.0	4107.0	3973.0	3500.0	3307.0	3592.0	3875.0	0.0	4592.0	3448.0	641.0	1285.0
Volca2_1_GeneCatalog_proteins_20200117.aa	4615.0	3935.0	3433.0	3933.0	3144.0	6010.0	4558.0	4764.0	4452.0	3945.0	3672.0	3975.0	4423.0	4592.0	0.0	3829.0	658.0	1333.0
coassembly.bin.195.proteins	4639.0	3301.0	2639.0	3636.0	2541.0	3544.0	3722.0	3890.0	4053.0	6957.0	7759.0	7947.0	6027.0	3448.0	3829.0	0.0	584.0	1157.0
trebgel_BUSCO_proteins	638.0	670.0	696.0	559.0	528.0	623.0	668.0	655.0	680.0	598.0	594.0	618.0	611.0	641.0	658.0	584.0	0.0	676.0
trebus_BUSCO_proteins	1289.0	1334.0	1371.0	1078.0	1024.0	1286.0	1327.0	1317.0	1363.0	1188.0	1143.0	1185.0	1246.0	1285.0	1333.0	1157.0	676.0	0.0
