genome,location,length
bin.100.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/coassembly/final.contigs.fa.metabat/bin.100.fa,5567030
bin.107.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/coassembly/final.contigs.fa.metabat/bin.107.fa,2673843
bin.108.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/coassembly/final.contigs.fa.metabat/bin.108.fa,2687980
bin.11.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/coassembly/final.contigs.fa.metabat/bin.11.fa,3410664
bin.112.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/coassembly/final.contigs.fa.metabat/bin.112.fa,3013604
bin.114.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/coassembly/final.contigs.fa.metabat/bin.114.fa,1025827
bin.115.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/coassembly/final.contigs.fa.metabat/bin.115.fa,2475672
bin.118.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/coassembly/final.contigs.fa.metabat/bin.118.fa,8448881
bin.126.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/coassembly/final.contigs.fa.metabat/bin.126.fa,2092801
bin.129.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/coassembly/final.contigs.fa.metabat/bin.129.fa,8095539
bin.132.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/coassembly/final.contigs.fa.metabat/bin.132.fa,3711000
bin.133.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/coassembly/final.contigs.fa.metabat/bin.133.fa,3497231
bin.135.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/coassembly/final.contigs.fa.metabat/bin.135.fa,9374116
bin.141.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/coassembly/final.contigs.fa.metabat/bin.141.fa,2702603
bin.143.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/coassembly/final.contigs.fa.metabat/bin.143.fa,3598297
bin.144.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/coassembly/final.contigs.fa.metabat/bin.144.fa,3352041
bin.145.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/coassembly/final.contigs.fa.metabat/bin.145.fa,4810439
bin.148.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/coassembly/final.contigs.fa.metabat/bin.148.fa,3106100
bin.149.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/coassembly/final.contigs.fa.metabat/bin.149.fa,4333077
bin.151.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/coassembly/final.contigs.fa.metabat/bin.151.fa,1194509
bin.160.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/coassembly/final.contigs.fa.metabat/bin.160.fa,3861937
bin.165.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/coassembly/final.contigs.fa.metabat/bin.165.fa,3841874
bin.166.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/coassembly/final.contigs.fa.metabat/bin.166.fa,3208262
bin.167.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/coassembly/final.contigs.fa.metabat/bin.167.fa,4344595
bin.170.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/coassembly/final.contigs.fa.metabat/bin.170.fa,4491442
bin.172.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/coassembly/final.contigs.fa.metabat/bin.172.fa,4784074
bin.173.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/coassembly/final.contigs.fa.metabat/bin.173.fa,534615
bin.174.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/coassembly/final.contigs.fa.metabat/bin.174.fa,2636992
bin.175.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/coassembly/final.contigs.fa.metabat/bin.175.fa,5501360
bin.176.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/coassembly/final.contigs.fa.metabat/bin.176.fa,3322443
bin.180.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/coassembly/final.contigs.fa.metabat/bin.180.fa,3390564
bin.182.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/coassembly/final.contigs.fa.metabat/bin.182.fa,4678260
bin.185.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/coassembly/final.contigs.fa.metabat/bin.185.fa,3276067
bin.186.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/coassembly/final.contigs.fa.metabat/bin.186.fa,2942398
bin.187.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/coassembly/final.contigs.fa.metabat/bin.187.fa,2786711
bin.189.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/coassembly/final.contigs.fa.metabat/bin.189.fa,2466193
bin.191.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/coassembly/final.contigs.fa.metabat/bin.191.fa,6891321
bin.199.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/coassembly/final.contigs.fa.metabat/bin.199.fa,3711034
bin.200.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/coassembly/final.contigs.fa.metabat/bin.200.fa,2777201
bin.203.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/coassembly/final.contigs.fa.metabat/bin.203.fa,3990044
bin.204.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/coassembly/final.contigs.fa.metabat/bin.204.fa,3094414
bin.209.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/coassembly/final.contigs.fa.metabat/bin.209.fa,3337926
bin.210.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/coassembly/final.contigs.fa.metabat/bin.210.fa,4854971
bin.211.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/coassembly/final.contigs.fa.metabat/bin.211.fa,8266996
bin.212.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/coassembly/final.contigs.fa.metabat/bin.212.fa,3015836
bin.214.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/coassembly/final.contigs.fa.metabat/bin.214.fa,2811385
bin.216.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/coassembly/final.contigs.fa.metabat/bin.216.fa,5270954
bin.217.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/coassembly/final.contigs.fa.metabat/bin.217.fa,3234968
bin.221.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/coassembly/final.contigs.fa.metabat/bin.221.fa,5280736
bin.222.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/coassembly/final.contigs.fa.metabat/bin.222.fa,3200235
bin.223.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/coassembly/final.contigs.fa.metabat/bin.223.fa,4927861
