	Astpho2_GeneCatalog_proteins_20111209.aa	Auxeprot1_GeneCatalog_proteins_20170909.aa	Batpra1_GeneCatalog_proteins_20180426.aa	Botrbrau1_GeneCatalog_proteins_20200805.aa	Chabra1_GeneCatalog_proteins_20200807.aa	Chleu1_GeneCatalog_proteins_20200804.aa	Chlorella_NC64A.best_proteins	Chloso1228_1_GeneCatalog_proteins_20200805.aa	Coccomyxa_C169_v2_filtered_proteins	GTX0465.bin.1.proteins	GTX0468.bin.53.proteins	GTX0493.bin.23.proteins	TrebA12_1_GeneCatalog_proteins_20200804.aa	Ulvmu1_GeneCatalog_proteins_20200803.aa	Volca2_1_GeneCatalog_proteins_20200117.aa	coassembly.bin.195.proteins	trebgel_BUSCO_proteins	trebus_BUSCO_proteins
Astpho2_GeneCatalog_proteins_20111209.aa	0.0	118.0	180.0	1307.0	734.0	666.0	305.0	334.0	224.0	653.0	1173.0	1002.0	458.0	254.0	318.0	991.0	30.0	11.0
Auxeprot1_GeneCatalog_proteins_20170909.aa	467.0	0.0	172.0	1163.0	733.0	635.0	334.0	381.0	242.0	542.0	933.0	778.0	418.0	245.0	310.0	762.0	31.0	14.0
Batpra1_GeneCatalog_proteins_20180426.aa	665.0	250.0	0.0	1307.0	900.0	859.0	508.0	552.0	429.0	708.0	1072.0	975.0	613.0	432.0	534.0	951.0	34.0	15.0
Botrbrau1_GeneCatalog_proteins_20200805.aa	383.0	96.0	147.0	0.0	627.0	579.0	261.0	306.0	179.0	472.0	883.0	713.0	347.0	172.0	257.0	712.0	28.0	8.0
Chabra1_GeneCatalog_proteins_20200807.aa	419.0	132.0	148.0	1006.0	0.0	573.0	315.0	326.0	241.0	507.0	835.0	708.0	397.0	245.0	319.0	689.0	26.0	7.0
Chleu1_GeneCatalog_proteins_20200804.aa	463.0	134.0	161.0	1224.0	748.0	0.0	331.0	358.0	215.0	605.0	1047.0	883.0	461.0	230.0	361.0	885.0	32.0	12.0
Chlorella_NC64A.best_proteins	493.0	109.0	183.0	1273.0	768.0	699.0	0.0	462.0	250.0	597.0	1028.0	852.0	458.0	248.0	344.0	833.0	34.0	12.0
Chloso1228_1_GeneCatalog_proteins_20200805.aa	503.0	98.0	182.0	1343.0	757.0	710.0	357.0	0.0	251.0	616.0	1079.0	885.0	464.0	248.0	346.0	888.0	33.0	12.0
Coccomyxa_C169_v2_filtered_proteins	451.0	138.0	189.0	1393.0	747.0	680.0	342.0	381.0	0.0	631.0	1096.0	929.0	443.0	232.0	324.0	882.0	33.0	14.0
GTX0465.bin.1.proteins	386.0	102.0	159.0	1048.0	630.0	584.0	261.0	300.0	203.0	0.0	868.0	627.0	384.0	205.0	282.0	671.0	23.0	12.0
GTX0468.bin.53.proteins	377.0	96.0	157.0	1013.0	573.0	537.0	237.0	285.0	201.0	343.0	0.0	413.0	372.0	194.0	269.0	485.0	24.0	9.0
GTX0493.bin.23.proteins	385.0	83.0	164.0	1083.0	616.0	592.0	245.0	294.0	202.0	376.0	679.0	0.0	392.0	197.0	279.0	521.0	23.0	8.0
TrebA12_1_GeneCatalog_proteins_20200804.aa	413.0	117.0	185.0	1207.0	696.0	632.0	288.0	325.0	206.0	607.0	1143.0	895.0	0.0	245.0	294.0	888.0	21.0	7.0
Ulvmu1_GeneCatalog_proteins_20200803.aa	522.0	165.0	177.0	1259.0	771.0	754.0	351.0	397.0	254.0	622.0	1081.0	878.0	462.0	0.0	362.0	857.0	33.0	12.0
Volca2_1_GeneCatalog_proteins_20200117.aa	525.0	145.0	174.0	1348.0	815.0	913.0	366.0	403.0	267.0	662.0	1167.0	974.0	502.0	261.0	0.0	965.0	34.0	12.0
coassembly.bin.195.proteins	365.0	98.0	157.0	1056.0	604.0	580.0	240.0	298.0	184.0	397.0	752.0	492.0	378.0	199.0	275.0	0.0	24.0	6.0
trebgel_BUSCO_proteins	62.0	18.0	30.0	151.0	121.0	77.0	24.0	31.0	22.0	41.0	70.0	59.0	50.0	32.0	25.0	60.0	0.0	3.0
trebus_BUSCO_proteins	94.0	17.0	44.0	275.0	216.0	115.0	30.0	43.0	26.0	91.0	176.0	150.0	75.0	40.0	31.0	129.0	32.0	0.0
