Bin Id	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+
bin.1	p__Bacteroidetes (UID2591)	364	303	203	91.16	1.26	0.00	3459881	0	367	367	11435	11435	9427	9427	43434	43434	57.9	1.49	89.20	11	3429	26	273	4	0	0	0
bin.10	root (UID1)	5656	56	24	0.00	0.00	0.00	351514	0	27	27	20381	20381	13019	13019	51267	51267	45.6	1.05	88.02	11	369	56	0	0	0	0	0
bin.100	k__Bacteria (UID203)	5449	104	58	48.53	11.56	2.13	24299713	0	1096	1096	38965	38965	22171	22171	169552	169552	48.2	1.54	77.01	4	36262	41	36	17	10	0	0
bin.101	k__Bacteria (UID203)	5449	104	58	48.28	3.45	0.00	3452401	0	384	384	10879	10879	8990	8990	45461	45461	72.9	1.17	90.52	11	3506	70	31	3	0	0	0
bin.102	p__Actinobacteria (UID1454)	732	196	114	92.06	78.45	82.01	7875163	0	998	998	9884	9884	7890	7890	57489	57489	67.1	1.93	88.24	11	8934	36	41	109	10	0	0
bin.103	o__Actinomycetales (UID1593)	69	400	198	87.57	3.35	90.00	2879991	0	255	255	15853	15853	11294	11294	120540	120540	69.4	1.67	91.05	11	2882	72	318	10	0	0	0
bin.11	k__Bacteria (UID203)	5449	104	58	24.45	0.00	0.00	1101051	0	314	314	3415	3415	3506	3506	7948	7948	64.6	2.09	89.96	11	1262	85	19	0	0	0	0
bin.12	k__Bacteria (UID203)	5449	104	58	39.86	9.73	0.00	24644408	0	3117	3117	9695	9695	7906	7906	56625	56625	52.1	0.89	86.82	4	31224	47	37	12	8	0	0
bin.13	k__Bacteria (UID203)	5449	104	58	100.00	13.17	52.94	3777867	0	87	87	72267	72267	43423	43423	207582	207582	68.7	1.26	91.18	11	3781	0	87	17	0	0	0
bin.14	root (UID1)	5656	56	24	0.00	0.00	0.00	906885	0	120	120	8902	8902	7557	7557	37089	37089	51.2	0.99	80.58	4	1376	56	0	0	0	0	0
bin.15	o__Rhodospirillales (UID3754)	63	336	201	94.36	53.82	24.46	8960236	0	1518	1518	6571	6571	5902	5902	39004	39004	69.9	2.63	88.41	11	10120	23	176	118	16	3	0
bin.16	k__Bacteria (UID203)	5449	104	58	16.38	0.00	0.00	1477345	0	320	320	4726	4726	4616	4616	24115	24115	65.2	2.41	85.53	11	1704	93	11	0	0	0	0
bin.17	root (UID1)	5656	56	24	0.00	0.00	0.00	209783	0	58	58	3487	3487	3616	3616	7387	7387	60.2	1.27	90.87	11	228	56	0	0	0	0	0
bin.18	k__Bacteria (UID203)	5449	104	58	13.79	0.00	0.00	1384452	0	338	338	4077	4077	4096	4096	27854	27854	63.8	1.61	88.86	11	1441	95	9	0	0	0	0
bin.19	k__Bacteria (UID1453)	901	171	117	5.34	0.00	0.00	264122	0	33	33	9036	9036	8003	8003	40724	40724	43.6	1.71	32.92	11	177	147	24	0	0	0	0
bin.2	k__Bacteria (UID203)	5449	104	58	40.54	1.88	100.00	2354652	0	676	676	3379	3379	3483	3483	9152	9152	70.1	1.77	92.68	11	2875	74	28	2	0	0	0
