Orthogroup	trebgel_BUSCO_proteins	Other
OG0000590	KN805265.1_225342-226092	jgi|TrebA12_1|5233|rna-gnl|WGS_VXIU|FRX49_06873-mRNA-1_mrna_FRX49_06873
OG0001412	KN805361.1_2565808-2574643	jgi|ChlNC64A_1|59481|estExt_fgenesh3_pg.C_840001
OG0001674	KN805361.1_2251967-2259400	GTX0468b53_009606-T1
OG0001810	KN805359.1_2938631-2944104	GTX0465b1_003507-T1
OG0001889	KN805369.1_1811787-1815855	jgi|Chleu1|84|rna-CEUSTIGMA_g84.t1
OG0001889	KN805369.1_1811787-1815855	GTX0493b23_005665-T1
OG0001938	KN805265.1_88877-94404	jgi|ChlNC64A_1|142408|IGS.gm_4_00549
OG0001950	KN805361.1_3630562-3638817	jgi|Chleu1|12854|rna-CEUSTIGMA_g9912.t1
OG0002120	KN805267.1_1024605-1026576, JUBA01000083.1_21002-23771	jgi|Chloso1228_1|4147|CSI_122800009283-RA
OG0002231	KN805361.1_2507594-2516035	jgi|ChlNC64A_1|135365|IGS.gm_13_00293
OG0002279	KN805362.1_1772517-1774690	GTX0493b23_004457-T1
