genome,location,length
GTX0465.bin.1.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/all_mags/GTX0465.bin.1.fa,59369835
GTX0465.bin.21.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/all_mags/GTX0465.bin.21.fa,21448810
GTX0466.bin.15.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/all_mags/GTX0466.bin.15.fa,27330910
GTX0466.bin.29.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/all_mags/GTX0466.bin.29.fa,57637508
GTX0466.bin.35.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/all_mags/GTX0466.bin.35.fa,21984485
GTX0466.bin.21.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/all_mags/GTX0466.bin.21.fa,43165405
GTX0466.merged.0.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/all_mags/GTX0466.merged.0.fa,59848596
GTX0484.bin.40.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/all_mags/GTX0484.bin.40.fa,20180701
GTX0468.bin.24.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/all_mags/GTX0468.bin.24.fa,25851708
GTX0468.bin.53.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/all_mags/GTX0468.bin.53.fa,60640980
GTX0486_487.bin.12.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/all_mags/GTX0486_487.bin.12.fa,24644408
GTX0486_487.bin.100.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/all_mags/GTX0486_487.bin.100.fa,24299713
GTX0486_487.bin.46.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/all_mags/GTX0486_487.bin.46.fa,20777064
GTX0481.bin.18.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/all_mags/GTX0481.bin.18.fa,21493487
GTX0481.bin.1.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/all_mags/GTX0481.bin.1.fa,29852520
GTX0493.bin.23.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/all_mags/GTX0493.bin.23.fa,55592226
GTX0493.bin.28.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/all_mags/GTX0493.bin.28.fa,24719443
GTX0494.bin.15.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/all_mags/GTX0494.bin.15.fa,58857211
GTX0494.bin.19.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/all_mags/GTX0494.bin.19.fa,25611674
coassembly.bin.195.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/all_mags/coassembly.bin.195.fa,56966617
coassembly.bin.321.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/all_mags/coassembly.bin.321.fa,60246696
coassembly.bin.64.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/all_mags/coassembly.bin.64.fa,22353331
coassembly.bin.1.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/all_mags/coassembly.bin.1.fa,59833070
coassembly.bin.378.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/all_mags/coassembly.bin.378.fa,33057185
coassembly.bin.46.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/all_mags/coassembly.bin.46.fa,55253575
coassembly.bin.335.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/all_mags/coassembly.bin.335.fa,17486084
coassembly.bin.76.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/all_mags/coassembly.bin.76.fa,25481863
coassembly.bin.376.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/all_mags/coassembly.bin.376.fa,23218115
coassembly.bin.10.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/all_mags/coassembly.bin.10.fa,23784779
coassembly.bin.142.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/all_mags/coassembly.bin.142.fa,26349761
