Orthogroup	trebus_BUSCO_proteins	Other
OG0000743	BDIU01000120.1_49871-53446	GTX0493b23_012273-T1
OG0001110	BDIU01000151.1_29563-35403	jgi|Chleu1|1844|rna-CEUSTIGMA_g11701.t1
OG0001412	BDIU01000056.1_400672-415951	jgi|ChlNC64A_1|59481|estExt_fgenesh3_pg.C_840001
OG0001526	BDIU01000138.1_44507-49410	jgi|ChlNC64A_1|34843|estExt_Genewise1Plus.C_60045
OG0001526	BDIU01000138.1_44507-49410	jgi|Chleu1|5918|rna-CEUSTIGMA_g13624.t1, jgi|Chleu1|3751|rna-CEUSTIGMA_g12844.t1
OG0001659	BDIU01000148.1_142936-147867	jgi|Chloso1228_1|6015|CSI_122800010113-RA
OG0001889	BDIU01000046.1_128804-136989	jgi|Chleu1|84|rna-CEUSTIGMA_g84.t1
OG0001889	BDIU01000046.1_128804-136989	GTX0493b23_005665-T1
OG0001938	BDIU01000013.1_410465-417159	jgi|ChlNC64A_1|142408|IGS.gm_4_00549
OG0001950	BDIU01000176.1_31648-38267	jgi|Chleu1|12854|rna-CEUSTIGMA_g9912.t1
OG0002019	BDIU01000134.1_137335-145027	GTX0465b1_005565-T1
OG0002120	BDIU01000032.1_314433-317228	jgi|Chloso1228_1|4147|CSI_122800009283-RA
OG0002231	BDIU01000154.1_69752-76642	jgi|ChlNC64A_1|135365|IGS.gm_13_00293
OG0002441	BDIU01000047.1_120490-124519	jgi|Volca2_1|10645|Vocar.0004s0048.1
OG0002705	BDIU01000351.1_15049-23325	jgi|Botrbrau1|22936|Bobra.0030s0013.1
OG0003322	BDIU01000149.1_19457-25450	jgi|Botrbrau1|756|Bobra.0181s0015.1
