genome,cluster,score
GTX0494.bin.19.fa,1_1,99.09310809926552
GTX0491.bin.13.fa,1_2,87.09600500647424
GTX0481.bin.1.fa,2_0,88.92572913005326
GTX0486_487.bin.12.fa,3_0,70.41327390670736
GTX0466.bin.15.fa,4_0,102.47314675973027
GTX0481.bin.6.fa,5_1,96.68622382860153
GTX0466.bin.19.fa,6_0,60.96963479316936
GTX0486_487.bin.83.fa,7_0,96.64258802239847
GTX0466.bin.17.fa,8_0,71.56369481067605
GTX0468.bin.23.fa,9_1,79.12864746799005
GTX0468.bin.47.fa,9_2,52.00887256463479
GTX0484.bin.25.fa,10_0,99.8065015457606
GTX0466.bin.83.fa,11_0,59.334510360241836
GTX0468.bin.2.fa,12_0,90.40210383150509
GTX0486_487.bin.41.fa,13_0,70.92798995707011
GTX0468.bin.63.fa,14_1,98.86496402685816
GTX0486_487.bin.96.fa,15_1,98.4928378617563
GTX0486_487.bin.21.fa,16_0,97.83527891392299
GTX0466.bin.75.fa,17_0,94.82935775674517
GTX0486_487.bin.66.fa,18_0,67.12722368926124
GTX0466.bin.31.fa,19_1,69.15670106461593
GTX0466.bin.56.fa,19_2,58.72948011426377
GTX0481.bin.9.fa,19_3,74.26571772746357
GTX0484.bin.13.fa,20_1,94.41582564939158
GTX0466.bin.39.fa,21_0,84.64504079447833
GTX0484.bin.18.fa,22_0,92.2695721682715
GTX0486_487.bin.100.fa,23_0,98.1553373402876
GTX0493.bin.23.fa,24_1,68.07740971809709
GTX0468.bin.53.fa,24_2,67.89509579028766
GTX0465.bin.1.fa,24_3,69.76471199630708
GTX0491.bin.33.fa,24_4,63.4261769350868
GTX0493.bin.7.fa,25_1,86.93208226234267
GTX0466.bin.4.fa,26_0,69.82702913871218
GTX0468.bin.72.fa,27_1,72.95257510457009
GTX0466.bin.55.fa,27_2,66.63913642678573
GTX0466.bin.6.fa,28_0,67.02431799421632
GTX0468.bin.4.fa,29_1,73.960454145309
GTX0468.bin.17.fa,29_2,77.02613364899915
GTX0468.bin.1.fa,30_0,79.42656192439443
GTX0466.bin.7.fa,31_1,70.23654476492594
GTX0493.bin.27.fa,31_2,49.96253308919488
GTX0481.bin.10.fa,31_3,46.69991886293362
GTX0468.bin.6.fa,32_0,51.75718824704418
GTX0481.bin.28.fa,33_0,54.520148080135364
GTX0468.bin.14.fa,34_1,96.20525295518455
GTX0486_487.bin.1.fa,34_2,86.88911808447138
GTX0468.bin.19.fa,35_1,98.45431755971221
