name	number_unique_genes	number_multiple_genes	number_multiple_unique_genes	number_missing_genes	list_unique_genes	list_multiple_genes	list_multiple_unique_genes	list_missing_genes
GTX0465.bin.15.fa	53	9	0	58	PF00466.21,PF02576.18,TIGR00020,TIGR00029,TIGR00054,TIGR00059,TIGR00065,TIGR00082,TIGR00083,TIGR00092,TIGR00115,TIGR00116,TIGR00138,TIGR00168,TIGR00186,TIGR00194,TIGR00250,TIGR00337,TIGR00344,TIGR00362,TIGR00431,TIGR00435,TIGR00445,TIGR00456,TIGR00460,TIGR00496,TIGR00539,TIGR00593,TIGR00634,TIGR00663,TIGR00717,TIGR00755,TIGR00922,TIGR00928,TIGR00963,TIGR00964,TIGR01011,TIGR01017,TIGR01029,TIGR01039,TIGR01059,TIGR01087,TIGR01146,TIGR01169,TIGR01171,TIGR01510,TIGR02027,TIGR02432,TIGR02729,TIGR03625,TIGR03632,TIGR03723,TIGR03953	PF01025.20,TIGR00061,TIGR00420,TIGR00436,TIGR00459,TIGR00580,TIGR00810,TIGR02191,TIGR02397		PF00380.20,PF00410.20,PF03726.15,TIGR00006,TIGR00019,TIGR00043,TIGR00064,TIGR00084,TIGR00086,TIGR00088,TIGR00090,TIGR00095,TIGR00158,TIGR00166,TIGR00382,TIGR00392,TIGR00396,TIGR00398,TIGR00414,TIGR00416,TIGR00442,TIGR00468,TIGR00472,TIGR00487,TIGR00615,TIGR00631,TIGR00635,TIGR00643,TIGR00959,TIGR00967,TIGR01009,TIGR01021,TIGR01032,TIGR01044,TIGR01063,TIGR01066,TIGR01071,TIGR01079,TIGR01082,TIGR01128,TIGR01164,TIGR01302,TIGR01391,TIGR01393,TIGR01394,TIGR01632,TIGR01951,TIGR01953,TIGR02012,TIGR02013,TIGR02075,TIGR02273,TIGR02350,TIGR02386,TIGR03263,TIGR03594,TIGR03654,TIGR03725
GTX0465.bin.17.fa	64	1	0	55	PF00380.20,PF01025.20,PF02576.18,PF03726.15,TIGR00006,TIGR00019,TIGR00020,TIGR00029,TIGR00059,TIGR00061,TIGR00065,TIGR00082,TIGR00083,TIGR00084,TIGR00086,TIGR00138,TIGR00186,TIGR00194,TIGR00250,TIGR00337,TIGR00344,TIGR00362,TIGR00392,TIGR00396,TIGR00398,TIGR00414,TIGR00416,TIGR00435,TIGR00436,TIGR00442,TIGR00456,TIGR00468,TIGR00472,TIGR00487,TIGR00539,TIGR00580,TIGR00615,TIGR00634,TIGR00635,TIGR00663,TIGR00755,TIGR00810,TIGR00928,TIGR00963,TIGR00967,TIGR01017,TIGR01032,TIGR01059,TIGR01063,TIGR01066,TIGR01128,TIGR01302,TIGR01391,TIGR01393,TIGR01951,TIGR01953,TIGR02012,TIGR02027,TIGR02350,TIGR02397,TIGR02729,TIGR03263,TIGR03594,TIGR03632	TIGR00054		PF00410.20,PF00466.21,TIGR00043,TIGR00064,TIGR00088,TIGR00090,TIGR00092,TIGR00095,TIGR00115,TIGR00116,TIGR00158,TIGR00166,TIGR00168,TIGR00382,TIGR00420,TIGR00431,TIGR00445,TIGR00459,TIGR00460,TIGR00496,TIGR00593,TIGR00631,TIGR00643,TIGR00717,TIGR00922,TIGR00959,TIGR00964,TIGR01009,TIGR01011,TIGR01021,TIGR01029,TIGR01039,TIGR01044,TIGR01071,TIGR01079,TIGR01082,TIGR01087,TIGR01146,TIGR01164,TIGR01169,TIGR01171,TIGR01394,TIGR01510,TIGR01632,TIGR02013,TIGR02075,TIGR02191,TIGR02273,TIGR02386,TIGR02432,TIGR03625,TIGR03654,TIGR03723,TIGR03725,TIGR03953
GTX0465.bin.18.fa	67	2	0	51	PF01025.20,PF02576.18,PF03726.15,TIGR00006,TIGR00019,TIGR00020,TIGR00054,TIGR00061,TIGR00064,TIGR00082,TIGR00084,TIGR00088,TIGR00090,TIGR00095,TIGR00115,TIGR00116,TIGR00138,TIGR00166,TIGR00186,TIGR00194,TIGR00250,TIGR00337,TIGR00344,TIGR00382,TIGR00392,TIGR00398,TIGR00414,TIGR00416,TIGR00420,TIGR00442,TIGR00445,TIGR00456,TIGR00459,TIGR00460,TIGR00472,TIGR00487,TIGR00496,TIGR00539,TIGR00593,TIGR00615,TIGR00631,TIGR00634,TIGR00635,TIGR00643,TIGR00810,TIGR01011,TIGR01066,TIGR01082,TIGR01087,TIGR01128,TIGR01169,TIGR01394,TIGR01510,TIGR01632,TIGR01951,TIGR01953,TIGR02012,TIGR02075,TIGR02191,TIGR02273,TIGR02350,TIGR02397,TIGR02729,TIGR03263,TIGR03594,TIGR03723,TIGR03725	TIGR00928,TIGR01059		PF00380.20,PF00410.20,PF00466.21,TIGR00029,TIGR00043,TIGR00059,TIGR00065,TIGR00083,TIGR00086,TIGR00092,TIGR00158,TIGR00168,TIGR00362,TIGR00396,TIGR00431,TIGR00435,TIGR00436,TIGR00468,TIGR00580,TIGR00663,TIGR00717,TIGR00755,TIGR00922,TIGR00959,TIGR00963,TIGR00964,TIGR00967,TIGR01009,TIGR01017,TIGR01021,TIGR01029,TIGR01032,TIGR01039,TIGR01044,TIGR01063,TIGR01071,TIGR01079,TIGR01146,TIGR01164,TIGR01171,TIGR01302,TIGR01391,TIGR01393,TIGR02013,TIGR02027,TIGR02386,TIGR02432,TIGR03625,TIGR03632,TIGR03654,TIGR03953
GTX0465.bin.32.fa	78	4	0	38	PF00380.20,PF01025.20,PF02576.18,PF03726.15,TIGR00006,TIGR00019,TIGR00029,TIGR00043,TIGR00054,TIGR00064,TIGR00065,TIGR00082,TIGR00083,TIGR00084,TIGR00086,TIGR00088,TIGR00090,TIGR00115,TIGR00138,TIGR00168,TIGR00194,TIGR00250,TIGR00337,TIGR00344,TIGR00362,TIGR00392,TIGR00396,TIGR00398,TIGR00414,TIGR00416,TIGR00420,TIGR00431,TIGR00435,TIGR00436,TIGR00442,TIGR00456,TIGR00459,TIGR00460,TIGR00468,TIGR00487,TIGR00580,TIGR00615,TIGR00631,TIGR00634,TIGR00635,TIGR00643,TIGR00663,TIGR00717,TIGR00755,TIGR00810,TIGR00928,TIGR00959,TIGR00963,TIGR01011,TIGR01032,TIGR01059,TIGR01063,TIGR01066,TIGR01082,TIGR01087,TIGR01128,TIGR01146,TIGR01302,TIGR01391,TIGR01393,TIGR01394,TIGR01510,TIGR01951,TIGR01953,TIGR02191,TIGR02273,TIGR02350,TIGR02397,TIGR02432,TIGR02729,TIGR03594,TIGR03723,TIGR03725	TIGR00382,TIGR00445,TIGR00472,TIGR02012		PF00410.20,PF00466.21,TIGR00020,TIGR00059,TIGR00061,TIGR00092,TIGR00095,TIGR00116,TIGR00158,TIGR00166,TIGR00186,TIGR00496,TIGR00539,TIGR00593,TIGR00922,TIGR00964,TIGR00967,TIGR01009,TIGR01017,TIGR01021,TIGR01029,TIGR01039,TIGR01044,TIGR01071,TIGR01079,TIGR01164,TIGR01169,TIGR01171,TIGR01632,TIGR02013,TIGR02027,TIGR02075,TIGR02386,TIGR03263,TIGR03625,TIGR03632,TIGR03654,TIGR03953
GTX0465.bin.6.fa	87	4	0	29	PF00380.20,PF00466.21,PF01025.20,PF02576.18,PF03726.15,TIGR00006,TIGR00019,TIGR00020,TIGR00029,TIGR00043,TIGR00064,TIGR00065,TIGR00082,TIGR00084,TIGR00086,TIGR00088,TIGR00090,TIGR00092,TIGR00095,TIGR00115,TIGR00116,TIGR00168,TIGR00194,TIGR00250,TIGR00337,TIGR00344,TIGR00362,TIGR00382,TIGR00392,TIGR00396,TIGR00398,TIGR00414,TIGR00420,TIGR00431,TIGR00435,TIGR00436,TIGR00445,TIGR00456,TIGR00459,TIGR00460,TIGR00468,TIGR00472,TIGR00487,TIGR00496,TIGR00539,TIGR00593,TIGR00615,TIGR00634,TIGR00643,TIGR00663,TIGR00717,TIGR00755,TIGR00810,TIGR00922,TIGR00928,TIGR00959,TIGR00963,TIGR00964,TIGR01011,TIGR01017,TIGR01029,TIGR01032,TIGR01063,TIGR01066,TIGR01082,TIGR01087,TIGR01128,TIGR01169,TIGR01302,TIGR01393,TIGR01394,TIGR01510,TIGR01632,TIGR02012,TIGR02013,TIGR02027,TIGR02075,TIGR02191,TIGR02273,TIGR02350,TIGR02397,TIGR02432,TIGR03263,TIGR03594,TIGR03632,TIGR03723,TIGR03725	TIGR00083,TIGR00138,TIGR00580,TIGR00631		PF00410.20,TIGR00054,TIGR00059,TIGR00061,TIGR00158,TIGR00166,TIGR00186,TIGR00416,TIGR00442,TIGR00635,TIGR00967,TIGR01009,TIGR01021,TIGR01039,TIGR01044,TIGR01059,TIGR01071,TIGR01079,TIGR01146,TIGR01164,TIGR01171,TIGR01391,TIGR01951,TIGR01953,TIGR02386,TIGR02729,TIGR03625,TIGR03654,TIGR03953
GTX0466.bin.17.fa	76	7	0	37	PF00466.21,PF01025.20,PF02576.18,TIGR00006,TIGR00019,TIGR00020,TIGR00043,TIGR00054,TIGR00064,TIGR00082,TIGR00083,TIGR00084,TIGR00086,TIGR00088,TIGR00090,TIGR00095,TIGR00115,TIGR00158,TIGR00168,TIGR00337,TIGR00344,TIGR00382,TIGR00392,TIGR00396,TIGR00398,TIGR00414,TIGR00416,TIGR00420,TIGR00431,TIGR00435,TIGR00436,TIGR00459,TIGR00460,TIGR00468,TIGR00472,TIGR00539,TIGR00580,TIGR00593,TIGR00615,TIGR00631,TIGR00634,TIGR00635,TIGR00663,TIGR00717,TIGR00810,TIGR00922,TIGR00959,TIGR00964,TIGR00967,TIGR01021,TIGR01029,TIGR01032,TIGR01039,TIGR01044,TIGR01066,TIGR01071,TIGR01128,TIGR01169,TIGR01171,TIGR01393,TIGR01394,TIGR01510,TIGR01632,TIGR02012,TIGR02013,TIGR02191,TIGR02273,TIGR02397,TIGR02432,TIGR02729,TIGR03263,TIGR03625,TIGR03654,TIGR03723,TIGR03725,TIGR03953	TIGR00445,TIGR01017,TIGR01082,TIGR01087,TIGR01302,TIGR02027,TIGR03632		PF00380.20,PF00410.20,PF03726.15,TIGR00029,TIGR00059,TIGR00061,TIGR00065,TIGR00092,TIGR00116,TIGR00138,TIGR00166,TIGR00186,TIGR00194,TIGR00250,TIGR00362,TIGR00442,TIGR00456,TIGR00487,TIGR00496,TIGR00643,TIGR00755,TIGR00928,TIGR00963,TIGR01009,TIGR01011,TIGR01059,TIGR01063,TIGR01079,TIGR01146,TIGR01164,TIGR01391,TIGR01951,TIGR01953,TIGR02075,TIGR02350,TIGR02386,TIGR03594
GTX0466.bin.19.fa	100	5	0	15	PF00380.20,PF00410.20,PF01025.20,PF02576.18,PF03726.15,TIGR00006,TIGR00019,TIGR00020,TIGR00029,TIGR00043,TIGR00054,TIGR00059,TIGR00061,TIGR00064,TIGR00082,TIGR00083,TIGR00084,TIGR00086,TIGR00088,TIGR00090,TIGR00092,TIGR00095,TIGR00115,TIGR00116,TIGR00138,TIGR00158,TIGR00166,TIGR00168,TIGR00186,TIGR00194,TIGR00250,TIGR00344,TIGR00362,TIGR00382,TIGR00392,TIGR00396,TIGR00398,TIGR00416,TIGR00420,TIGR00431,TIGR00435,TIGR00436,TIGR00456,TIGR00459,TIGR00468,TIGR00487,TIGR00496,TIGR00580,TIGR00634,TIGR00635,TIGR00643,TIGR00663,TIGR00717,TIGR00755,TIGR00810,TIGR00922,TIGR00928,TIGR00963,TIGR00964,TIGR00967,TIGR01009,TIGR01011,TIGR01017,TIGR01021,TIGR01032,TIGR01039,TIGR01044,TIGR01059,TIGR01063,TIGR01066,TIGR01071,TIGR01079,TIGR01082,TIGR01087,TIGR01128,TIGR01146,TIGR01164,TIGR01171,TIGR01302,TIGR01391,TIGR01393,TIGR01394,TIGR01510,TIGR01951,TIGR01953,TIGR02013,TIGR02027,TIGR02075,TIGR02273,TIGR02386,TIGR02432,TIGR02729,TIGR03263,TIGR03594,TIGR03625,TIGR03632,TIGR03654,TIGR03723,TIGR03725,TIGR03953	PF00466.21,TIGR00631,TIGR01169,TIGR01632,TIGR02397		TIGR00065,TIGR00337,TIGR00414,TIGR00442,TIGR00445,TIGR00460,TIGR00472,TIGR00539,TIGR00593,TIGR00615,TIGR00959,TIGR01029,TIGR02012,TIGR02191,TIGR02350
GTX0466.bin.2.fa	74	1	0	45	PF00410.20,PF00466.21,PF01025.20,PF03726.15,TIGR00019,TIGR00020,TIGR00029,TIGR00043,TIGR00054,TIGR00059,TIGR00065,TIGR00082,TIGR00083,TIGR00084,TIGR00086,TIGR00088,TIGR00090,TIGR00092,TIGR00115,TIGR00116,TIGR00138,TIGR00186,TIGR00194,TIGR00250,TIGR00337,TIGR00344,TIGR00362,TIGR00414,TIGR00416,TIGR00431,TIGR00435,TIGR00436,TIGR00442,TIGR00456,TIGR00459,TIGR00460,TIGR00487,TIGR00496,TIGR00593,TIGR00631,TIGR00634,TIGR00635,TIGR00663,TIGR00810,TIGR00928,TIGR00959,TIGR00964,TIGR00967,TIGR01011,TIGR01017,TIGR01021,TIGR01029,TIGR01039,TIGR01059,TIGR01063,TIGR01071,TIGR01079,TIGR01082,TIGR01146,TIGR01164,TIGR01169,TIGR01302,TIGR01393,TIGR01632,TIGR01953,TIGR02012,TIGR02027,TIGR02075,TIGR02273,TIGR02386,TIGR02729,TIGR03263,TIGR03632,TIGR03654	TIGR00382		PF00380.20,PF02576.18,TIGR00006,TIGR00061,TIGR00064,TIGR00095,TIGR00158,TIGR00166,TIGR00168,TIGR00392,TIGR00396,TIGR00398,TIGR00420,TIGR00445,TIGR00468,TIGR00472,TIGR00539,TIGR00580,TIGR00615,TIGR00643,TIGR00717,TIGR00755,TIGR00922,TIGR00963,TIGR01009,TIGR01032,TIGR01044,TIGR01066,TIGR01087,TIGR01128,TIGR01171,TIGR01391,TIGR01394,TIGR01510,TIGR01951,TIGR02013,TIGR02191,TIGR02350,TIGR02397,TIGR02432,TIGR03594,TIGR03625,TIGR03723,TIGR03725,TIGR03953
GTX0466.bin.22.fa	80	6	0	34	PF00380.20,PF00410.20,PF01025.20,PF02576.18,PF03726.15,TIGR00006,TIGR00019,TIGR00020,TIGR00029,TIGR00043,TIGR00054,TIGR00059,TIGR00061,TIGR00064,TIGR00065,TIGR00082,TIGR00083,TIGR00084,TIGR00086,TIGR00088,TIGR00090,TIGR00116,TIGR00138,TIGR00158,TIGR00166,TIGR00168,TIGR00194,TIGR00250,TIGR00337,TIGR00344,TIGR00362,TIGR00382,TIGR00396,TIGR00398,TIGR00414,TIGR00416,TIGR00420,TIGR00435,TIGR00436,TIGR00442,TIGR00445,TIGR00456,TIGR00459,TIGR00460,TIGR00468,TIGR00472,TIGR00487,TIGR00496,TIGR00593,TIGR00615,TIGR00635,TIGR00663,TIGR00755,TIGR00810,TIGR00959,TIGR00963,TIGR01011,TIGR01032,TIGR01066,TIGR01071,TIGR01079,TIGR01082,TIGR01087,TIGR01128,TIGR01146,TIGR01391,TIGR01393,TIGR01394,TIGR01510,TIGR01953,TIGR02013,TIGR02027,TIGR02075,TIGR02191,TIGR02397,TIGR02729,TIGR03263,TIGR03632,TIGR03654,TIGR03723	TIGR00092,TIGR00431,TIGR00580,TIGR00631,TIGR01039,TIGR02012		PF00466.21,TIGR00095,TIGR00115,TIGR00186,TIGR00392,TIGR00539,TIGR00634,TIGR00643,TIGR00717,TIGR00922,TIGR00928,TIGR00964,TIGR00967,TIGR01009,TIGR01017,TIGR01021,TIGR01029,TIGR01044,TIGR01059,TIGR01063,TIGR01164,TIGR01169,TIGR01171,TIGR01302,TIGR01632,TIGR01951,TIGR02273,TIGR02350,TIGR02386,TIGR02432,TIGR03594,TIGR03625,TIGR03725,TIGR03953
GTX0466.bin.23.fa	54	11	1	54	PF00410.20,TIGR00006,TIGR00019,TIGR00043,TIGR00059,TIGR00065,TIGR00084,TIGR00088,TIGR00115,TIGR00250,TIGR00337,TIGR00344,TIGR00382,TIGR00416,TIGR00420,TIGR00431,TIGR00436,TIGR00442,TIGR00445,TIGR00487,TIGR00634,TIGR00635,TIGR00663,TIGR00755,TIGR00922,TIGR00928,TIGR00963,TIGR00967,TIGR01017,TIGR01021,TIGR01039,TIGR01063,TIGR01079,TIGR01082,TIGR01128,TIGR01164,TIGR01169,TIGR01391,TIGR01393,TIGR01510,TIGR01632,TIGR01951,TIGR02012,TIGR02013,TIGR02027,TIGR02191,TIGR02273,TIGR02397,TIGR02432,TIGR03263,TIGR03632,TIGR03654,TIGR03723,TIGR03725	PF03726.15,TIGR00064,TIGR00082,TIGR00456,TIGR00615,TIGR00964,TIGR01009,TIGR01044,TIGR01171,TIGR03625,TIGR03953	PF00380.20	PF00466.21,PF01025.20,PF02576.18,TIGR00020,TIGR00029,TIGR00054,TIGR00061,TIGR00083,TIGR00086,TIGR00090,TIGR00092,TIGR00095,TIGR00116,TIGR00138,TIGR00158,TIGR00166,TIGR00168,TIGR00186,TIGR00194,TIGR00362,TIGR00392,TIGR00396,TIGR00398,TIGR00414,TIGR00435,TIGR00459,TIGR00460,TIGR00468,TIGR00472,TIGR00496,TIGR00539,TIGR00580,TIGR00593,TIGR00631,TIGR00643,TIGR00717,TIGR00810,TIGR00959,TIGR01011,TIGR01029,TIGR01032,TIGR01059,TIGR01066,TIGR01071,TIGR01087,TIGR01146,TIGR01302,TIGR01394,TIGR01953,TIGR02075,TIGR02350,TIGR02386,TIGR02729,TIGR03594
