target_id	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq	change	GeneID	Feature	Contig	Start	Stop	Strand	Name	Product	Alias.Synonyms	EC_number	BUSCO	PFAM	InterPro	EggNog	COG	GO.Terms	Secreted	Membrane	Protease	CAZyme	antiSMASH	Notes	ProtID	CAZyme_new	COG_new	EggNog_new	GO.Terms_new	InterPro_new	PFAM_new	Protease_new	Secreted_new	KO
XANPAGTX0501_008816-T1	4.32830083302329e-15	6.76680547806617e-14	-1.00118302445391	0.127619943777715	6.79523310718019	0.36230410044237	0.001231125727488	0.113338440140262	0.0525862750160224	0.113338440140262	lichen	XANPAGTX0501_008816	mRNA	Xp_GTX0501_17	292207	294255	+	NA	hypothetical protein	NA	3.5.1.4	NA	PF01425	IPR023631 Amidase signature domain;IPR036928 Amidase signature (AS) superfamily	ENOG503P00Y	J:(J) Translation, ribosomal structure and biogenesis	NA	NA	NA	NA	NA	NA	NA	XANPAGTX0501_008816_T1_XANPAGTX0501_008816	NA	J:(J) Translation, ribosomal structure and biogenesis	ENOG503P00Y	NA	IPR023631 Amidase signature domain, IPR036928 Amidase signature (AS) superfamily	PF01425	NA	NA	
XANPAGTX0501_003032-T1	6.23129062817428e-17	1.19102379390491e-15	-1.00146681421714	0.119781721483187	8.48222302180128	0.34929287538188	0.00022738072396405	0.100700991810555	0.0538607389692682	0.100700991810555	lichen	XANPAGTX0501_003032	mRNA	Xp_GTX0501_4	1522509	1524808	+	NA	hypothetical protein	NA	1.1.1.250	NA	PF00106;PF08659;PF13561	IPR002347 Short-chain dehydrogenase/reductase SDR;IPR020904 Short-chain dehydrogenase/reductase, conserved site;IPR036291 NAD(P)-binding domain superfamily	ENOG503NU20	Q:(Q) Secondary metabolites biosynthesis, transport and catabolism	GO_function: GO:0016491 - oxidoreductase activity [Evidence IEA]	NA	NA	NA	NA	NA	NA	XANPAGTX0501_003032_T1_XANPAGTX0501_003032	NA	Q:(Q) Secondary metabolites biosynthesis, transport and catabolism	ENOG503NU20	GO_function: GO:0016491 - oxidoreductase activity [Evidence IEA]	IPR002347 Short-chain dehydrogenase/reductase SDR, IPR020904 Short-chain dehydrogenase/reductase, conserved site, IPR036291 NAD(P)-binding domain superfamily	PF00106, PF08659, PF13561	NA	NA	K17738
XANPAGTX0501_001233-T1	0.00279635932189152	0.00699877626089821	-1.00291197896762	0.335502879565524	3.3708660150136	1.0162343802972	0.0389569848606308	0.752859745075189	0.639297097986361	0.752859745075189	lichen	XANPAGTX0501_001233	mRNA	Xp_GTX0501_2	940474	941406	-	NA	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cluster_2	NA	XANPAGTX0501_001233_T1_XANPAGTX0501_001233	NA	NA	NA	NA	NA	NA	NA	NA	
XANPAGTX0501_004525-T1	0.000109315993124571	0.000378296697927193	-1.00300054481129	0.259245240283096	4.93823070865583	0.708630842436837	0.00964167862666396	0.463132504143191	0.212766500224936	0.463132504143191	lichen	XANPAGTX0501_004525	mRNA	Xp_GTX0501_7	120924	122059	+	NA	hypothetical protein	NA	NA	NA	PF00069	IPR000719 Protein kinase domain;IPR008271 Serine/threonine-protein kinase, active site;IPR011009 Protein kinase-like domain superfamily	NA	NA	GO_function: GO:0005524 - ATP binding [Evidence IEA];GO_function: GO:0004672 - protein kinase activity [Evidence IEA];GO_process: GO:0006468 - protein phosphorylation [Evidence IEA]	NA	NA	NA	NA	NA	NA	XANPAGTX0501_004525_T1_XANPAGTX0501_004525	NA	D:(D) Cell cycle control, cell division, chromosome partitioning	ENOG503P701, ENOG503PFUF	GO_function: GO:0004672 - protein kinase activity [Evidence IEA], GO_function: GO:0005524 - ATP binding [Evidence IEA], GO_process: GO:0006468 - protein phosphorylation [Evidence IEA]	IPR000719 Protein kinase domain, IPR008271 Serine/threonine-protein kinase, active site, IPR011009 Protein kinase-like domain superfamily	PF00069, PF07714	NA	NA	
XANPAGTX0501_005076-T1	0.000491332576858581	0.00147545923905207	-1.00396046656271	0.28804429919606	6.56074637495542	0.816028543042687	0.00198675456374086	0.581660891404098	0.061353678796357	0.581660891404098	lichen	XANPAGTX0501_005076	mRNA	Xp_GTX0501_7	1503612	1504952	-	BTS1_3	geranylgeranyl pyrophosphate synthetase	NA	NA	NA	PF00348	IPR000092 Polyprenyl synthetase;IPR008949 Isoprenoid synthase domain superfamily;IPR033749 Polyprenyl synthetase, conserved site	ENOG503NVHG	H:(H) Coenzyme transport and metabolism	GO_process: GO:0008299 - isoprenoid biosynthetic process [Evidence IEA]	NA	NA	NA	NA	Cluster_3	SMCOG1182:Polyprenyl synthetase	XANPAGTX0501_005076_T1_XANPAGTX0501_005076	NA	H:(H) Coenzyme transport and metabolism	ENOG503NVHG	GO_process: GO:0008299 - isoprenoid biosynthetic process [Evidence IEA]	IPR000092 Polyprenyl synthetase, IPR008949 Isoprenoid synthase domain superfamily, IPR033749 Polyprenyl synthetase, conserved site	PF00348	NA	NA	K00804
XANPAGTX0501_009806-T1	3.04234007497314e-16	5.31213624726048e-15	-1.00595622433105	0.123103398393838	7.00959870379277	0.357029641819387	0.00104276918000118	0.105560924820236	0.0463938896871997	0.105560924820236	lichen	XANPAGTX0501_009806	mRNA	Xp_GTX0501_25	57588	58211	-	NA	hypothetical protein	NA	2.5.1.18	NA	PF02798;PF13409;PF13417	IPR004045 Glutathione S-transferase, N-terminal;IPR010987 Glutathione S-transferase, C-terminal-like;IPR036249 Thioredoxin-like superfamily;IPR036282 Glutathione S-transferase, C-terminal domain superfamily;IPR040079 Glutathione transferase family	ENOG503P1W8	O:(O) Posttranslational modification, protein turnover, chaperones	GO_function: GO:0005515 - protein binding [Evidence IEA]	NA	NA	NA	NA	NA	NA	XANPAGTX0501_009806_T1_XANPAGTX0501_009806	NA	O:(O) Posttranslational modification, protein turnover, chaperones	ENOG503P1W8	GO_function: GO:0005515 - protein binding [Evidence IEA]	IPR004045 Glutathione S-transferase, N-terminal, IPR010987 Glutathione S-transferase, C-terminal-like, IPR036249 Thioredoxin-like superfamily, IPR036282 Glutathione S-transferase, C-terminal domain superfamily, IPR040079 Glutathione transferase family	PF02798, PF13409, PF13417	NA	NA	
XANPAGTX0501_003124-T1	7.95234625450572e-08	4.98931102577887e-07	-1.00863723802409	0.187890915500252	7.50663952302447	0.495059254393947	0.000668657292185657	0.247669660294525	0.0412266923453809	0.247669660294525	lichen	XANPAGTX0501_003124	mRNA	Xp_GTX0501_4	1747132	1748454	-	NA	hypothetical protein	NA	NA	NA	PF00026	IPR001461 Aspartic peptidase A1 family;IPR001969 Aspartic peptidase, active site;IPR021109 Aspartic peptidase domain superfamily;IPR033121 Peptidase family A1 domain;IPR034164 Pepsin-like domain	ENOG503P2G1	O:(O) Posttranslational modification, protein turnover, chaperones	GO_function: GO:0004190 - aspartic-type endopeptidase activity [Evidence IEA];GO_process: GO:0006508 - proteolysis [Evidence IEA]	SignalP(1-19,cutsite=IAG-AP,prob=0.5669)	NA	A01A	NA	Cluster_5	NA	XANPAGTX0501_003124_T1_XANPAGTX0501_003124	NA	O:(O) Posttranslational modification, protein turnover, chaperones	ENOG503P2G1	GO_function: GO:0004190 - aspartic-type endopeptidase activity [Evidence IEA], GO_process: GO:0006508 - proteolysis [Evidence IEA]	IPR001461 Aspartic peptidase A1 family, IPR001969 Aspartic peptidase, active site, IPR021109 Aspartic peptidase domain superfamily, IPR033121 Peptidase family A1 domain, IPR034164 Pepsin-like domain	PF00026	A01A	SignalP(1-19,cutsite=IAG-AP,prob=0.5669)	
XANPAGTX0501_010423-T1	8.83130377050869e-05	0.00031342802291946	-1.01075995622807	0.2578046443925	4.3127784373739	0.707503912738349	0.0171538481600143	0.450380630210676	0.351182970838327	0.450380630210676	lichen	XANPAGTX0501_010423	mRNA	Xp_GTX0501_35	45958	47176	-	NA	hypothetical protein	NA	NA	NA	NA	IPR008701 Necrosis inducing protein	NA	NA	NA	NA	NA	NA	NA	Cluster_1	NA	XANPAGTX0501_010423_T1_XANPAGTX0501_010423	NA	NA	NA	NA	IPR008701 Necrosis inducing protein	NA	NA	NA	
XANPAGTX0501_001362-T1	4.61252653105824e-05	0.00017375205945523	-1.01092390848562	0.248113602555566	5.16206078573036	0.674329753663553	0.00715183968554142	0.425893449752828	0.176672368430291	0.425893449752828	lichen	XANPAGTX0501_001362	mRNA	Xp_GTX0501_2	1245254	1246687	+	NA	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	XANPAGTX0501_001362_T1_XANPAGTX0501_001362	NA	NA	NA	NA	NA	NA	NA	NA	
XANPAGTX0501_006808-T1	8.03912287445409e-12	8.8742007475957e-11	-1.01114346786995	0.147874501327279	8.39704298452356	0.405190365399226	0.000257565932320222	0.153564541003178	0.0519741226955092	0.153564541003178	lichen	XANPAGTX0501_006808	mRNA	Xp_GTX0501_10	1401188	1403773	-	NA	hypothetical protein	NA	NA	NA	PF20233	NA	ENOG503P7K4	NA	NA	NA	NA	NA	NA	NA	NA	XANPAGTX0501_006808_T1_XANPAGTX0501_006808	NA	NA	ENOG503P7K4	NA	NA	PF20233	NA	NA	
