genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
GTX0493.bin.23.fa,1_1,0.050000000000000044,average,ANImf,1
GTX0494.bin.15.fa,1_1,0.050000000000000044,average,ANImf,1
coassembly.bin.46.fa,1_1,0.050000000000000044,average,ANImf,1
GTX0466.bin.29.fa,1_2,0.050000000000000044,average,ANImf,1
GTX0468.bin.53.fa,1_2,0.050000000000000044,average,ANImf,1
coassembly.bin.321.fa,1_2,0.050000000000000044,average,ANImf,1
GTX0465.bin.1.fa,1_3,0.050000000000000044,average,ANImf,1
GTX0466.bin.21.fa,1_3,0.050000000000000044,average,ANImf,1
GTX0466.merged.0.fa,1_3,0.050000000000000044,average,ANImf,1
coassembly.bin.1.fa,1_3,0.050000000000000044,average,ANImf,1
coassembly.bin.195.fa,1_4,0.050000000000000044,average,ANImf,1
GTX0486_487.bin.100.fa,2_1,0.050000000000000044,average,ANImf,2
coassembly.bin.10.fa,2_1,0.050000000000000044,average,ANImf,2
GTX0465.bin.21.fa,3_1,0.050000000000000044,average,ANImf,3
GTX0466.bin.35.fa,3_1,0.050000000000000044,average,ANImf,3
GTX0468.bin.24.fa,3_1,0.050000000000000044,average,ANImf,3
GTX0481.bin.18.fa,3_1,0.050000000000000044,average,ANImf,3
GTX0484.bin.40.fa,3_1,0.050000000000000044,average,ANImf,3
GTX0486_487.bin.46.fa,3_1,0.050000000000000044,average,ANImf,3
GTX0493.bin.28.fa,3_1,0.050000000000000044,average,ANImf,3
GTX0494.bin.19.fa,3_1,0.050000000000000044,average,ANImf,3
coassembly.bin.335.fa,3_1,0.050000000000000044,average,ANImf,3
GTX0466.bin.15.fa,4_1,0.050000000000000044,average,ANImf,4
coassembly.bin.142.fa,4_1,0.050000000000000044,average,ANImf,4
GTX0486_487.bin.12.fa,5_1,0.050000000000000044,average,ANImf,5
coassembly.bin.76.fa,5_1,0.050000000000000044,average,ANImf,5
GTX0481.bin.1.fa,6_1,0.050000000000000044,average,ANImf,6
coassembly.bin.378.fa,6_1,0.050000000000000044,average,ANImf,6
coassembly.bin.64.fa,7_0,0.050000000000000044,average,ANImf,7
coassembly.bin.376.fa,8_0,0.050000000000000044,average,ANImf,8
