	Astpho2_GeneCatalog_proteins_20111209.aa	Auxeprot1_GeneCatalog_proteins_20170909.aa	Batpra1_GeneCatalog_proteins_20180426.aa	Botrbrau1_GeneCatalog_proteins_20200805.aa	Chabra1_GeneCatalog_proteins_20200807.aa	Chleu1_GeneCatalog_proteins_20200804.aa	Chlorella_NC64A.best_proteins	Chloso1228_1_GeneCatalog_proteins_20200805.aa	Coccomyxa_C169_v2_filtered_proteins	GTX0465.bin.1.proteins	GTX0468.bin.53.proteins	GTX0493.bin.23.proteins	TrebA12_1_GeneCatalog_proteins_20200804.aa	Ulvmu1_GeneCatalog_proteins_20200803.aa	Volca2_1_GeneCatalog_proteins_20200117.aa	coassembly.bin.195.proteins	trebgel_BUSCO_proteins	trebus_BUSCO_proteins
Astpho2_GeneCatalog_proteins_20111209.aa	0.0	5133.0	5067.0	6569.0	5022.0	6264.0	5989.0	6205.0	6345.0	6466.0	6799.0	6971.0	6816.0	5664.0	6320.0	6669.0	796.0	1493.0
Auxeprot1_GeneCatalog_proteins_20170909.aa	4674.0	0.0	3910.0	4895.0	3811.0	4640.0	5087.0	5335.0	4640.0	4241.0	4431.0	4556.0	4505.0	4200.0	4672.0	4392.0	741.0	1383.0
Batpra1_GeneCatalog_proteins_20180426.aa	4420.0	3852.0	0.0	4543.0	3904.0	4503.0	4366.0	4447.0	4227.0	3919.0	4081.0	4186.0	4121.0	4133.0	4491.0	4049.0	792.0	1480.0
Botrbrau1_GeneCatalog_proteins_20200805.aa	8302.0	6800.0	6803.0	0.0	6824.0	8318.0	8222.0	8549.0	8851.0	7515.0	8005.0	8162.0	8175.0	7359.0	8324.0	7908.0	961.0	1762.0
Chabra1_GeneCatalog_proteins_20200807.aa	5764.0	4972.0	5659.0	6345.0	0.0	6736.0	5779.0	5718.0	5609.0	5203.0	5457.0	5543.0	5685.0	5980.0	6012.0	5448.0	849.0	1570.0
Chleu1_GeneCatalog_proteins_20200804.aa	6638.0	5339.0	5750.0	6930.0	5600.0	0.0	6475.0	6663.0	6156.0	5993.0	6304.0	6447.0	6345.0	6448.0	8852.0	6259.0	834.0	1549.0
Chlorella_NC64A.best_proteins	5827.0	5421.0	4943.0	6291.0	4793.0	6000.0	0.0	8241.0	5816.0	5284.0	5517.0	5681.0	5613.0	5293.0	6204.0	5470.0	760.0	1401.0
Chloso1228_1_GeneCatalog_proteins_20200805.aa	6110.0	5791.0	5210.0	6911.0	5033.0	6560.0	8539.0	0.0	6209.0	5623.0	5904.0	6078.0	5990.0	5574.0	6711.0	5873.0	767.0	1436.0
Coccomyxa_C169_v2_filtered_proteins	5979.0	4840.0	4635.0	6567.0	4552.0	5565.0	5660.0	5875.0	0.0	5415.0	5662.0	5824.0	5748.0	4961.0	5635.0	5605.0	761.0	1430.0
GTX0465.bin.1.proteins	6823.0	4839.0	4802.0	6245.0	4747.0	5972.0	5628.0	5895.0	5949.0	0.0	8814.0	8820.0	7828.0	5304.0	5947.0	8539.0	713.0	1393.0
GTX0468.bin.53.proteins	7958.0	5630.0	5661.0	7382.0	5683.0	7116.0	6585.0	6886.0	6920.0	9463.0	0.0	10218.0	9035.0	6346.0	7065.0	9975.0	781.0	1540.0
GTX0493.bin.23.proteins	7728.0	5457.0	5459.0	7091.0	5413.0	6830.0	6347.0	6664.0	6706.0	9060.0	9891.0	0.0	8739.0	6044.0	6755.0	9546.0	775.0	1513.0
TrebA12_1_GeneCatalog_proteins_20200804.aa	6940.0	4907.0	4810.0	6369.0	4798.0	6052.0	5784.0	6050.0	6044.0	7555.0	8058.0	8234.0	0.0	5280.0	6038.0	7947.0	741.0	1411.0
Ulvmu1_GeneCatalog_proteins_20200803.aa	5417.0	4416.0	4546.0	5502.0	4604.0	5838.0	5165.0	5323.0	4993.0	4814.0	5126.0	5235.0	5098.0	0.0	5956.0	5022.0	750.0	1390.0
Volca2_1_GeneCatalog_proteins_20200117.aa	6142.0	4951.0	5214.0	6420.0	5109.0	8250.0	6092.0	6332.0	5720.0	5502.0	5813.0	5901.0	5824.0	5980.0	0.0	5717.0	755.0	1416.0
coassembly.bin.195.proteins	7443.0	5285.0	5297.0	6901.0	5276.0	6625.0	6153.0	6480.0	6515.0	8837.0	9583.0	9576.0	8500.0	5840.0	6581.0	0.0	733.0	1436.0
trebgel_BUSCO_proteins	765.0	753.0	797.0	776.0	711.0	773.0	763.0	759.0	770.0	688.0	721.0	729.0	711.0	742.0	755.0	695.0	0.0	746.0
trebus_BUSCO_proteins	1405.0	1379.0	1447.0	1377.0	1260.0	1425.0	1383.0	1388.0	1417.0	1303.0	1343.0	1357.0	1339.0	1351.0	1390.0	1302.0	714.0	0.0
