	Astpho2_GeneCatalog_proteins_20111209.aa	Auxeprot1_GeneCatalog_proteins_20170909.aa	Batpra1_GeneCatalog_proteins_20180426.aa	Botrbrau1_GeneCatalog_proteins_20200805.aa	Chabra1_GeneCatalog_proteins_20200807.aa	Chleu1_GeneCatalog_proteins_20200804.aa	Chlorella_NC64A.best_proteins	Chloso1228_1_GeneCatalog_proteins_20200805.aa	Coccomyxa_C169_v2_filtered_proteins	GTX0465.bin.1.proteins	GTX0468.bin.53.proteins	GTX0493.bin.23.proteins	TrebA12_1_GeneCatalog_proteins_20200804.aa	Ulvmu1_GeneCatalog_proteins_20200803.aa	Volca2_1_GeneCatalog_proteins_20200117.aa	coassembly.bin.195.proteins	trebgel_BUSCO_proteins	trebus_BUSCO_proteins
Astpho2_GeneCatalog_proteins_20111209.aa	0.0	1029.0	1603.0	825.0	953.0	1015.0	1078.0	1096.0	1140.0	828.0	804.0	854.0	896.0	1161.0	1184.0	767.0	126.0	193.0
Auxeprot1_GeneCatalog_proteins_20170909.aa	251.0	0.0	553.0	204.0	276.0	289.0	244.0	227.0	306.0	221.0	208.0	187.0	257.0	356.0	316.0	209.0	40.0	35.0
Batpra1_GeneCatalog_proteins_20180426.aa	507.0	426.0	0.0	323.0	403.0	364.0	435.0	418.0	436.0	353.0	353.0	372.0	415.0	391.0	376.0	344.0	62.0	92.0
Botrbrau1_GeneCatalog_proteins_20200805.aa	3422.0	3087.0	3697.0	0.0	2707.0	3232.0	3439.0	3550.0	3778.0	2822.0	2763.0	2883.0	3279.0	3324.0	3588.0	2820.0	364.0	660.0
Chabra1_GeneCatalog_proteins_20200807.aa	1879.0	1957.0	2874.0	1864.0	0.0	2513.0	2144.0	1919.0	2031.0	1663.0	1473.0	1606.0	2039.0	2466.0	2115.0	1589.0	287.0	533.0
Chleu1_GeneCatalog_proteins_20200804.aa	1572.0	1461.0	2257.0	1414.0	1391.0	0.0	1669.0	1640.0	1593.0	1370.0	1222.0	1369.0	1526.0	1751.0	2159.0	1364.0	173.0	251.0
Chlorella_NC64A.best_proteins	732.0	789.0	1310.0	652.0	750.0	812.0	0.0	914.0	829.0	635.0	566.0	587.0	697.0	864.0	979.0	578.0	58.0	60.0
Chloso1228_1_GeneCatalog_proteins_20200805.aa	818.0	926.0	1483.0	953.0	851.0	1154.0	1317.0	0.0	1009.0	758.0	734.0	723.0	824.0	1014.0	1231.0	762.0	75.0	103.0
Coccomyxa_C169_v2_filtered_proteins	532.0	589.0	1043.0	416.0	564.0	549.0	594.0	579.0	0.0	482.0	483.0	481.0	504.0	611.0	662.0	435.0	48.0	53.0
GTX0465.bin.1.proteins	1443.0	1238.0	1740.0	1055.0	1142.0	1370.0	1326.0	1381.0	1436.0	0.0	746.0	845.0	1381.0	1425.0	1514.0	880.0	90.0	193.0
GTX0468.bin.53.proteins	2714.0	2213.0	2791.0	2066.0	2056.0	2528.0	2391.0	2514.0	2601.0	1921.0	0.0	1469.0	2603.0	2597.0	2818.0	1684.0	157.0	382.0
GTX0493.bin.23.proteins	2187.0	1765.0	2408.0	1586.0	1643.0	2025.0	1882.0	1967.0	2086.0	1335.0	878.0	0.0	1941.0	2009.0	2233.0	1046.0	130.0	314.0
TrebA12_1_GeneCatalog_proteins_20200804.aa	1026.0	939.0	1486.0	760.0	939.0	1055.0	1026.0	1048.0	1010.0	879.0	864.0	913.0	0.0	1049.0	1149.0	881.0	102.0	154.0
Ulvmu1_GeneCatalog_proteins_20200803.aa	602.0	628.0	1058.0	424.0	596.0	597.0	611.0	587.0	596.0	487.0	466.0	476.0	601.0	0.0	808.0	458.0	76.0	91.0
Volca2_1_GeneCatalog_proteins_20200117.aa	791.0	723.0	1394.0	651.0	771.0	991.0	845.0	871.0	802.0	686.0	638.0	660.0	726.0	925.0	0.0	680.0	60.0	69.0
coassembly.bin.195.proteins	2167.0	1744.0	2347.0	1581.0	1610.0	2020.0	1859.0	1989.0	2030.0	1453.0	1026.0	1102.0	1938.0	1972.0	2227.0	0.0	123.0	269.0
trebgel_BUSCO_proteins	63.0	65.0	71.0	58.0	54.0	67.0	71.0	69.0	68.0	47.0	51.0	48.0	44.0	69.0	70.0	49.0	0.0	67.0
trebus_BUSCO_proteins	22.0	28.0	30.0	16.0	14.0	24.0	24.0	24.0	28.0	24.0	18.0	16.0	14.0	24.0	24.0	12.0	6.0	0.0
