	Astpho2_GeneCatalog_proteins_20111209.aa	Auxeprot1_GeneCatalog_proteins_20170909.aa	Batpra1_GeneCatalog_proteins_20180426.aa	Botrbrau1_GeneCatalog_proteins_20200805.aa	Chabra1_GeneCatalog_proteins_20200807.aa	Chleu1_GeneCatalog_proteins_20200804.aa	Chlorella_NC64A.best_proteins	Chloso1228_1_GeneCatalog_proteins_20200805.aa	Coccomyxa_C169_v2_filtered_proteins	GTX0465.bin.1.proteins	GTX0468.bin.53.proteins	GTX0493.bin.23.proteins	TrebA12_1_GeneCatalog_proteins_20200804.aa	Ulvmu1_GeneCatalog_proteins_20200803.aa	Volca2_1_GeneCatalog_proteins_20200117.aa	coassembly.bin.195.proteins	trebgel_BUSCO_proteins	trebus_BUSCO_proteins
Astpho2_GeneCatalog_proteins_20111209.aa	0.0	110.0	144.0	346.0	389.0	332.0	228.0	249.0	150.0	228.0	285.0	268.0	224.0	149.0	203.0	272.0	2.0	0.0
Auxeprot1_GeneCatalog_proteins_20170909.aa	80.0	0.0	85.0	170.0	162.0	136.0	94.0	105.0	72.0	95.0	114.0	134.0	87.0	59.0	111.0	120.0	0.0	0.0
Batpra1_GeneCatalog_proteins_20180426.aa	108.0	76.0	0.0	239.0	150.0	177.0	129.0	133.0	101.0	100.0	140.0	127.0	74.0	90.0	148.0	115.0	0.0	2.0
Botrbrau1_GeneCatalog_proteins_20200805.aa	406.0	259.0	285.0	0.0	975.0	913.0	626.0	632.0	500.0	549.0	832.0	801.0	571.0	418.0	546.0	740.0	10.0	16.0
Chabra1_GeneCatalog_proteins_20200807.aa	520.0	243.0	186.0	960.0	0.0	760.0	424.0	492.0	417.0	450.0	746.0	634.0	410.0	345.0	434.0	629.0	8.0	6.0
Chleu1_GeneCatalog_proteins_20200804.aa	352.0	164.0	229.0	698.0	571.0	0.0	341.0	335.0	292.0	380.0	599.0	507.0	285.0	288.0	322.0	466.0	6.0	0.0
Chlorella_NC64A.best_proteins	224.0	108.0	156.0	470.0	379.0	355.0	0.0	318.0	259.0	264.0	346.0	344.0	243.0	197.0	323.0	337.0	0.0	2.0
Chloso1228_1_GeneCatalog_proteins_20200805.aa	263.0	145.0	201.0	554.0	444.0	366.0	318.0	0.0	295.0	309.0	378.0	399.0	285.0	205.0	370.0	333.0	4.0	4.0
Coccomyxa_C169_v2_filtered_proteins	165.0	93.0	142.0	364.0	321.0	280.0	246.0	261.0	0.0	186.0	211.0	215.0	167.0	145.0	197.0	235.0	0.0	0.0
GTX0465.bin.1.proteins	237.0	116.0	145.0	470.0	392.0	380.0	253.0	274.0	194.0	0.0	39.0	38.0	133.0	174.0	206.0	31.0	2.0	0.0
GTX0468.bin.53.proteins	330.0	145.0	197.0	776.0	651.0	615.0	380.0	374.0	246.0	38.0	0.0	59.0	211.0	248.0	306.0	47.0	6.0	6.0
GTX0493.bin.23.proteins	309.0	152.0	175.0	657.0	559.0	525.0	322.0	332.0	219.0	39.0	57.0	0.0	167.0	246.0	268.0	32.0	4.0	6.0
TrebA12_1_GeneCatalog_proteins_20200804.aa	263.0	108.0	120.0	424.0	324.0	292.0	255.0	260.0	194.0	139.0	202.0	187.0	0.0	111.0	172.0	151.0	7.0	4.0
Ulvmu1_GeneCatalog_proteins_20200803.aa	193.0	83.0	91.0	374.0	313.0	308.0	219.0	232.0	170.0	205.0	272.0	289.0	160.0	0.0	194.0	259.0	0.0	2.0
Volca2_1_GeneCatalog_proteins_20200117.aa	211.0	148.0	213.0	488.0	379.0	336.0	323.0	294.0	199.0	209.0	336.0	292.0	173.0	202.0	0.0	243.0	3.0	2.0
coassembly.bin.195.proteins	272.0	142.0	154.0	628.0	521.0	481.0	332.0	303.0	248.0	30.0	46.0	35.0	157.0	221.0	250.0	0.0	2.0	4.0
trebgel_BUSCO_proteins	2.0	0.0	0.0	8.0	8.0	6.0	0.0	4.0	0.0	2.0	6.0	4.0	6.0	0.0	2.0	2.0	0.0	0.0
trebus_BUSCO_proteins	0.0	0.0	2.0	8.0	6.0	0.0	2.0	4.0	0.0	0.0	6.0	6.0	4.0	2.0	2.0	4.0	0.0	0.0
