genome,score,completeness,contamination,strain_heterogeneity,size,N50,cluster,taxonomy,tax_confidence,cluster_members,closest_cluster_member,furthest_cluster_member,completeness_metric,contamination_metric
GTX0494.bin.19.fa,99.09310809926552,NA,NA,NA,NA,NA,1_1,NA,NA,8,99.23,97.67,NA,NA
GTX0491.bin.13.fa,87.09600500647423,NA,NA,NA,NA,NA,1_2,NA,NA,1,NA,NA,NA,NA
GTX0481.bin.1.fa,88.92572913005327,NA,NA,NA,NA,NA,2_0,NA,NA,1,NA,NA,NA,NA
GTX0486_487.bin.12.fa,70.41327390670736,NA,NA,NA,NA,NA,3_0,NA,NA,1,NA,NA,NA,NA
GTX0466.bin.15.fa,102.47314675973028,NA,NA,NA,NA,NA,4_0,NA,NA,1,NA,NA,NA,NA
GTX0481.bin.6.fa,96.68622382860151,NA,NA,NA,NA,NA,5_1,NA,NA,2,99.64,99.64,NA,NA
GTX0466.bin.19.fa,60.969634793169355,NA,NA,NA,NA,NA,6_0,NA,NA,1,NA,NA,NA,NA
GTX0486_487.bin.83.fa,96.64258802239848,NA,NA,NA,NA,NA,7_0,NA,NA,1,NA,NA,NA,NA
GTX0466.bin.17.fa,71.56369481067605,NA,NA,NA,NA,NA,8_0,NA,NA,1,NA,NA,NA,NA
GTX0468.bin.23.fa,79.12864746799005,NA,NA,NA,NA,NA,9_1,NA,NA,1,NA,NA,NA,NA
GTX0468.bin.47.fa,52.00887256463479,NA,NA,NA,NA,NA,9_2,NA,NA,1,NA,NA,NA,NA
GTX0484.bin.25.fa,99.8065015457606,NA,NA,NA,NA,NA,10_0,NA,NA,1,NA,NA,NA,NA
GTX0466.bin.83.fa,59.33451036024184,NA,NA,NA,NA,NA,11_0,NA,NA,1,NA,NA,NA,NA
GTX0468.bin.2.fa,90.40210383150507,NA,NA,NA,NA,NA,12_0,NA,NA,1,NA,NA,NA,NA
GTX0486_487.bin.41.fa,70.92798995707011,NA,NA,NA,NA,NA,13_0,NA,NA,1,NA,NA,NA,NA
GTX0468.bin.63.fa,98.86496402685816,NA,NA,NA,NA,NA,14_1,NA,NA,3,99.07,96.87,NA,NA
GTX0486_487.bin.96.fa,98.4928378617563,NA,NA,NA,NA,NA,15_1,NA,NA,2,95.99,95.99,NA,NA
GTX0486_487.bin.21.fa,97.83527891392299,NA,NA,NA,NA,NA,16_0,NA,NA,1,NA,NA,NA,NA
GTX0466.bin.75.fa,94.82935775674515,NA,NA,NA,NA,NA,17_0,NA,NA,1,NA,NA,NA,NA
GTX0486_487.bin.66.fa,67.12722368926124,NA,NA,NA,NA,NA,18_0,NA,NA,1,NA,NA,NA,NA
GTX0466.bin.31.fa,69.15670106461593,NA,NA,NA,NA,NA,19_1,NA,NA,1,NA,NA,NA,NA
GTX0466.bin.56.fa,58.72948011426377,NA,NA,NA,NA,NA,19_2,NA,NA,1,NA,NA,NA,NA
GTX0481.bin.9.fa,74.26571772746357,NA,NA,NA,NA,NA,19_3,NA,NA,1,NA,NA,NA,NA
GTX0484.bin.13.fa,94.41582564939158,NA,NA,NA,NA,NA,20_1,NA,NA,2,98.67,98.67,NA,NA
GTX0466.bin.39.fa,84.64504079447833,NA,NA,NA,NA,NA,21_0,NA,NA,1,NA,NA,NA,NA
GTX0484.bin.18.fa,92.26957216827151,NA,NA,NA,NA,NA,22_0,NA,NA,1,NA,NA,NA,NA
GTX0486_487.bin.100.fa,98.15533734028759,NA,NA,NA,NA,NA,23_0,NA,NA,1,NA,NA,NA,NA
GTX0493.bin.23.fa,68.0774097180971,NA,NA,NA,NA,NA,24_1,NA,NA,2,99.63,99.63,NA,NA
GTX0468.bin.53.fa,67.89509579028766,NA,NA,NA,NA,NA,24_2,NA,NA,2,99.44,99.44,NA,NA
GTX0465.bin.1.fa,69.76471199630707,NA,NA,NA,NA,NA,24_3,NA,NA,3,99.79,99.76,NA,NA
GTX0491.bin.33.fa,63.426176935086794,NA,NA,NA,NA,NA,24_4,NA,NA,1,NA,NA,NA,NA
GTX0493.bin.7.fa,86.93208226234266,NA,NA,NA,NA,NA,25_1,NA,NA,3,97.39,97.05,NA,NA
GTX0466.bin.4.fa,69.82702913871218,NA,NA,NA,NA,NA,26_0,NA,NA,1,NA,NA,NA,NA
GTX0468.bin.72.fa,72.95257510457009,NA,NA,NA,NA,NA,27_1,NA,NA,2,95.62,95.62,NA,NA
GTX0466.bin.55.fa,66.63913642678573,NA,NA,NA,NA,NA,27_2,NA,NA,1,NA,NA,NA,NA
GTX0466.bin.6.fa,67.02431799421632,NA,NA,NA,NA,NA,28_0,NA,NA,1,NA,NA,NA,NA
GTX0468.bin.4.fa,73.960454145309,NA,NA,NA,NA,NA,29_1,NA,NA,2,98.56,98.56,NA,NA
GTX0468.bin.17.fa,77.02613364899916,NA,NA,NA,NA,NA,29_2,NA,NA,1,NA,NA,NA,NA
GTX0468.bin.1.fa,79.42656192439443,NA,NA,NA,NA,NA,30_0,NA,NA,1,NA,NA,NA,NA
GTX0466.bin.7.fa,70.23654476492594,NA,NA,NA,NA,NA,31_1,NA,NA,1,NA,NA,NA,NA
GTX0493.bin.27.fa,49.96253308919488,NA,NA,NA,NA,NA,31_2,NA,NA,1,NA,NA,NA,NA
GTX0481.bin.10.fa,46.699918862933615,NA,NA,NA,NA,NA,31_3,NA,NA,1,NA,NA,NA,NA
GTX0468.bin.6.fa,51.75718824704418,NA,NA,NA,NA,NA,32_0,NA,NA,1,NA,NA,NA,NA
GTX0481.bin.28.fa,54.52014808013536,NA,NA,NA,NA,NA,33_0,NA,NA,1,NA,NA,NA,NA
GTX0468.bin.14.fa,96.20525295518455,NA,NA,NA,NA,NA,34_1,NA,NA,1,NA,NA,NA,NA
GTX0486_487.bin.1.fa,86.88911808447138,NA,NA,NA,NA,NA,34_2,NA,NA,1,NA,NA,NA,NA
GTX0468.bin.19.fa,98.4543175597122,NA,NA,NA,NA,NA,35_1,NA,NA,3,98.91,97.70,NA,NA
GTX0494.bin.21.fa,65.47656561259173,NA,NA,NA,NA,NA,35_2,NA,NA,1,NA,NA,NA,NA
GTX0493.bin.21.fa,60.57733021529461,NA,NA,NA,NA,NA,35_3,NA,NA,1,NA,NA,NA,NA
GTX0465.bin.32.fa,65.09452677879632,NA,NA,NA,NA,NA,35_4,NA,NA,1,NA,NA,NA,NA
GTX0484.bin.11.fa,62.2124125692025,NA,NA,NA,NA,NA,35_5,NA,NA,1,NA,NA,NA,NA
GTX0468.bin.68.fa,67.73933490051134,NA,NA,NA,NA,NA,36_0,NA,NA,1,NA,NA,NA,NA
GTX0486_487.bin.90.fa,55.928764327761385,NA,NA,NA,NA,NA,37_0,NA,NA,1,NA,NA,NA,NA
GTX0468.bin.26.fa,82.85493781685608,NA,NA,NA,NA,NA,38_0,NA,NA,1,NA,NA,NA,NA
GTX0486_487.bin.54.fa,58.60690639178234,NA,NA,NA,NA,NA,39_0,NA,NA,1,NA,NA,NA,NA
GTX0468.bin.9.fa,80.45187030942894,NA,NA,NA,NA,NA,40_0,NA,NA,1,NA,NA,NA,NA
GTX0486_487.bin.92.fa,92.9963021795734,NA,NA,NA,NA,NA,41_0,NA,NA,1,NA,NA,NA,NA
GTX0486_487.bin.74.fa,95.2862625360561,NA,NA,NA,NA,NA,42_1,NA,NA,2,98.87,98.87,NA,NA
GTX0491.bin.21.fa,69.18732353472593,NA,NA,NA,NA,NA,42_2,NA,NA,1,NA,NA,NA,NA
GTX0468.bin.60.fa,94.8822560713565,NA,NA,NA,NA,NA,43_1,NA,NA,1,NA,NA,NA,NA
GTX0491.bin.29.fa,70.48268693640813,NA,NA,NA,NA,NA,43_2,NA,NA,1,NA,NA,NA,NA
GTX0486_487.bin.57.fa,40.804245052585614,NA,NA,NA,NA,NA,43_3,NA,NA,1,NA,NA,NA,NA
GTX0486_487.bin.5.fa,51.70309167278382,NA,NA,NA,NA,NA,44_0,NA,NA,1,NA,NA,NA,NA
GTX0486_487.bin.50.fa,56.76018781570508,NA,NA,NA,NA,NA,45_0,NA,NA,1,NA,NA,NA,NA
GTX0466.bin.9.fa,95.59670941290493,NA,NA,NA,NA,NA,46_0,NA,NA,1,NA,NA,NA,NA
GTX0486_487.bin.99.fa,88.45174492414496,NA,NA,NA,NA,NA,47_0,NA,NA,1,NA,NA,NA,NA
GTX0466.bin.25.fa,66.35565667225192,NA,NA,NA,NA,NA,48_0,NA,NA,1,NA,NA,NA,NA
GTX0466.bin.47.fa,61.270045033952464,NA,NA,NA,NA,NA,49_0,NA,NA,1,NA,NA,NA,NA
GTX0468.bin.30.fa,69.39903973808553,NA,NA,NA,NA,NA,50_0,NA,NA,1,NA,NA,NA,NA
GTX0468.bin.50.fa,88.24524569514698,NA,NA,NA,NA,NA,51_1,NA,NA,1,NA,NA,NA,NA
GTX0486_487.bin.33.fa,81.98383936996845,NA,NA,NA,NA,NA,51_2,NA,NA,1,NA,NA,NA,NA
GTX0466.bin.69.fa,67.6637835813688,NA,NA,NA,NA,NA,52_0,NA,NA,1,NA,NA,NA,NA
GTX0468.bin.65.fa,94.13049708462728,NA,NA,NA,NA,NA,53_0,NA,NA,1,NA,NA,NA,NA
GTX0466.bin.23.fa,26.62231775188407,NA,NA,NA,NA,NA,54_0,NA,NA,1,NA,NA,NA,NA
GTX0466.bin.82.fa,37.369039430968726,NA,NA,NA,NA,NA,55_0,NA,NA,1,NA,NA,NA,NA
GTX0481.bin.8.fa,83.6554550342692,NA,NA,NA,NA,NA,56_1,NA,NA,3,98.97,98.78,NA,NA
GTX0486_487.bin.103.fa,72.92005572981189,NA,NA,NA,NA,NA,57_1,NA,NA,2,98.39,98.39,NA,NA
GTX0486_487.bin.70.fa,50.608167842976954,NA,NA,NA,NA,NA,57_2,NA,NA,1,NA,NA,NA,NA
GTX0468.bin.45.fa,80.92372142138821,NA,NA,NA,NA,NA,58_1,NA,NA,2,98.15,98.15,NA,NA
GTX0484.bin.17.fa,48.94287086930113,NA,NA,NA,NA,NA,59_0,NA,NA,1,NA,NA,NA,NA
GTX0484.bin.1.fa,53.806249888769166,NA,NA,NA,NA,NA,60_1,NA,NA,1,NA,NA,NA,NA
GTX0484.bin.28.fa,89.16553991096295,NA,NA,NA,NA,NA,60_2,NA,NA,1,NA,NA,NA,NA
GTX0468.bin.49.fa,83.07394621434709,NA,NA,NA,NA,NA,61_1,NA,NA,2,98.98,98.98,NA,NA
GTX0465.bin.17.fa,54.94779387345937,NA,NA,NA,NA,NA,62_0,NA,NA,1,NA,NA,NA,NA
GTX0468.bin.43.fa,66.87600207312171,NA,NA,NA,NA,NA,63_1,NA,NA,1,NA,NA,NA,NA
GTX0491.bin.40.fa,66.84764922643681,NA,NA,NA,NA,NA,63_2,NA,NA,1,NA,NA,NA,NA
GTX0466.bin.53.fa,88.3414712581765,NA,NA,NA,NA,NA,64_0,NA,NA,1,NA,NA,NA,NA
GTX0486_487.bin.8.fa,71.28523103490976,NA,NA,NA,NA,NA,65_0,NA,NA,1,NA,NA,NA,NA
GTX0466.bin.81.fa,63.515840188263944,NA,NA,NA,NA,NA,66_1,NA,NA,1,NA,NA,NA,NA
