Comparison	change	target_id	b	InterPro_new	CAZyme_new	Protease_new	KO	secreted_consensus	lichen_ortho
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_007851-T1	-1.00099620097264	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_009787-T1	-1.00167887585734	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_000938-T1	-1.00268749382844	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_007833-T1	-1.00323744238762	IPR002889 Carbohydrate-binding WSC, IPR018535 Domain of unknown function DUF1996	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_001498-T1	-1.00617526626451	IPR012340 Nucleic acid-binding, OB-fold	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_005188-T1	-1.00623027292874	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_003775-T2	-1.01559705947778	IPR003100 PAZ domain, IPR003165 Piwi domain, IPR012337 Ribonuclease H-like superfamily, IPR014811 Argonaute, linker 1 domain, IPR032472 Argonaute linker 2 domain, IPR032473 Protein argonaute, Mid domain, IPR032474 Protein argonaute, N-terminal, IPR036085 PAZ domain superfamily, IPR036397 Ribonuclease H superfamily	NA	NA	K11593	FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_007473-T1	-1.02140683576652	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_003790-T1	-1.02442878096145	NA	NA	NA		FALSE	TRUE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_006420-T1	-1.02560344260999	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_001955-T1	-1.02844671139419	IPR001138 Zn(2)Cys(6) fungal-type DNA-binding domain, IPR001451 Hexapeptide repeat, IPR002110 Ankyrin repeat, IPR011004 Trimeric LpxA-like superfamily, IPR018357 Hexapeptide transferase, conserved site, IPR020683 Domain of unknown function DUF3447, IPR024688 Maltose/galactoside acetyltransferase, IPR036770 Ankyrin repeat-containing domain superfamily, IPR036864 Zn(2)-C6 fungal-type DNA-binding domain superfamily	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_003033-T1	-1.03028612819667	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_002054-T1	-1.03404913398398	NA	NA	NA		FALSE	TRUE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_003124-T1	-1.03528544132767	IPR001461 Aspartic peptidase A1 family, IPR001969 Aspartic peptidase, active site, IPR021109 Aspartic peptidase domain superfamily, IPR033121 Peptidase family A1 domain, IPR034164 Pepsin-like domain	NA	A01A		TRUE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_002946-T1	-1.03540130195089	NA	NA	NA		FALSE	TRUE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_002142-T1	-1.03691679180202	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_009581-T1	-1.03727921013369	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_004753-T1	-1.03756701916125	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_003765-T1	-1.03815606619927	IPR000420 Yeast PIR protein repeat	NA	NA		TRUE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_004978-T1	-1.04742627953754	NA	NA	NA		TRUE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_004466-T1	-1.04848348279564	IPR000490 Glycoside hydrolase family 17, IPR017853 Glycoside hydrolase superfamily, IPR018620 Ubiquitin 3 binding protein But2, C-terminal	NA	NA		TRUE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_006422-T1	-1.05396489321079	NA	NA	NA		FALSE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_005317-T1	-1.05430712788419	NA	NA	NA		TRUE	FALSE
Apothecia / Vegetative (edge + center)	apothecium	XANPAGTX0501_006975-T1	-1.0548176180501	NA	NA	NA		FALSE	FALSE
