completeness	contamination	strain_heterogeneity	genome_size	number_scaffolds	N50	mean_scaffold_length	longest_scaffold	GC	genome	classification	phylum	class	order	family	genus	species	domain
61.82	8.77	78.43	2832436	559	5451	5066	36311	70.1	GTX0465.bin.15.fa	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unknown	Bacteria
52.9	0	0	3752970	389	12462	9647	43722	72.7	GTX0465.bin.17.fa	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Kineococcaceae;g__Kineococcus;s__	Actinobacteriota	Actinomycetia	Actinomycetales	Kineococcaceae	Kineococcus	Unknown	Bacteria
67.36	0.75	0	982073	137	8540	7168	26593	41.2	GTX0465.bin.18.fa	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus alactolyticus	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus alactolyticus	Bacteria
71.55	1.72	0	4960437	353	19456	14052	67878	63.1	GTX0465.bin.32.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Hymenobacteraceae;g__Hymenobacter;s__	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Hymenobacter	Unknown	Bacteria
87.48	1.37	80	3826392	506	9756	7562	39062	69.8	GTX0465.bin.6.fa	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAHJXG01;s__	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	CAHJXG01	Unknown	Bacteria
73.87	0.84	22.22	3401273	602	6129	5649	21039	45.7	GTX0466.bin.17.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Flavihumibacter;s__	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavihumibacter	Unknown	Bacteria
85.8	5.36	70.97	3506930	492	8695	7127	55602	41.7	GTX0466.bin.19.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ilyomonas;s__	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ilyomonas	Unknown	Bacteria
59.27	1.8	14.29	1902321	191	13216	9959	38654	66.4	GTX0466.bin.2.fa	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Agreia;s__	Actinobacteriota	Actinomycetia	Actinomycetales	Microbacteriaceae	Agreia	Unknown	Bacteria
75.47	5.06	11.11	2596812	413	7502	6287	37085	68	GTX0466.bin.22.fa	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unknown	Bacteria
63.8	7.8	62.16	2087728	478	4412	4367	20297	68.5	GTX0466.bin.23.fa	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Leifsonia_A;s__Leifsonia_A sp004801905	Actinobacteriota	Actinomycetia	Actinomycetales	Microbacteriaceae	Leifsonia_A	Leifsonia_A sp004801905	Bacteria
