Orthogroup	AOBU01 Cyphellophora europaea	Acastr1 Acarospora strigata	Altal1 Alternaria alternata	Amamu1 Amanita muscaria	Artol1 Arthrobotrys oligospora	Ascim1 Ascobolus immersus	Aspni Aspergillus niger CBS 513.88	Aurpu Aureobasidium pullulans var. melanogenum	CAJPDR01 Alectoria fallacina	Capcor1 Capronia coronata	Claba1 Cladophialophora bantiana CBS 173.52	Clagr3 Cladonia grayi	Cocpo1 Coccidioides posadasii	Dibbae1 Dibaeis baeomyces 	EndpusZ1 Endocarpon pusillum	Erypu1 Erysiphe pulchra	Exoaq1 Exophiala aquamarina	Fonmu1 Fonsecaea multimorphosa	Fusgr1 Fusarium graminearum	GTX0466.bin.15.proteins GTX0466.bin.15.proteins	GTX0486 GTX0486_487.bin.100.proteins	GTX0494.bin.19.proteins GTX0494.bin.19.proteins	Grascr1 Graphis scripta	JALAHW01 Teloschistes peruensis	JALAIA01 Xanthoria mediterranea	JALAII01 Xanthoria aureola	JALAIK01 Xanthoria steineri	JALAIP01 Caloplaca aegaea	JAPDRQ01 Knufia sp. JES_112	JAPETI01 Alyxoria varia	JAPETN01 Candelaria pacifica	JAPETP01 Candelina mexicana	JAPETR01 Chrysothrix sp. TS-e1954	JAPETW01 Lichina confinis	JAPEUD01 Sarea resinae	JAPEUF01 Thelocarpon impressellum	Monha1 Monacrosporium haptotylum	Morco1 Morchella importuna	Neucr Neurospora crassa trp3	Penexp1 Penicillium expansum	Phach1 Phaeomoniella chlamydospora	Podan3 Podospora anserina	PseVKM4520 Pseudogymnoascus sp. VKM F-4520	SacceM3707 Saccharomyces cerevisiae	Sclsc1 Sclerotinia sclerotiorum	Umbpus1 Lassalia pustulata	Xanthoria parietina genome from this paper	coassembly.bin.376.proteins coassembly.bin.376.proteins	coassembly.bin.378.proteins coassembly.bin.378.proteins	coassembly.bin.64.proteins coassembly.bin.64.proteins	coassembly.bin.76.proteins coassembly.bin.76.proteins
OG0002271	XP_008710862.1	jgi|Acastr1|122617|AST1_007036-RA	jgi|Altal1|794575|CE794574_5453	jgi|Amamu1|256300|CE55063_5090	jgi|Artol1|852|AOL_s00006g192m.01	jgi|Ascim1|366857|estExt_Genemark1.C_1860023	jgi|Aspni_DSM_1|161511|An08g02500m.01	jgi|Aurpu_var_mel1|19416|gw1.23.158.1	CAF9913000.1	jgi|Capcor1|99127|A1O1_06298T0	jgi|Claba1|137430|Z519_03956T0	jgi|Clagr3|508|CLAGR_000500-RA	jgi|Cocpo1_1|1965|XM_003066918.1	jgi|Dibbae1|817|DIBA_005286-RA	jgi|EndpusZ1|1483|EPUS_06207T0	jgi|Erypu1|5987|transcript_POS87747	jgi|Exoaq1|11437|A1O9_07773T0	jgi|Fonmu1|4932|Z520_08743T0	jgi|Fusgr1|557|FGSG_00460T0	GTX0466b15_002748-T1	GTX0486b100_005702-T1	GTX0494b19_004555-T1	jgi|Grascr1|3562|GST1_007845-RA	KAI4108007.1	KAI4101935.1	KAI4233651.1	KAI4229726.1	KAI4287984.1	KAJ9650972.1	KAI9670642.1	KAI9711616.1	KAI9706528.1	KAI9722801.1	KAI9758506.1	KAI9840029.1	KAI9815892.1	jgi|Monha1|5282|H072_5394m.01	jgi|Morco1|483745|e_gw1.11.166.1	jgi|Neucr_trp3_1|1087|Neucr2.NCU03059T0	jgi|Penexp1|7591|PEXP_005710T0	jgi|Phach1|257|rna256	jgi|Podan3|202458|mRNA_1286	jgi|PseVKM4520_1|7421|transcript_KFZ08325	jgi|SacceM3707_1|30778|fgenesh1_kg.1_#_640_#_NP_010477.1	jgi|Sclsc1|13592|SS1G_06621T0	jgi|Umbpus1|105013|LPUS_11861T0	FUN_009377_T1_FUN_009377	coassemb376_004130-T1	coassemb378_000785-T1	coassemb64_008123-T1	coassemb76_005002-T1
OG0002276	XP_008710927.1	jgi|Acastr1|119231|AST1_008457-RA	jgi|Altal1|1024281|fgenesh1_kg.22_#_230_#_Locus4388v1rpkm29.38	jgi|Amamu1|68584|e_gw1.4.114.1	jgi|Artol1|1863|AOL_s00043g25m.01	jgi|Ascim1|413896|fgenesh1_RNNotator_kg.25_#_37_#_Locus2761v1rpkm58.63	jgi|Aspni_DSM_1|165944|An14g01580m.01	jgi|Aurpu_var_mel1|87467|gm1.7863_g	CAF9910124.1	jgi|Capcor1|93609|A1O1_00742T0	jgi|Claba1|132013|Z519_10331T0	jgi|Clagr3|4628|CLAGR_003985-RA	jgi|Cocpo1_1|5388|XM_003070341.1	jgi|Dibbae1|6847|DIBA_010303-RA	jgi|EndpusZ1|1829|EPUS_03198T0	jgi|Erypu1|4242|transcript_POS86114	jgi|Exoaq1|3900|A1O9_11422T0	jgi|Fonmu1|4151|Z520_01136T0	jgi|Fusgr1|5445|FGSG_12577T0	GTX0466b15_001914-T1	GTX0486b100_007529-T1	GTX0494b19_002812-T1	jgi|Grascr1|7617|GST1_011807-RA	KAI4099614.1	KAI4102489.1	KAI4235610.1	KAI4229039.1	KAI4290204.1	KAJ9652330.1	KAI9652824.1	KAI9721072.1	KAI9700696.1	KAI9717353.1	KAI9748099.1	KAI9830427.1	KAI9826137.1	jgi|Monha1|9481|H072_9948m.01	jgi|Morco1|567472|estExt_fgenesh1_pg.C_510024	jgi|Neucr_trp3_1|2292|Neucr2.NCU03007T0	jgi|Penexp1|2368|PEXP_052230T0	jgi|Phach1|3988|rna3987	jgi|Podan3|202836|mRNA_1664	jgi|PseVKM4520_1|9074|transcript_KFZ03653	jgi|SacceM3707_1|33349|fgenesh1_kg.5_#_284_#_NP_009621.1	jgi|Sclsc1|10439|SS1G_03468T0	jgi|Umbpus1|104383|LPUS_11122T0	FUN_007159_T1_FUN_007159	coassemb376_004557-T1	coassemb378_000344-T1	coassemb64_001673-T1	coassemb76_009714-T1
OG0002280	XP_008710966.1	jgi|Acastr1|119301|AST1_004390-RA	jgi|Altal1|1024129|fgenesh1_kg.22_#_78_#_Locus5552v1rpkm19.76	jgi|Amamu1|156956|fgenesh1_kg.4_#_253_#_Locus15598v3rpkm0.96	jgi|Artol1|292|AOL_s00004g291m.01	jgi|Ascim1|201190|gw1.108.58.1	jgi|Aspni_DSM_1|167679|An16g03830m.01	jgi|Aurpu_var_mel1|45282|e_gw1.6.516.1	CAF9907770.1	jgi|Capcor1|97576|A1O1_04737T0	jgi|Claba1|132648|Z519_01126T0	jgi|Clagr3|4435|CLAGR_004627-RA	jgi|Cocpo1_1|3677|XM_003068630.1	jgi|Dibbae1|4379|DIBA_002007-RA	jgi|EndpusZ1|1271|EPUS_00082T0	jgi|Erypu1|121|transcript_POS84405	jgi|Exoaq1|5376|A1O9_02900T0	jgi|Fonmu1|203|Z520_00204T0	jgi|Fusgr1|565|FGSG_00467T0	GTX0466b15_007186-T1	GTX0486b100_000423-T1	GTX0494b19_005106-T1	jgi|Grascr1|10488|GST1_003652-RA	KAI4099547.1	KAI4110747.1	KAI4214286.1	KAI4217758.1	KAI4290421.1	KAJ9663222.1	KAI9663365.1	KAI9714095.1	KAI9704339.1	KAI9726197.1	KAI9751208.1	KAI9832872.1	KAI9821369.1	jgi|Monha1|8391|H072_8696m.01	jgi|Morco1|489074|e_gw1.30.52.1	jgi|Neucr_trp3_1|1247|Neucr2.NCU11252T0	jgi|Penexp1|9390|PEXP_066940T0	jgi|Phach1|5707|rna5706	jgi|Podan3|202154|mRNA_982	jgi|PseVKM4520_1|8024|transcript_KFZ06010	jgi|SacceM3707_1|38295|fgenesh1_kg.21_#_24_#_NP_013327.1	jgi|Sclsc1|13485|SS1G_06514T0	jgi|Umbpus1|101529|LPUS_08243T0	FUN_003001_T1_FUN_003001	coassemb376_002628-T1	coassemb378_008143-T1	coassemb64_002614-T1	coassemb76_000121-T1
OG0002284	XP_008711008.1	jgi|Acastr1|123885|AST1_003063-RA	jgi|Altal1|1016946|fgenesh1_kg.3_#_382_#_Locus7715v1rpkm7.88	jgi|Amamu1|112821|estExt_Genewise1.C_1450025	jgi|Artol1|7639|AOL_s00097g455m.01	jgi|Ascim1|228743|estExt_Genewise1.C_810023	jgi|Aspni_DSM_1|162172|An08g09160m.01	jgi|Aurpu_var_mel1|36061|e_gw1.1.2750.1	CAF9929349.1	jgi|Capcor1|99862|A1O1_07039T0	jgi|Claba1|133533|Z519_10933T0	jgi|Clagr3|1595|CLAGR_002388-RA	jgi|Cocpo1_1|7157|XM_003072110.1	jgi|Dibbae1|3923|DIBA_008641-RA	jgi|EndpusZ1|4327|EPUS_02857T0	jgi|Erypu1|5356|transcript_POS85421	jgi|Exoaq1|11491|A1O9_07827T0	jgi|Fonmu1|8136|Z520_11111T0	jgi|Fusgr1|8409|FGSG_07262T0	GTX0466b15_002063-T1	GTX0486b100_000839-T1	GTX0494b19_005317-T1	jgi|Grascr1|3661|GST1_008252-RA	KAI4094541.1	KAI4101567.1	KAI4235011.1	KAI4228217.1	KAI4286114.1	KAJ9661950.1	KAI9668666.1	KAI9721288.1	KAI9701275.1	KAI9725881.1	KAI9751861.1	KAI9838111.1	KAI9818592.1	jgi|Monha1|4748|H072_4850m.01	jgi|Morco1|564665|estExt_fgenesh1_pg.C_200037	jgi|Neucr_trp3_1|4653|Neucr2.NCU00336T0	jgi|Penexp1|6966|PEXP_039300T0	jgi|Phach1|4915|rna4914	jgi|Podan3|210897|mRNA_9725	jgi|PseVKM4520_1|4403|transcript_KFZ24836	jgi|SacceM3707_1|36413|fgenesh1_kg.12_#_138_#_Locus1683v1rpkm50.63	jgi|Sclsc1|7128|SS1G_12551T0	jgi|Umbpus1|105416|LPUS_12348T0	FUN_000154_T1_FUN_000154	coassemb376_005081-T1	coassemb378_004328-T1	coassemb64_008049-T1	coassemb76_000732-T1
OG0002288	XP_008711109.1	jgi|Acastr1|120763|AST1_005989-RA	jgi|Altal1|950618|e_gw1.41.103.1	jgi|Amamu1|9705|gm1.3715_g	jgi|Artol1|7038|AOL_s00083g508m.01	jgi|Ascim1|207643|e_gw1.24.13.1	jgi|Aspni_DSM_1|161192|An07g09730m.01	jgi|Aurpu_var_mel1|15046|gw1.2.744.1	CAF9912274.1	jgi|Capcor1|94850|A1O1_01988T0	jgi|Claba1|139907|Z519_06439T0	jgi|Clagr3|3476|CLAGR_003308-RA	jgi|Cocpo1_1|5970|XM_003070923.1	jgi|Dibbae1|10022|DIBA_002942-RA	jgi|EndpusZ1|5553|EPUS_06844T0	jgi|Erypu1|1190|transcript_POS83653	jgi|Exoaq1|12793|A1O9_09078T0	jgi|Fonmu1|11924|Z520_05129T0	jgi|Fusgr1|11907|FGSG_10292T0	GTX0466b15_002617-T1	GTX0486b100_002972-T1	GTX0494b19_006147-T1	jgi|Grascr1|11308|GST1_005337-RA	KAI4105142.1	KAI4103218.1	KAI4238946.1	KAI4220786.1	KAI4288509.1	KAJ9661491.1	KAI9656985.1	KAI9716526.1	KAI9699326.1	KAI9708842.1	KAI9747550.1	KAI9836229.1	KAI9819821.1	jgi|Monha1|8544|H072_8852m.01	jgi|Morco1|571260|gm1.2036_g	jgi|Neucr_trp3_1|8329|Neucr2.NCU04333T0	jgi|Penexp1|45|PEXP_009600T0	jgi|Phach1|5236|rna5235	jgi|Podan3|205226|mRNA_4054	jgi|PseVKM4520_1|2344|transcript_KFZ17159	jgi|SacceM3707_1|38398|fgenesh1_kg.22_#_19_#_NP_011078.1	jgi|Sclsc1|11826|SS1G_04855T0	jgi|Umbpus1|100045|LPUS_02470T0	FUN_005128_T1_FUN_005128	coassemb376_002592-T1	coassemb378_007817-T1	coassemb64_005903-T1	coassemb76_007448-T1
OG0002290	XP_008711128.1	jgi|Acastr1|119358|AST1_005910-RA	jgi|Altal1|930812|e_gw1.6.299.1	jgi|Amamu1|157041|fgenesh1_kg.4_#_338_#_Locus2336v1rpkm94.02	jgi|Artol1|1750|AOL_s00007g498m.01	jgi|Ascim1|366711|estExt_Genemark1.C_1750014	jgi|Aspni_DSM_1|163092|An09g06320m.01	jgi|Aurpu_var_mel1|31834|gw1.27.324.1	CAF9905980.1	jgi|Capcor1|95232|A1O1_02371T0	jgi|Claba1|139831|Z519_06363T0	jgi|Clagr3|8413|CLAGR_007992-RA	jgi|Cocpo1_1|4869|XM_003069822.1	jgi|Dibbae1|12476|DIBA_004863-RA	jgi|EndpusZ1|2679|EPUS_03852T0	jgi|Erypu1|6319|transcript_POS84830	jgi|Exoaq1|13069|A1O9_09355T0	jgi|Fonmu1|6303|Z520_10116T0	jgi|Fusgr1|10383|FGSG_08964T0	GTX0466b15_007217-T1	GTX0486b100_005539-T1	GTX0494b19_002379-T1	jgi|Grascr1|7402|GST1_001640-RA	KAI4098671.1	KAI4094522.1	KAI4227223.1	KAI4219607.1	KAI4274673.1	KAJ9656615.1	KAI9664225.1	KAI9722925.1	KAI9707687.1	KAI9715411.1	KAI9751393.1	KAI9829652.1	KAI9828398.1	jgi|Monha1|8321|H072_8616m.01	jgi|Morco1|538530|fgenesh1_kg.48_#_92_#_Locus1142v2rpkm63.29	jgi|Neucr_trp3_1|6990|Neucr2.NCU09696T0	jgi|Penexp1|10276|PEXP_061980T0	jgi|Phach1|5128|rna5127	jgi|Podan3|203801|mRNA_2629	jgi|PseVKM4520_1|2840|transcript_KFZ16308	jgi|SacceM3707_1|32547|fgenesh1_kg.4_#_144_#_NP_015413.1	jgi|Sclsc1|10736|SS1G_03765T0	jgi|Umbpus1|106047|LPUS_04050T0	FUN_009802_T1_FUN_009802	coassemb376_007439-T1	coassemb378_003365-T1	coassemb64_005133-T1	coassemb76_008290-T1
OG0002295	XP_008711162.1	jgi|Acastr1|125307|AST1_002140-RA	jgi|Altal1|1017762|fgenesh1_kg.4_#_562_#_Locus4819v1rpkm25.56	jgi|Amamu1|448054|CE246817_5450	jgi|Artol1|7597|AOL_s00097g413m.01	jgi|Ascim1|222220|estExt_Genewise1.C_100103	jgi|Aspni_DSM_1|156253|An01g12290m.01	jgi|Aurpu_var_mel1|74243|fgenesh1_pm.6_#_341	CAF9923738.1	jgi|Capcor1|93086|A1O1_00216T0	jgi|Claba1|133869|Z519_11270T0	jgi|Clagr3|1536|CLAGR_002329-RA	jgi|Cocpo1_1|3941|XM_003068894.1	jgi|Dibbae1|262|DIBA_004385-RA	jgi|EndpusZ1|4354|EPUS_02884T0	jgi|Erypu1|2353|transcript_POS88202	jgi|Exoaq1|3155|A1O9_10673T0	jgi|Fonmu1|7376|Z520_02587T0	jgi|Fusgr1|2152|FGSG_01873T0	GTX0466b15_004458-T1	GTX0486b100_006743-T1	GTX0494b19_002984-T1	jgi|Grascr1|4955|GST1_011297-RA	KAI4099732.1	KAI4112175.1	KAI4233390.1	KAI4224765.1	KAI4287281.1	KAJ9662730.1	KAI9651682.1	KAI9710060.1	KAI9701014.1	KAI9725877.1	KAI9750225.1	KAI9831037.1	KAI9816639.1	jgi|Monha1|4710|H072_4812m.01	jgi|Morco1|517127|estExt_Genewise1Plus.C_50219	jgi|Neucr_trp3_1|8116|Neucr2.NCU04124T0	jgi|Penexp1|5417|PEXP_058780T0	jgi|Phach1|1693|rna1692	jgi|Podan3|205149|mRNA_3977	jgi|PseVKM4520_1|6255|transcript_KFZ10079	jgi|SacceM3707_1|34906|fgenesh1_kg.8_#_68_#_NP_012742.1	jgi|Sclsc1|13985|SS1G_07014T0	jgi|Umbpus1|102044|LPUS_08815T0	FUN_000305_T1_FUN_000305	coassemb376_005637-T1	coassemb378_000694-T1	coassemb64_005754-T1	coassemb76_009548-T1
OG0002302	XP_008711296.1	jgi|Acastr1|125136|AST1_003656-RA	jgi|Altal1|924480|e_gw1.1.653.1	jgi|Amamu1|177175|fgenesh1_pg.9_#_153	jgi|Artol1|5479|AOL_s00079g253m.01	jgi|Ascim1|414054|fgenesh1_RNNotator_kg.26_#_70_#_Locus4365v1rpkm33.80	jgi|Aspni_DSM_1|160873|An07g06510m.01	jgi|Aurpu_var_mel1|57454|e_gw1.26.58.1	CAF9921797.1	jgi|Capcor1|99377|A1O1_06549T0	jgi|Claba1|129701|Z519_08006T0	jgi|Clagr3|5049|CLAGR_005342-RA	jgi|Cocpo1_1|431|XM_003065383.1	jgi|Dibbae1|6973|DIBA_009008-RA	jgi|EndpusZ1|5211|EPUS_07984T0	jgi|Erypu1|6350|transcript_POS87675	jgi|Exoaq1|11286|A1O9_07622T0	jgi|Fonmu1|5324|Z520_09135T0	jgi|Fusgr1|9588|FGSG_08645T0	GTX0466b15_009078-T1	GTX0486b100_003536-T1	GTX0494b19_002042-T1	jgi|Grascr1|10888|GST1_003678-RA	KAI4089312.1	KAI4100588.1	KAI4236181.1	KAI4223976.1	KAI4272243.1	KAJ9656180.1	KAI9656981.1	KAI9716135.1	KAI9703222.1	KAI9708841.1	KAI9750483.1	KAI9833318.1	KAI9813493.1	jgi|Monha1|3361|H072_3378m.01	jgi|Morco1|556334|estExt_fgenesh1_pm.C_20084	jgi|Neucr_trp3_1|2025|Neucr2.NCU00693T0	jgi|Penexp1|2242|PEXP_050950T0	jgi|Phach1|1018|rna1017	jgi|Podan3|203165|mRNA_1993	jgi|PseVKM4520_1|4305|transcript_KFZ13688	jgi|SacceM3707_1|31722|fgenesh1_kg.2_#_732_#_NP_014499.2	jgi|Sclsc1|2823|SS1G_09279T0	jgi|Umbpus1|103825|LPUS_03470T0	FUN_002014_T1_FUN_002014	coassemb376_006427-T1	coassemb378_002386-T1	coassemb64_003591-T1	coassemb76_007381-T1
OG0002305	XP_008711323.1	jgi|Acastr1|122570|AST1_006592-RA	jgi|Altal1|1023530|fgenesh1_kg.20_#_24_#_Locus4325v1rpkm30.13	jgi|Amamu1|184229|fgenesh1_pm.4_#_278	jgi|Artol1|3038|AOL_s00054g371m.01	jgi|Ascim1|417722|fgenesh1_RNNotator_kg.107_#_2_#_Locus7498v1rpkm11.48	jgi|Aspni_DSM_1|160117|An06g01500m.01	jgi|Aurpu_var_mel1|14532|gw1.25.69.1	CAF9943174.1	jgi|Capcor1|95959|A1O1_03102T0	jgi|Claba1|131931|Z519_10249T0	jgi|Clagr3|337|CLAGR_000329-RA	jgi|Cocpo1_1|506|XM_003065458.1	jgi|Dibbae1|3373|DIBA_008062-RA	jgi|EndpusZ1|3811|EPUS_05049T0	jgi|Erypu1|440|transcript_POS84198	jgi|Exoaq1|623|A1O9_00624T0	jgi|Fonmu1|4631|Z520_01618T0	jgi|Fusgr1|11403|FGSG_13660T0	GTX0466b15_007202-T1	GTX0486b100_002949-T1	GTX0494b19_008105-T1	jgi|Grascr1|2895|GST1_001054-RA	KAI4109255.1	KAI4105549.1	KAI4234558.1	KAI4227977.1	KAI4290075.1	KAJ9659434.1	KAI9653826.1	KAI9723647.1	KAI9707190.1	KAI9718137.1	KAI9755565.1	KAI9824195.1	KAI9820866.1	jgi|Monha1|799|H072_799m.01	jgi|Morco1|511906|estExt_Genewise1.C_570013	jgi|Neucr_trp3_1|10254|Neucr2.NCU02422T0	jgi|Penexp1|6576|PEXP_078160T0	jgi|Phach1|3518|rna3517	jgi|Podan3|208424|mRNA_7252	jgi|PseVKM4520_1|1245|transcript_KFZ19291	jgi|SacceM3707_1|30293|fgenesh1_kg.1_#_155_#_NP_010132.1	jgi|Sclsc1|1499|SS1G_07955T0	jgi|Umbpus1|100169|LPUS_06744T0	FUN_003611_T1_FUN_003611	coassemb376_003055-T1	coassemb378_007394-T1	coassemb64_005433-T1	coassemb76_000104-T1
OG0002308	XP_008711415.1	jgi|Acastr1|125888|AST1_008147-RA	jgi|Altal1|1012505|fgenesh1_pg.22_#_175	jgi|Amamu1|13978|gm1.7988_g	jgi|Artol1|2466|AOL_s00043g629m.01	jgi|Ascim1|359075|estExt_Genemark1.C_100117	jgi|Aspni_DSM_1|167738|An16g04420m.01	jgi|Aurpu_var_mel1|36590|e_gw1.1.105.1	CAF9940951.1	jgi|Capcor1|97587|A1O1_04748T0	jgi|Claba1|138744|Z519_05275T0	jgi|Clagr3|4374|CLAGR_004566-RA	jgi|Cocpo1_1|3630|XM_003068583.1	jgi|Dibbae1|3354|DIBA_008161-RA	jgi|EndpusZ1|1234|EPUS_00045T0	jgi|Erypu1|1729|transcript_POS83287	jgi|Exoaq1|5443|A1O9_02967T0	jgi|Fonmu1|11300|Z520_04502T0	jgi|Fusgr1|3186|FGSG_11602T0	GTX0466b15_007309-T1	GTX0486b100_006428-T1	GTX0494b19_000198-T1	jgi|Grascr1|10489|GST1_003653-RA	KAI4109403.1	KAI4106309.1	KAI4239928.1	KAI4228765.1	KAI4266020.1	KAJ9654301.1	KAI9663372.1	KAI9717325.1	KAI9704397.1	KAI9726186.1	KAI9752107.1	KAI9832905.1	KAI9813716.1	jgi|Monha1|5723|H072_5909m.01	jgi|Morco1|536552|fgenesh1_kg.30_#_53_#_Locus1220v1rpkm146.77	jgi|Neucr_trp3_1|6099|Neucr2.NCU04415T0	jgi|Penexp1|9344|PEXP_066480T0	jgi|Phach1|73|rna72	jgi|Podan3|209826|mRNA_8654	jgi|PseVKM4520_1|4458|transcript_KFZ13430	jgi|SacceM3707_1|32396|fgenesh1_kg.3_#_659_#_NP_013578.1	jgi|Sclsc1|13736|SS1G_06765T0	jgi|Umbpus1|102698|LPUS_03288T0	FUN_003943_T1_FUN_003943	coassemb376_003498-T1	coassemb378_007576-T1	coassemb64_000028-T1	coassemb76_005409-T1
