Bin Id	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+
bin.1	k__Archaea (UID2)	207	149	107	53.43	28.13	3.49	59833070	0	3570	3570	23985	23985	16759	16759	139996	139996	49.6	1.18	65.74	11	129730	60	53	23	8	4	1
bin.10	k__Archaea (UID2)	207	149	107	62.08	20.32	1.69	23784779	0	959	959	44391	44391	24801	24801	215524	215524	48.2	1.46	76.96	4	35477	52	63	25	8	0	1
bin.100	k__Bacteria (UID1453)	901	171	117	95.30	5.13	28.57	5567030	0	462	462	17781	17781	12049	12049	91759	91759	67.4	1.88	91.35	11	5570	6	158	7	0	0	0
bin.101	k__Bacteria (UID203)	5449	104	58	0.94	0.00	0.00	353961	0	18	18	35092	35092	19664	19664	81989	81989	40.2	1.72	89.25	11	315	98	6	0	0	0	0
bin.102	root (UID1)	5656	56	24	0.00	0.00	0.00	224700	0	53	53	4040	4040	4239	4239	14936	14936	66.0	1.47	92.03	11	266	56	0	0	0	0	0
bin.103	k__Bacteria (UID3187)	2258	188	117	97.22	11.16	0.00	5549787	0	57	57	173149	173149	97364	97364	541876	541876	51.0	1.22	88.75	11	5018	4	169	13	2	0	0
bin.104	k__Bacteria (UID203)	5449	104	58	25.00	2.59	0.00	1291790	0	388	388	3164	3164	3329	3329	15020	15020	72.6	2.02	90.14	11	1557	86	16	2	0	0	0
bin.105	root (UID1)	5656	56	24	8.33	0.00	0.00	311574	0	77	77	4140	4140	4046	4046	11010	11010	60.9	1.33	85.83	11	354	54	2	0	0	0	0
bin.106	k__Bacteria (UID203)	5449	103	57	41.80	1.75	100.00	2848334	0	551	551	5500	5500	5169	5169	23990	23990	50.8	2.81	90.66	11	3043	66	36	1	0	0	0
bin.107	o__Sphingomonadales (UID3310)	26	569	293	72.11	2.61	70.00	2673843	0	429	429	7107	7107	6232	6232	50643	50643	68.9	2.04	90.90	11	2946	179	380	10	0	0	0
bin.108	o__Burkholderiales (UID4000)	193	427	214	63.05	3.34	26.09	2687980	0	519	519	5388	5388	5179	5179	32550	32550	63.5	5.13	88.92	11	2798	131	273	23	0	0	0
bin.109	k__Bacteria (UID203)	5449	103	57	24.88	0.00	0.00	900974	0	264	264	3334	3334	3412	3412	7677	7677	66.7	1.94	89.67	11	1047	82	21	0	0	0	0
bin.11	o__Rhodospirillales (UID3754)	63	336	201	52.21	4.43	31.82	3410664	0	850	850	3856	3856	4012	4012	44560	44560	67.1	7.84	85.88	11	3787	146	168	22	0	0	0
bin.110	k__Bacteria (UID203)	5449	104	58	7.76	0.00	0.00	1351981	0	297	297	4574	4574	4552	4552	38585	38585	61.2	1.67	88.28	11	1346	98	6	0	0	0	0
bin.111	k__Bacteria (UID203)	5449	104	58	84.47	94.83	77.17	10646951	0	1736	1736	7083	7083	6133	6133	49156	49156	71.1	3.80	90.65	11	11344	42	15	29	15	3	0
bin.112	o__Actinomycetales (UID1593)	69	400	198	64.79	8.71	75.61	3013604	0	671	671	4532	4532	4491	4491	26354	26354	68.2	1.70	91.23	11	3478	133	232	32	3	0	0
bin.113	root (UID1)	5656	56	24	0.00	0.00	0.00	2413911	0	730	730	3213	3213	3306	3306	8766	8766	58.9	1.98	83.71	4	4090	56	0	0	0	0	0
bin.114	o__Lactobacillales (UID544)	293	475	267	72.44	0.94	0.00	1025827	0	146	146	8374	8374	7026	7026	36182	36182	41.3	1.40	89.67	11	1096	153	318	4	0	0	0
bin.115	c__Alphaproteobacteria (UID3422)	26	529	308	79.60	5.76	50.00	2475672	0	292	292	9983	9983	8478	8478	67558	67558	73.0	2.34	91.74	11	2523	121	378	30	0	0	0
bin.116	root (UID1)	5656	56	24	0.00	0.00	0.00	240230	0	60	60	3496	3496	4003	4003	19665	19665	68.4	1.57	91.54	11	298	56	0	0	0	0	0
bin.117	k__Bacteria (UID203)	5449	103	57	43.14	0.00	0.00	2572256	0	439	439	6352	6352	5859	5859	32319	32319	51.1	1.35	89.94	11	2688	75	28	0	0	0	0
bin.118	k__Bacteria (UID2565)	2921	143	88	82.67	5.11	0.00	8448881	0	1195	1195	8529	8529	7070	7070	63257	63257	69.7	2.14	81.19	11	6994	19	119	5	0	0	0
