genome,score
GTX0466.bin.83.fa,59.334510360241836
coassembly.bin.324.fa,90.47256156460183
GTX0484.bin.25.fa,99.8065015457606
coassembly.bin.273.fa,97.8074350658838
GTX0468.bin.2.fa,90.40210383150509
coassembly.bin.221.fa,69.23095477329407
GTX0468.bin.23.fa,79.12864746799005
coassembly.bin.224.fa,49.408826118586205
GTX0468.bin.47.fa,52.00887256463479
coassembly.bin.187.fa,40.137199871260286
GTX0466.bin.17.fa,71.56369481067605
coassembly.bin.37.fa,69.23390004543218
GTX0486_487.bin.83.fa,96.64258802239847
coassembly.bin.132.fa,96.14143708927868
GTX0466.bin.12.fa,88.08613284276915
GTX0481.bin.6.fa,96.68622382860153
coassembly.bin.280.fa,86.80148932103825
GTX0466.bin.19.fa,60.96963479316936
coassembly.bin.180.fa,66.1922581640036
GTX0468.bin.63.fa,98.86496402685816
GTX0486_487.bin.31.fa,70.43432291945355
coassembly.bin.199.fa,79.34747547723263
GTX0468.bin.17.fa,77.02613364899915
coassembly.bin.210.fa,46.680192371418926
GTX0468.bin.4.fa,73.960454145309
coassembly.bin.274.fa,48.758003729562766
GTX0468.bin.15.fa,82.45713422860483
GTX0486_487.bin.96.fa,98.4928378617563
coassembly.bin.389.fa,82.69063489004553
GTX0466.bin.75.fa,94.82935775674517
coassembly.bin.382.fa,91.83548670117607
GTX0486_487.bin.66.fa,67.12722368926124
coassembly.bin.40.fa,57.42950948595743
GTX0481.bin.9.fa,74.26571772746357
coassembly.bin.352.fa,75.78439425811179
GTX0466.bin.31.fa,69.15670106461593
coassembly.bin.189.fa,63.152906687330244
GTX0466.bin.56.fa,58.72948011426377
coassembly.bin.9.fa,47.319927907352145
GTX0466.bin.32.fa,84.39256278454411
GTX0484.bin.13.fa,94.41582564939158
coassembly.bin.217.fa,83.98807961528983
GTX0466.bin.39.fa,84.64504079447833
coassembly.bin.315.fa,91.7834108324242
GTX0484.bin.18.fa,92.2695721682715
coassembly.bin.149.fa,91.2579448719422
GTX0466.bin.27.fa,57.261162809333904
coassembly.bin.173.fa,51.84817819436667
GTX0466.bin.55.fa,66.63913642678573
coassembly.bin.320.fa,65.8649073478472
GTX0466.bin.52.fa,51.61029975640558
GTX0468.bin.72.fa,72.95257510457009
GTX0466.bin.6.fa,67.02431799421632
GTX0468.bin.6.fa,51.75718824704418
GTX0468.bin.26.fa,82.85493781685608
coassembly.bin.222.fa,74.67203302595725
GTX0486_487.bin.54.fa,58.606906391782346
coassembly.bin.292.fa,45.03944120733537
GTX0468.bin.60.fa,94.88225607135648
coassembly.bin.143.fa,66.98745966356192
GTX0486_487.bin.57.fa,40.80424505258562
GTX0486_487.bin.92.fa,92.9963021795734
coassembly.bin.226.fa,81.98588153907967
GTX0468.bin.35.fa,91.75913352340334
GTX0486_487.bin.74.fa,95.2862625360561
coassembly.bin.306.fa,78.53416941134975
GTX0468.bin.9.fa,80.45187030942894
coassembly.bin.83.fa,70.84229469283471
GTX0486_487.bin.21.fa,97.83527891392299
coassembly.bin.289.fa,95.11399159134471
GTX0466.bin.47.fa,61.270045033952464
