querry,reference,alignment_length,similarity_errors,ref_coverage,querry_coverage,ani,reference_length,querry_length,alignment_coverage,primary_cluster
GTX0465.bin.1.fa,GTX0465.bin.1.fa,59368039,0,0.9999697,0.9999697,1.0,59369835,59369835,0.9999697489474242,1
GTX0465.bin.1.fa,GTX0466.bin.29.fa,16679872,2377230,0.28939265,0.2809486,0.8574791,57637508,59369835,0.2893926642352407,1
GTX0465.bin.1.fa,GTX0466.bin.21.fa,41954589,101107,0.9719494,0.7066651,0.99759007,43165405,59369835,0.9719493886365713,1
GTX0465.bin.1.fa,GTX0466.merged.0.fa,58508747,123780,0.9776127,0.9854962,0.9978844,59848596,59369835,0.9854962035855414,1
GTX0465.bin.1.fa,GTX0468.bin.53.fa,17749459,2517794,0.29269743,0.29896426,0.8581481,60640980,59369835,0.298964263586045,1
GTX0465.bin.1.fa,GTX0493.bin.23.fa,17257717,2453593,0.31043398,0.29068157,0.85782635,55592226,59369835,0.3104339984515101,1
GTX0465.bin.1.fa,GTX0494.bin.15.fa,18096676,2569565,0.30746743,0.30481264,0.858009,58857211,59369835,0.3074674401408521,1
GTX0465.bin.1.fa,coassembly.bin.195.fa,15031393,2096920,0.26386318,0.25318232,0.8604973,56966617,59369835,0.263863184994819,1
GTX0465.bin.1.fa,coassembly.bin.321.fa,17004265,2407442,0.28224394,0.28641254,0.85842127,60246696,59369835,0.28641253592838856,1
GTX0465.bin.1.fa,coassembly.bin.1.fa,56360949,190355,0.9419699,0.9493196,0.99662256,59833070,59369835,0.9493196166032801,1
GTX0465.bin.1.fa,coassembly.bin.46.fa,16656191,2370349,0.30145,0.28054973,0.8576896,55253575,59369835,0.30145001477279976,1
GTX0466.bin.29.fa,GTX0465.bin.1.fa,16737851,2380257,0.28192517,0.2903986,0.85779196,59369835,57637508,0.2903985890576671,1
GTX0466.bin.29.fa,GTX0466.bin.29.fa,57631047,0,0.9998879,0.9998879,1.0,57637508,57637508,0.9998879028565912,1
GTX0466.bin.29.fa,GTX0466.bin.21.fa,11353233,1601815,0.26301694,0.19697647,0.8589111,43165405,57637508,0.26301694609375265,1
GTX0466.bin.29.fa,GTX0466.merged.0.fa,16799987,2387821,0.28070813,0.29147664,0.85786766,59848596,57637508,0.2914766370537741,1
GTX0466.bin.29.fa,GTX0468.bin.53.fa,53898903,301710,0.8888198,0.9351359,0.9944023,60640980,57637508,0.9351359014341841,1
GTX0466.bin.29.fa,GTX0493.bin.23.fa,33641169,4693442,0.6051416,0.583668,0.8604852,55592226,57637508,0.6051416073894936,1
GTX0466.bin.29.fa,GTX0494.bin.15.fa,35096912,4912355,0.5963061,0.60892487,0.8600345,58857211,57637508,0.6089248688544966,1
GTX0466.bin.29.fa,coassembly.bin.195.fa,17442766,2480196,0.30619276,0.30262873,0.8578095,56966617,57637508,0.3061927654928149,1
GTX0466.bin.29.fa,coassembly.bin.321.fa,51900816,231951,0.8614716,0.9004695,0.9955309,60246696,57637508,0.9004694651267713,1
GTX0466.bin.29.fa,coassembly.bin.1.fa,16686844,2344870,0.27888998,0.28951362,0.85947794,59833070,57637508,0.28951362713322026,1
GTX0466.bin.29.fa,coassembly.bin.46.fa,32611378,4543335,0.590213,0.5658013,0.86068255,55253575,57637508,0.590212995267727,1
