genome,location,length
GTX0465.bin.1.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0465.bin.1.fa,59369835
GTX0465.bin.21.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0465.bin.21.fa,21448810
GTX0466.bin.15.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0466.bin.15.fa,27330910
GTX0466.bin.29.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0466.bin.29.fa,57637508
GTX0466.bin.35.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0466.bin.35.fa,21984485
GTX0466.bin.21.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0466.bin.21.fa,43165405
GTX0466.merged.0.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0466.merged.0.fa,59848596
GTX0484.bin.40.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0484.bin.40.fa,20180701
GTX0468.bin.24.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0468.bin.24.fa,25851708
GTX0468.bin.53.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0468.bin.53.fa,60640980
GTX0486_487.bin.12.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0486_487.bin.12.fa,24644408
GTX0486_487.bin.100.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0486_487.bin.100.fa,24299713
GTX0486_487.bin.46.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0486_487.bin.46.fa,20777064
GTX0491.bin.33.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0491.bin.33.fa,67503976
GTX0491.bin.13.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0491.bin.13.fa,21433045
GTX0481.bin.18.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0481.bin.18.fa,21493487
GTX0481.bin.1.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0481.bin.1.fa,29852520
GTX0493.bin.23.fa,/tsl/scratch/gol22pin/01_Xanthoria_metagenomics/analysis_and_temp_files/03_assembly/ind_assembly_bins/GTX0493.bin.23.fa,55592226
