cluster_id	descrition	interest	tip
cl01	Amidase	N	FUN_001769-T1
cl01	Amidase	N	FUN_010624-T1
cl02	Tyrosinase	N	FUN_003876-T1
cl02	Tyrosinase	N	FUN_004818-T1
cl02	Tyrosinase	N	FUN_001150-T1
cl03	No annotation	N	FUN_001123-T1
cl03	No annotation	N	FUN_003936-T1
cl04	No annotation	Y	FUN_010247-T1
cl04	No annotation	Y	FUN_005768-T1
cl04	No annotation	Y	FUN_002012-T1
cl04	No annotation	Y	FUN_003678-T1
cl04	No annotation	Y	FUN_000516-T1
cl04	No annotation	Y	FUN_002315-T2
cl04	No annotation	Y	FUN_005039-T1
cl04	No annotation	Y	FUN_009148-T1
cl05	Lipase	N	FUN_007071-T1
cl05	Lipase	N	FUN_002910-T1
cl05	Lipase	N	FUN_005200-T1
cl05	Lipase	N	FUN_005151-T1
cl06	Carboxylesterase	N	FUN_008841-T1
cl06	Carboxylesterase	N	FUN_010387-T1
cl06	Carboxylesterase	N	FUN_004372-T1
cl06	Carboxylesterase	N	FUN_003746-T1
cl07	Esterase	N	FUN_004947-T1
cl07	Esterase	N	FUN_005390-T1
cl07	Esterase	N	FUN_009613-T1
cl07	Esterase	N	FUN_009663-T1
cl08	Annotations do not match	N	FUN_002987-T1
cl08	Annotations do not match	N	FUN_003285-T1
cl09	Peptidase S10P	N	FUN_008146-T1
cl09	Peptidase S10P	N	FUN_009986-T1
cl09	Peptidase S10P	N	FUN_000182-T1
cl09	Peptidase S10P	N	FUN_000540-T1
cl09	Peptidase S10P	N	FUN_009239-T1
cl10	Pyrethroid Hydrolase and Hydroxynitrile Lyase	N	FUN_009860-T1
cl10	Pyrethroid Hydrolase and Hydroxynitrile Lyase	N	FUN_009724-T1
cl11	Lipase	N	FUN_005856-T1
cl11	Lipase	N	FUN_003835-T1
cl11	Lipase	N	FUN_002310-T1
cl12	Esterase	N	FUN_003182-T1
cl12	Esterase	N	FUN_009609-T1
cl13	No annotation	N	FUN_004433-T1
cl13	No annotation	N	FUN_006949-T1
cl13	No annotation	N	FUN_002540-T1
cl14	No annotation	N	FUN_006270-T1
cl14	No annotation	N	FUN_003976-T1
cl15	No annotation	N	FUN_005038-T1
cl15	No annotation	N	FUN_005319-T1
cl15	No annotation	N	FUN_006926-T1
cl15	No annotation	N	FUN_005320-T1
cl15	No annotation	N	FUN_008429-T1
cl15	No annotation	N	FUN_000377-T1
cl15	No annotation	N	FUN_004983-T1
cl15	No annotation	N	FUN_006348-T1
cl16	Ribonuclease/ribotoxin	Y	FUN_000646-T1
cl16	Ribonuclease/ribotoxin	Y	FUN_007281-T1
cl17	Peptidase S53	N	FUN_002596-T1
cl17	Peptidase S53	N	FUN_003328-T1
cl18	Match to effector from Zymoseptoria	Y	FUN_002595-T1
cl18	Match to effector from Zymoseptoria	Y	FUN_004956-T1
cl18	Match to effector from Zymoseptoria	Y	FUN_002543-T1
cl18	Match to effector from Zymoseptoria	Y	FUN_008683-T1
cl18	Match to effector from Zymoseptoria	Y	FUN_005641-T1
cl18	Match to effector from Zymoseptoria	Y	FUN_003855-T1
cl19	No annotation	Y	FUN_000644-T1
cl19	No annotation	Y	FUN_007888-T1
cl19	No annotation	Y	FUN_008764-T1
cl19	No annotation	Y	FUN_007976-T1
cl20	No annotation	Y	FUN_010200-T1
cl20	No annotation	Y	FUN_008667-T1
cl20	No annotation	Y	FUN_010384-T1
cl20	No annotation	Y	FUN_000439-T1
cl20	No annotation	Y	FUN_002722-T1
cl20	No annotation	Y	FUN_000698-T1
cl20	No annotation	Y	FUN_007377-T1
cl21	Killer toxin	Y	FUN_005492-T1
cl21	Killer toxin	Y	FUN_003928-T1
cl21	Killer toxin	Y	FUN_000479-T1
cl21	Killer toxin	Y	FUN_003600-T1
cl21	Killer toxin	Y	FUN_009135-T1
cl22	No annotation	Y	FUN_005361-T1
cl22	No annotation	Y	FUN_003287-T1
cl23	No annotation	Y	FUN_002191-T1
cl23	No annotation	Y	FUN_007255-T1
cl23	No annotation	Y	FUN_010210-T1
cl24	Match to effector from Zymoseptoria	Y	FUN_000861-T1
cl24	Match to effector from Zymoseptoria	Y	FUN_006349-T1
