Bin Id	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+
bin.1	k__Bacteria (UID203)	5449	104	58	1.88	0.00	0.00	924794	0	23	23	58909	58909	40208	40208	112449	112449	40.2	1.13	47.26	11	1397	102	2	0	0	0	0
bin.10	p__Bacteroidetes (UID2591)	364	302	203	36.50	2.96	100.00	1867185	0	12	12	254189	254189	155598	155598	335648	335648	48.6	0.61	85.73	11	1637	181	113	8	0	0	0
bin.11	k__Bacteria (UID203)	5449	104	58	25.49	0.00	0.00	1206190	0	333	333	3506	3506	3622	3622	12678	12678	71.2	2.36	90.09	11	1362	83	21	0	0	0	0
bin.12	o__Rhodospirillales (UID3754)	63	336	201	86.46	1.99	0.00	4350099	0	452	452	12767	12767	9624	9624	65448	65448	72.3	3.39	88.02	11	4407	64	268	4	0	0	0
bin.13	k__Bacteria (UID203)	5449	104	58	29.78	8.82	0.00	21433045	0	298	298	102804	102804	71922	71922	417651	417651	51.5	1.09	81.31	4	29568	53	28	17	6	0	0
bin.14	root (UID1)	5656	56	24	0.00	0.00	0.00	288091	0	30	30	13835	13835	9603	9603	30251	30251	65.3	1.38	85.27	11	299	56	0	0	0	0	0
bin.15	root (UID1)	5656	56	24	0.00	0.00	0.00	3475108	0	420	420	10474	10474	8274	8274	51503	51503	29.4	3.76	4.48	11	1009	56	0	0	0	0	0
bin.16	k__Bacteria (UID203)	5449	104	58	24.14	0.00	0.00	1134717	0	226	226	4934	4934	5020	5020	14024	14024	51.0	1.58	88.82	11	1230	87	17	0	0	0	0
bin.17	root (UID1)	5656	56	24	4.17	0.00	0.00	217805	0	50	50	4649	4649	4356	4356	9536	9536	54.6	1.32	92.30	11	202	55	1	0	0	0	0
bin.18	root (UID1)	5656	56	24	0.00	0.00	0.00	281318	0	3	3	167637	167637	93772	93772	167637	167637	34.2	0.67	25.16	11	274	56	0	0	0	0	0
bin.19	root (UID1)	5656	56	24	0.00	0.00	0.00	652020	0	178	178	3626	3626	3663	3663	8799	8799	57.7	2.13	87.83	11	649	56	0	0	0	0	0
bin.2	k__Archaea (UID2)	207	149	107	9.38	0.47	0.00	3300162	0	44	44	105995	105995	75003	75003	225457	225457	47.6	1.05	71.26	4	4020	130	18	1	0	0	0
bin.20	root (UID1)	5656	56	24	0.00	0.00	0.00	473574	0	10	10	112642	112642	47357	47357	142707	142707	38.7	1.07	41.98	11	639	56	0	0	0	0	0
bin.21	k__Bacteria (UID1452)	924	161	108	67.28	0.00	0.00	3643798	0	625	625	6526	6526	5830	5830	31277	31277	56.0	1.86	89.72	11	3643	72	89	0	0	0	0
bin.22	root (UID1)	5656	56	24	0.00	0.00	0.00	305645	0	89	89	3395	3395	3434	3434	7388	7388	67.0	1.92	86.92	11	337	56	0	0	0	0	0
bin.23	c__Alphaproteobacteria (UID3305)	564	337	221	83.55	0.23	0.00	2431924	0	55	55	73330	73330	44216	44216	222985	222985	70.2	1.50	92.09	11	2383	52	284	1	0	0	0
bin.24	k__Bacteria (UID203)	5449	104	58	94.83	9.09	28.57	4535337	0	271	271	30142	30142	16735	16735	88910	88910	69.9	2.09	89.17	11	4555	3	82	18	1	0	0
bin.25	root (UID1)	5656	56	24	8.33	0.00	0.00	313627	0	89	89	3480	3480	3523	3523	8071	8071	64.5	1.42	90.57	11	397	54	2	0	0	0	0
