"query","target","nident","fident","alnlen","mismatch","gapopen","qstart","qend","tstart","tend","prob","evalue","bits"
"106_FUN001941T1unrelaxedrank001alphafold2ptmmodel1seed000.pdb","AF-A0A139HMR0-F1-model_v4",124,0.442,280,144,6,1,274,38,311,1,7.208e-33,1224
"106_FUN001941T1unrelaxedrank001alphafold2ptmmodel1seed000.pdb","AF-M3CZZ1-F1-model_v4",124,0.446,278,138,6,3,272,43,312,1,4.734e-32,1190
"106_FUN001941T1unrelaxedrank001alphafold2ptmmodel1seed000.pdb","AF-S8A6L4-F1-model_v4",118,0.38,310,148,5,2,273,10,313,1,1.628e-31,1177
"106_FUN001941T1unrelaxedrank001alphafold2ptmmodel1seed000.pdb","AF-A0A4U0Y0X0-F1-model_v4",126,0.473,266,123,4,1,265,28,277,1,1.017e-31,1073
"118_FUN002191T1unrelaxedrank001alphafold2ptmmodel5seed000.pdb","AF-A0A5M8PLB0-F1-model_v4",11,0.103,106,87,6,18,118,68,170,1,0.02255,108
"118_FUN002191T1unrelaxedrank001alphafold2ptmmodel5seed000.pdb","AF-A0A175YGK6-F1-model_v4",8,0.09,88,72,2,33,118,49,130,0.986,0.1355,81
"118_FUN002191T1unrelaxedrank001alphafold2ptmmodel5seed000.pdb","AF-A0A2I0BHH5-F1-model_v4",16,0.125,128,86,7,2,116,4,118,0.941,0.06066,71
"118_FUN002191T1unrelaxedrank001alphafold2ptmmodel5seed000.pdb","AF-M4EKT3-F1-model_v4",9,0.098,91,69,3,32,120,167,246,0.9,0.1442,67
"118_FUN002191T1unrelaxedrank001alphafold2ptmmodel5seed000.pdb","AF-G5FKH8-F1-model_v4",11,0.139,79,61,1,24,95,189,267,0.601,1.255,54
"183_FUN003296T1unrelaxedrank001alphafold2ptmmodel5seed000.pdb","AF-A0A3A2ZMW6-F1-model_v4",14,0.1,139,86,7,6,143,46,146,1,0.0007546,119
"183_FUN003296T1unrelaxedrank001alphafold2ptmmodel5seed000.pdb","AF-N1PQS9-F1-model_v4",7,0.049,141,100,6,4,143,21,128,1,0.00379,106
"183_FUN003296T1unrelaxedrank001alphafold2ptmmodel5seed000.pdb","AF-A0A6A6TY75-F1-model_v4",16,0.11,145,91,6,7,150,74,181,1,0.003122,103
"183_FUN003296T1unrelaxedrank001alphafold2ptmmodel5seed000.pdb","AF-A0A2J6R733-F1-model_v4",15,0.101,148,91,9,1,146,69,176,0.997,0.00998,91
"183_FUN003296T1unrelaxedrank001alphafold2ptmmodel5seed000.pdb","AF-A0A2T2P1Y4-F1-model_v4",14,0.102,137,84,7,8,143,77,175,0.996,0.01292,90
"18_FUN000358T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A093YD50-F1-model_v4",297,0.513,578,270,7,2,575,177,747,1,1.81e-84,3167
"18_FUN000358T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A072Q3X7-F1-model_v4",289,0.5,578,277,7,1,575,63,631,1,3.119e-83,3135
"18_FUN000358T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A3D8QNJ6-F1-model_v4",249,0.43,579,310,10,2,574,27,591,1,3.559e-76,2746
"18_FUN000358T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A369HHK8-F1-model_v4",237,0.41,577,327,9,2,574,479,1046,1,1.584e-74,2727
"18_FUN000358T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A1S1W061-F1-model_v4",238,0.414,576,324,9,6,575,2,569,1,2.407e-68,2434
"198_FUN003572T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-M3AVB5-F1-model_v4",126,0.422,298,158,4,11,296,2,297,1,4.657e-36,1385
"198_FUN003572T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A3M7B1B8-F1-model_v4",130,0.434,299,155,4,10,296,74,370,1,5.553e-36,1373
"198_FUN003572T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A3M7DPE9-F1-model_v4",128,0.429,298,156,4,10,295,70,365,1,3.629e-35,1340
"198_FUN003572T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A6A6S4D4-F1-model_v4",127,0.42,302,161,4,7,296,20,319,1,1.989e-34,1316
"198_FUN003572T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A6A6UPI4-F1-model_v4",108,0.352,306,175,7,7,296,28,326,1,2.441e-28,1015
"317_FUN005792T1unrelaxedrank001alphafold2ptm.pdb","AF-U7PMK7-F1-model_v4",170,0.376,451,242,13,3,422,166,608,1,8.377e-38,545
"317_FUN005792T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A0C2IKZ1-F1-model_v4",169,0.376,449,242,12,3,421,166,606,1,1.409e-38,543
"317_FUN005792T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A4Q7K4T8-F1-model_v4",89,0.399,223,115,4,1,205,34,255,1,6.065e-22,471
"317_FUN005792T1unrelaxedrank001alphafold2ptm.pdb","AF-Q0CGW9-F1-model_v4",140,0.248,563,252,19,7,422,202,740,1,6.556e-27,332
"317_FUN005792T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A2N6NNM3-F1-model_v4",88,0.206,427,263,15,9,421,1,365,1,7.846e-18,224
"318_FUN005800T1unrelaxedrank001alphafold2ptm.pdb","AF-R8BN75-F1-model_v4",588,0.5,1176,503,17,1,1096,17,1187,1,0,5959
"318_FUN005800T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A437AGZ5-F1-model_v4",527,0.435,1211,553,24,1,1097,21,1214,1,0,5581
"318_FUN005800T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A425BSA0-F1-model_v4",624,0.506,1233,464,22,100,1199,1,1221,1,0,3733
"318_FUN005800T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A4U0UZZ9-F1-model_v4",422,0.518,814,356,17,87,880,5,802,1,0,3089
"318_FUN005800T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A194XBC8-F1-model_v4",349,0.314,1111,476,40,2,1088,21,869,1,2.156e-74,2161
"34_FUN000553T1unrelaxedrank001alphafold2ptmmodel5seed000.pdb","AF-A0A7C8MFV8-F1-model_v4",172,0.372,462,284,4,2,459,284,743,1,2.738e-56,2095
"34_FUN000553T1unrelaxedrank001alphafold2ptmmodel5seed000.pdb","AF-A0A0N0V6G3-F1-model_v4",164,0.362,452,284,3,9,458,280,729,1,1.266e-55,2094
"34_FUN000553T1unrelaxedrank001alphafold2ptmmodel5seed000.pdb","AF-A0A6A6U9J1-F1-model_v4",166,0.363,457,284,6,7,459,36,489,1,2.126e-53,2009
"34_FUN000553T1unrelaxedrank001alphafold2ptmmodel5seed000.pdb","AF-W7MU26-F1-model_v4",165,0.373,442,273,3,19,458,13,452,1,3.406e-53,2000
"34_FUN000553T1unrelaxedrank001alphafold2ptmmodel5seed000.pdb","AF-A0A366QWV0-F1-model_v4",151,0.328,460,281,6,4,459,29,464,1,7.634e-50,1737
"361_FUN006429T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A2J6T3S3-F1-model_v4",125,0.412,303,143,12,1,278,73,365,1,4.036e-24,882
"361_FUN006429T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A0C3GY97-F1-model_v4",119,0.392,303,145,13,1,276,29,319,1,3.357e-23,878
"361_FUN006429T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A6A6J4Z3-F1-model_v4",128,0.435,294,133,16,2,277,27,305,1,2.553e-24,872
"361_FUN006429T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A0C3CJS1-F1-model_v4",113,0.406,278,128,11,27,278,2,268,1,1.469e-21,739
"361_FUN006429T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A370TXH2-F1-model_v4",106,0.326,325,159,12,2,276,26,340,1,4.068e-20,699
"365_FUN006612T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A0J8RMW3-F1-model_v4",32,0.516,62,30,0,2,63,471,532,1,5.611e-08,332
"365_FUN006612T1unrelaxedrank001alphafold2ptm.pdb","AF-E9DDV5-F1-model_v4",30,0.483,62,32,0,2,63,651,712,1,1.291e-07,318
"365_FUN006612T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A5N5CZ16-F1-model_v4",30,0.483,62,32,0,2,63,557,618,1,1.484e-07,316
