querry,reference,alignment_length,similarity_errors,ref_coverage,querry_coverage,ani,reference_length,querry_length,alignment_coverage,primary_cluster
GTX0466.bin.83.fa,GTX0466.bin.83.fa,3734327,0,0.9998308,0.9998308,1.0,3734959,3734959,0.9998307879684891,1
GTX0466.bin.83.fa,coassembly.bin.324.fa,3414567,22977,0.5997274,0.91421807,0.9932709,5693532,3734959,0.9142180677217608,1
coassembly.bin.324.fa,GTX0466.bin.83.fa,3414469,22983,0.91419184,0.59971017,0.99326897,3734959,5693532,0.9141918291472544,1
coassembly.bin.324.fa,coassembly.bin.324.fa,5693062,0,0.99991745,0.99991745,1.0,5693532,5693532,0.9999174501873354,1
GTX0484.bin.25.fa,GTX0484.bin.25.fa,6361502,0,0.99998397,0.99998397,1.0,6361604,6361604,0.9999839663078682,2
GTX0484.bin.25.fa,coassembly.bin.273.fa,5991342,3393,0.97322637,0.9417974,0.9994337,6156165,6361604,0.973226351145559,2
coassembly.bin.273.fa,GTX0484.bin.25.fa,5990598,3258,0.94168043,0.9731055,0.99945617,6361604,6156165,0.9731054966850303,2
coassembly.bin.273.fa,coassembly.bin.273.fa,6156031,0,0.99997824,0.99997824,1.0,6156165,6156165,0.9999782332020015,2
GTX0468.bin.2.fa,GTX0468.bin.2.fa,6185718,0,0.9999845,0.9999845,1.0,6185814,6185814,0.9999844806196888,3
GTX0468.bin.2.fa,GTX0468.bin.23.fa,461477,75856,0.07700057,0.07460247,0.83562344,5993163,6185814,0.07700057548910316,3
GTX0468.bin.2.fa,GTX0468.bin.47.fa,425641,68132,0.09035057,0.06880921,0.83993083,4710994,6185814,0.09035057145052615,3
GTX0468.bin.2.fa,coassembly.bin.221.fa,4934428,9392,0.9344205,0.7977007,0.99809664,5280736,6185814,0.9344205050205123,3
GTX0468.bin.2.fa,coassembly.bin.224.fa,657064,71851,0.10911217,0.1062211,0.8906484,6021913,6185814,0.1091121708334212,3
GTX0468.bin.23.fa,GTX0468.bin.2.fa,456134,75009,0.07373872,0.07610906,0.8355549,6185814,5993163,0.07610905960675524,3
GTX0468.bin.23.fa,GTX0468.bin.23.fa,5992968,0,0.99996746,0.99996746,1.0,5993163,5993163,0.9999674629240018,3
GTX0468.bin.23.fa,GTX0468.bin.47.fa,1971897,288114,0.41857344,0.32902443,0.85388994,4710994,5993163,0.4185734475569275,3
GTX0468.bin.23.fa,coassembly.bin.221.fa,553829,65420,0.10487723,0.09241013,0.8818769,5280736,5993163,0.10487723680941445,3
GTX0468.bin.23.fa,coassembly.bin.224.fa,5529501,34112,0.91823,0.92263484,0.9938309,6021913,5993163,0.9226348424029182,3
GTX0468.bin.47.fa,GTX0468.bin.2.fa,426987,68372,0.069026805,0.09063628,0.8398734,6185814,4710994,0.09063628610013089,3
GTX0468.bin.47.fa,GTX0468.bin.23.fa,1977468,288628,0.32995397,0.419756,0.85404164,5993163,4710994,0.41975600053831524,3
GTX0468.bin.47.fa,GTX0468.bin.47.fa,4710500,0,0.99989516,0.99989516,1.0,4710994,4710994,0.9998951389027454,3
GTX0468.bin.47.fa,coassembly.bin.221.fa,418466,61972,0.079243876,0.088827536,0.8519067,5280736,4710994,0.08882753830720226,3
GTX0468.bin.47.fa,coassembly.bin.224.fa,1996653,283448,0.33156458,0.4238284,0.8580384,6021913,4710994,0.4238283895076071,3
coassembly.bin.221.fa,GTX0468.bin.2.fa,4934275,8809,0.79767597,0.93439156,0.9982147,6185814,5280736,0.9343915317864783,3
coassembly.bin.221.fa,GTX0468.bin.23.fa,554017,65479,0.09244151,0.10491284,0.8818105,5993163,5280736,0.1049128379074432,3
coassembly.bin.221.fa,GTX0468.bin.47.fa,417712,61914,0.08866749,0.07910109,0.85177827,4710994,5280736,0.08866748715876098,3
