genome	completeness	contamination	strain_heterogeneity	genome_size	number_scaffolds	N50	mean_scaffold_length	longest_scaffold	GC	classification	phylum	class	order	family	genus	species	domain
bin.100	95.3	5.13	28.57	5567030	462	17781	12049	91759	67.4	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__WLMZ01;s__	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	Ilumatobacteraceae	WLMZ01	Unknown	Bacteria
bin.107	72.11	2.61	70.00	2673843	429	7107	6232	50643	68.9	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unknown	Bacteria
bin.108	63.05	3.34	26.09	2687980	519	5388	5179	32550	63.5	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Xylophilus;s__	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Xylophilus	Unknown	Bacteria
bin.11	52.21	4.43	31.82	3410664	850	3856	4012	44560	67.1	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Belnapia;s__	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Belnapia	Unknown	Bacteria
bin.112	64.79	8.71	75.61	3013604	671	4532	4491	26354	68.2	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Leifsonia_A;s__Leifsonia_A sp004801905	Actinobacteriota	Actinomycetia	Actinomycetales	Microbacteriaceae	Leifsonia_A	Leifsonia_A sp004801905	Bacteria
bin.114	72.44	0.94	0.00	1025827	146	8374	7026	36182	41.3	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus alactolyticus	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus alactolyticus	Bacteria
bin.115	79.6	5.76	50.00	2475672	292	9983	8478	67558	73.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__;s__	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Unknown	Unknown	Bacteria
bin.118	82.67	5.11	0.00	8448881	1195	8529	7070	63257	69.7	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__UBA1161;f__UBA1161;g__;s__	Planctomycetota	Phycisphaerae	UBA1161	UBA1161	Unknown	Unknown	Bacteria
bin.126	64.8	3.81	35.29	2092801	432	4904	4844	33358	68.3	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unknown	Bacteria
bin.129	81.64	3.07	33.33	8095539	1388	6498	5832	28502	71.1	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Micromonosporaceae;g__Actinoplanes;s__	Actinobacteriota	Actinomycetia	Mycobacteriales	Micromonosporaceae	Actinoplanes	Unknown	Bacteria
