bin	completeness	contamination	ncbi_lng
bin.162.fa	9.52	1.59	1-131567-2759-2611341-207245-5738-5739-68460
bin.375.fa	8.43	0.0	1-131567-2759-2698737-33634-2696291-2825-96792-98651
bin.370.fa	0.0	0.0	1-131567-2759-2698737-33630-5878-431838-33829-194286-486728-311384
bin.195.fa	83.0	3.0	1-131567-2759-33090-3041-2692248-75966-2507901-2507902-13786
bin.363.fa	0.0	0.0	1-131567-2759-554915-2605435-142796-33083-2058181-2058184
bin.144.fa	0.0	0.0	1-131567-2759-554915-2605435-142796-33083-2058181-2058184
bin.9.fa	0.78	0.0	1-131567-2759-2698737-33630-5878-431838-33829-194286-486728-311384
bin.304.fa	4.97	0.62	1-131567-2759-2698737-33634-2696291-33859-420622-420617-2991
bin.321.fa	86.0	5.0	1-131567-2759-33090-3041-2692248-75966-2507901-2507902-13786
bin.187.fa	2.63	0.0	1-131567-2759-2698737-33634-2696291-2825-96792
bin.389.fa	0.0	0.0	1-131567-2759-2698737-33630-5878-431838-33829-194286-486728-311384
bin.246.fa	1.25	0.0	1-131567-2759-2698737-33634-2696291-2825-96792-704141
bin.184.fa	9.64	2.41	1-131567-2759-2698737-33630-5878-431838-33829-141411-200604-211026
bin.64.fa	60.9	0.38	1-131567-2759-33154-4751-451864-4890-716545-147538-716546-147545-451870-34395-43219
bin.149.fa	0.45	0.0	1-131567-2759-554915-2605435-142796-33083-2058181
bin.221.fa	0.78	0.0	1-131567-2759-2698737-33630-5878-431838-33829-194286-486728-311384
bin.287.fa	9.52	0.0	1-131567-2759-2698737-33634-2683628-35131-2699527-35132-35133
bin.372.fa	19.53	6.98	1-131567-2759-2698737-33630-5878-431838-6020-31277-37093-291294
bin.166.fa	15.24	6.71	1-131567-2759-2698737-33630-5794-1280412-5796-75739-423054
bin.136.fa	4.85	1.94	1-131567-2759-2698737-33630-2864-89954-252141
bin.382.fa	13.11	1.71	1-131567-2759-2698737-33634-2696291-2836-33849-33850-33851-33852-2857
bin.362.fa	1.24	0.0	1-131567-2759-2698737-33634-2696291-33859-420622-420617-2991
bin.281.fa	0.0	0.0	1-131567-2759-554915-2605435-142796-33083-2058949-2058186
bin.358.fa	0.0	0.0	1-131567-2759-2698737-33634-2696291-569578
bin.25.fa	0.39	0.39	1-131567-2759-2698737-33634-2696291-569578
bin.133.fa	7.89	0.0	1-131567-2759-2698737-33634-2696291-2825-96792-98651-89043
bin.313.fa	39.1	0.38	1-131567-2759-33154-4751-451864-4890-716545-147538-716546-147545-451870-34395-43219
bin.51.fa	0.0	0.0	1-131567-2759-2698737-33634-2696291-569578-2870-2877-66220
bin.324.fa	7.89	0.0	1-131567-2759-2698737-33634-2696291-2825-96792-98651
bin.257.fa	0.0	0.0	1-131567-2759-554915-2605435-142796-33680-137627-5789-1115744
bin.3.fa	0.0	0.0	1-131567-2759-2698737-33634-2696291-569578-2870-2886-2887
bin.1.fa	87.8	6.4	1-131567-2759-33090-3041-2692248-75966-2507901-2507902-13786
bin.91.fa	18.42	0.0	1-131567-2759-2698737-33634-2683628-35131-2699528
bin.131.fa	33.46	0.0	1-131567-2759-33154-4751-451864-4890-716545-147538-716546-147545-451870-34395
bin.218.fa	5.31	0.44	1-131567-2759-2698737-543769
bin.132.fa	0.0	0.0	1-131567-2759-2698737-33630-5878-431838-33829-194286-486728-311384
bin.58.fa	0.0	0.0	1-131567-2759-2698737-33630-5878-431838-33829-194286-486728-311384
bin.378.fa	95.49	1.5	1-131567-2759-33154-4751-451864-4890-716545-147538-716546-147547-1520881-388435-5197-157822-78060
bin.289.fa	0.0	0.0	1-131567-2759-2698737-33630-5878-431838-33829-194286-486728-311384
bin.46.fa	84.6	4.6	1-131567-2759-33090-3041-2692248-75966-2507901-2507902-13786
bin.95.fa	14.6	4.2	1-131567-2759-2698737-33634-2696291-5747-425074-425072
bin.109.fa	3.6	0.6	1-131567-2759-2611341-5719-37104-181550
bin.199.fa	0.0	0.0	1-131567-2759-2698737-33630-5878-431838-33829-194286-486728-311384
bin.319.fa	10.84	0.0	1-131567-2759-2698737-33634-2696291-2825-96792-704141-64705
bin.92.fa	9.64	0.0	1-131567-2759-2698737-33630-5878-431838-33829-141411-200604-211026
bin.305.fa	2.63	0.0	1-131567-2759-33154-4751-451864-4890-716545-147538-716546-147545-451870
bin.180.fa	0.0	0.0	1-131567-2759-2698737-33630-5878-431838-33829-194286-486728-311384
bin.90.fa	13.92	1.27	1-131567-2759-2698737-33634-46625-2795716
bin.335.fa	79.7	0.0	1-131567-2759-33154-4751-451864-4890-716545-147538-716546-147547-1520881-388435-5197-157822-78060
bin.384.fa	45.0	0.0	1-131567-2759-33090-3041-2692248-75966
bin.76.fa	86.84	1.88	1-131567-2759-33154-4751-451864-4890-716545-147538-716546-147545-451870-34395
bin.213.fa	7.23	1.2	1-131567-2759-2698737-33630-5878-431838-33829-141411-200604-211026
bin.292.fa	3.92	0.0	1-131567-2759-33154-4751-451864-4890-716545-147538-716546-715989-147550-222543-5125-5129
bin.206.fa	2.41	0.0	1-131567-2759-2698737-33634-2696291-2825-96792-98651
bin.83.fa	13.2	3.2	1-131567-2759-2698737-33634-2696291-5747-425074-425072
bin.311.fa	46.81	0.0	1-131567-2759-33090-3041-2692248-75966-75981-2511081-1034479
