Orthogroup	GTX0493.bin.23.proteins	Other
OG0000099	GTX0493b23_006956-T1, GTX0493b23_004460-T1, GTX0493b23_006955-T1	jgi|Chleu1|453|rna-CEUSTIGMA_g2409.t1
OG0000149	GTX0493b23_007707-T1, GTX0493b23_008076-T1, GTX0493b23_005831-T1, GTX0493b23_009373-T1, GTX0493b23_005854-T1	jgi|Chleu1|8007|rna-CEUSTIGMA_g6397.t1, jgi|Chleu1|8008|rna-CEUSTIGMA_g6398.t1
OG0000405	GTX0493b23_004277-T1	jgi|Chleu1|5051|rna-CEUSTIGMA_g4343.t1
OG0000416	GTX0493b23_010599-T1	jgi|Botrbrau1|4789|Bobra.0325s0011.1
OG0000445	GTX0493b23_007783-T1	jgi|Ulvmu1|3115|UM015_0155.1
OG0000445	GTX0493b23_007783-T1	jgi|ChlNC64A_1|144233|IGS.gm_7_00175, jgi|ChlNC64A_1|140767|IGS.gm_3_00506
OG0000445	GTX0493b23_007783-T1	jgi|Chloso1228_1|2740|CSI_122800008330-RA, jgi|Chloso1228_1|10820|CSI_122800004637-RA, jgi|Chloso1228_1|10971|CSI_122800004788-RA, jgi|Chloso1228_1|9506|CSI_122800003364-RA
OG0000445	GTX0493b23_007783-T1	jgi|Volca2_1|14203|Vocar.0007s0032.1
OG0000445	GTX0493b23_007783-T1	jgi|Chleu1|12681|rna-CEUSTIGMA_g2091.t1
OG0000445	GTX0493b23_007783-T1	jgi|Auxeprot1|3508|XM_011402739.1, jgi|Auxeprot1|3507|XM_011402738.1
OG0000445	GTX0493b23_007783-T1	jgi|Batpra1|4131|XM_007514580.1
OG0000445	GTX0493b23_007783-T1	jgi|Coc_C169_1|46287|estExt_fgenesh1_pg.C_20482
OG0000445	GTX0493b23_007783-T1	jgi|Astpho2|4204|Aster-05168
OG0000445	GTX0493b23_007783-T1	jgi|TrebA12_1|12947|rna-gnl|WGS_VXIU|FRX49_12383-mRNA-1_mrna_FRX49_12383
OG0000488	GTX0493b23_007863-T1	jgi|Ulvmu1|4999|UM021_0016.1
OG0000488	GTX0493b23_007863-T1	jgi|Chleu1|1601|rna-CEUSTIGMA_g2806.t1
OG0000488	GTX0493b23_007863-T1	jgi|Volca2_1|3738|Vocar.0015s0181.1
OG0000488	GTX0493b23_007863-T1	jgi|Botrbrau1|20449|Bobra.145_2s0013.1
OG0000488	GTX0493b23_007863-T1	jgi|Auxeprot1|2175|XM_011397147.1
OG0000488	GTX0493b23_007863-T1	jgi|Chloso1228_1|7330|CSI_122800011618-RA
OG0000488	GTX0493b23_007863-T1	jgi|ChlNC64A_1|56093|estExt_fgenesh3_pm.C_60008
OG0000488	GTX0493b23_007863-T1	jgi|Astpho2|3221|Aster-05745
OG0000488	GTX0493b23_007863-T1	jgi|TrebA12_1|13331|rna-gnl|WGS_VXIU|FRX49_03816-mRNA-1_mrna_FRX49_03816
OG0000488	GTX0493b23_007863-T1	jgi|Coc_C169_1|47382|estExt_fgenesh1_pg.C_70229
OG0000488	GTX0493b23_007863-T1	jgi|ChlNC64A_1|17930|gw1.6.419.1
OG0000488	GTX0493b23_007863-T1	coassemb195_004487-T1
OG0000488	GTX0493b23_007863-T1	jgi|ChlNC64A_1|17930|gw1.6.419.1
OG0000488	GTX0493b23_007863-T1	GTX0465b1_000864-T1
OG0000511	GTX0493b23_010649-T1, GTX0493b23_008773-T1	GTX0465b1_009932-T1
OG0000549	GTX0493b23_002210-T1	jgi|Chloso1228_1|7560|CSI_122800001903-RA
OG0000549	GTX0493b23_002210-T1	jgi|ChlNC64A_1|145396|IGS.gm_9_00203
OG0000597	GTX0493b23_007402-T1	jgi|ChlNC64A_1|135455|IGS.gm_133_00001
OG0000637	GTX0493b23_006978-T1	jgi|Auxeprot1|4879|XM_011403963.1
OG0000743	GTX0493b23_012273-T1	jgi|Volca2_1|4632|Vocar.0018s0036.1
OG0000743	GTX0493b23_012273-T1	jgi|Chleu1|6214|rna-CEUSTIGMA_g5113.t1
OG0000743	GTX0493b23_012273-T1	jgi|Ulvmu1|2660|UM014_0116.1
