bin	completeness	contamination	ncbi_lng
bin.22.fa	3.73	0.0	1-131567-2759-2698737-33634-2696291-33859-420622-420617-2991
bin.66.fa	0.53	0.0	1-131567-2759-2698737-33630-5878-431838-33829-5934-33831-100127
bin.31.fa	15.79	0.0	1-131567-2759-2698737-33634-2683628-35131-2699528-33674
bin.12.fa	87.22	3.76	1-131567-2759-33154-4751-451864-4890-716545-147538-716546-147545-451870
bin.64.fa	69.0	21.8	1-131567-2759-33090-3041-2692248-75966-2507901-2507902-13786
bin.55.fa	6.6	0.2	1-131567-2759-2611352-5752-2601529-2601530-5765
bin.25.fa	0.38	0.0	1-131567-2759-33154-4751-451864-4890-716545-147538-716546-147547-1520881-388435-5197-157822-78060
bin.100.fa	95.86	0.0	1-131567-2759-33154-4751-451864-4890-716545-147538-716546
bin.30.fa	21.4	7.8	1-131567-2759-554915-555280-1485168-555407-33677
bin.46.fa	91.35	0.75	1-131567-2759-33154-4751-451864-4890-716545-147538-716546-147547-1520881-388435-5197-157822-78060
bin.21.fa	0.0	0.0	1-131567-2759-2698737-33630-5878-431838-33829-194286-486728-311384
bin.48.fa	15.79	0.0	1-131567-2759-2698737-33634-2683628-35131-2699528
bin.96.fa	0.0	0.0	1-131567-2759-2698737-33630-5878-431838-33829-194286-486728-311384
bin.90.fa	4.35	0.62	1-131567-2759-2698737-33634-2696291-33859-420622-420617-2991
bin.83.fa	0.0	0.0	1-131567-2759-2698737-33630-5878-431838-33829-194286-486728-311384
bin.49.fa	4.35	0.93	1-131567-2759-2698737-33634-2696291-33859-420622-420617-2991
bin.79.fa	10.2	0.6	1-131567-2759-554915-2605435-2605334-435411-435418
bin.47.fa	10.68	2.91	1-131567-2759-2698737-33630-2864-89954
