Species Tree Node	Duplications (all)	Duplications (50% support)
Chabra1_GeneCatalog_proteins_20200807.aa	23608	23608
N1	1489	121
Chleu1_GeneCatalog_proteins_20200804.aa	2650	2650
Astpho2_GeneCatalog_proteins_20111209.aa	1137	1137
N0	1002	319
N14	1754	785
N2	2395	154
N7	685	97
N15	844	306
GTX0468.bin.53.proteins	582	582
Chlorella_NC64A.best_proteins	927	927
Botrbrau1_GeneCatalog_proteins_20200805.aa	7217	7217
Chloso1228_1_GeneCatalog_proteins_20200805.aa	1828	1828
N10	360	87
N13	1344	393
N5	259	259
Coccomyxa_C169_v2_filtered_proteins	838	838
GTX0493.bin.23.proteins	259	259
TrebA12_1_GeneCatalog_proteins_20200804.aa	884	884
N6	126	79
Auxeprot1_GeneCatalog_proteins_20170909.aa	268	268
N8	510	510
Volca2_1_GeneCatalog_proteins_20200117.aa	1632	1632
N9	123	123
Ulvmu1_GeneCatalog_proteins_20200803.aa	2435	2435
Batpra1_GeneCatalog_proteins_20180426.aa	765	765
N16	282	282
N4	762	40
coassembly.bin.195.proteins	333	333
GTX0465.bin.1.proteins	349	349
N11	49	3
N12	52	8
N3	43	18
trebus_BUSCO_proteins	11	11
trebgel_BUSCO_proteins	35	35
