genome,completeness,contamination,location,length,N50
GTX0465.bin.1.fa,89.4,4.4,analysis_and_temp_files/03_assembly/all_mags/GTX0465.bin.1.fa,59369835,53632
GTX0465.bin.21.fa,92.86,0.38,analysis_and_temp_files/03_assembly/all_mags/GTX0465.bin.21.fa,21448810,35481
GTX0466.bin.15.fa,99.62,0.0,analysis_and_temp_files/03_assembly/all_mags/GTX0466.bin.15.fa,27330910,508503
GTX0466.bin.29.fa,84.6,5.0,analysis_and_temp_files/03_assembly/all_mags/GTX0466.bin.29.fa,57637508,11164
GTX0466.bin.35.fa,92.48,0.75,analysis_and_temp_files/03_assembly/all_mags/GTX0466.bin.35.fa,21984485,35217
GTX0466.bin.21.fa,64.4,2.0,analysis_and_temp_files/03_assembly/all_mags/GTX0466.bin.21.fa,43165405,42405
GTX0466.merged.0.fa,91.2,4.8,analysis_and_temp_files/03_assembly/all_mags/GTX0466.merged.0.fa,59848596,49452
GTX0484.bin.40.fa,88.35,0.38,analysis_and_temp_files/03_assembly/all_mags/GTX0484.bin.40.fa,20180701,25299
GTX0468.bin.24.fa,97.37,0.38,analysis_and_temp_files/03_assembly/all_mags/GTX0468.bin.24.fa,25851708,207162
GTX0468.bin.53.fa,87.8,4.4,analysis_and_temp_files/03_assembly/all_mags/GTX0468.bin.53.fa,60640980,15495
GTX0486_487.bin.12.fa,87.22,3.76,analysis_and_temp_files/03_assembly/all_mags/GTX0486_487.bin.12.fa,24644408,9695
GTX0486_487.bin.100.fa,95.86,0.0,analysis_and_temp_files/03_assembly/all_mags/GTX0486_487.bin.100.fa,24299713,38965
GTX0486_487.bin.46.fa,91.35,0.75,analysis_and_temp_files/03_assembly/all_mags/GTX0486_487.bin.46.fa,20777064,29374
GTX0481.bin.18.fa,92.48,1.13,analysis_and_temp_files/03_assembly/all_mags/GTX0481.bin.18.fa,21493487,26143
GTX0481.bin.1.fa,94.36,1.5,analysis_and_temp_files/03_assembly/all_mags/GTX0481.bin.1.fa,29852520,13535
GTX0493.bin.23.fa,87.0,4.2,analysis_and_temp_files/03_assembly/all_mags/GTX0493.bin.23.fa,55592226,14283
GTX0493.bin.28.fa,95.86,0.75,analysis_and_temp_files/03_assembly/all_mags/GTX0493.bin.28.fa,24719443,152225
GTX0494.bin.15.fa,87.6,4.6,analysis_and_temp_files/03_assembly/all_mags/GTX0494.bin.15.fa,58857211,23916
GTX0494.bin.19.fa,98.5,0.38,analysis_and_temp_files/03_assembly/all_mags/GTX0494.bin.19.fa,25611674,96876
coassembly.bin.195.fa,83.0,3.0,analysis_and_temp_files/03_assembly/all_mags/coassembly.bin.195.fa,56966617,14713
coassembly.bin.321.fa,86.0,5.0,analysis_and_temp_files/03_assembly/all_mags/coassembly.bin.321.fa,60246696,21155
coassembly.bin.64.fa,60.9,0.38,analysis_and_temp_files/03_assembly/all_mags/coassembly.bin.64.fa,22353331,5507
coassembly.bin.1.fa,87.8,6.4,analysis_and_temp_files/03_assembly/all_mags/coassembly.bin.1.fa,59833070,23985
coassembly.bin.378.fa,95.49,1.5,analysis_and_temp_files/03_assembly/all_mags/coassembly.bin.378.fa,33057185,11867
coassembly.bin.46.fa,84.6,4.6,analysis_and_temp_files/03_assembly/all_mags/coassembly.bin.46.fa,55253575,26394
coassembly.bin.335.fa,79.7,0.0,analysis_and_temp_files/03_assembly/all_mags/coassembly.bin.335.fa,17486084,19201
coassembly.bin.76.fa,86.84,1.88,analysis_and_temp_files/03_assembly/all_mags/coassembly.bin.76.fa,25481863,12747
coassembly.bin.376.fa,87.22,0.38,analysis_and_temp_files/03_assembly/all_mags/coassembly.bin.376.fa,23218115,12419
coassembly.bin.10.fa,93.23,0.38,analysis_and_temp_files/03_assembly/all_mags/coassembly.bin.10.fa,23784779,44391
coassembly.bin.142.fa,96.62,0.38,analysis_and_temp_files/03_assembly/all_mags/coassembly.bin.142.fa,26349761,406952
