querry,reference,alignment_length,similarity_errors,ref_coverage,querry_coverage,ani,reference_length,querry_length,alignment_coverage,primary_cluster
bin.195.fa,bin.195.fa,56961309,0,0.99990684,0.99990684,1.0,56966617,56966617,0.9999068226220982,1
bin.195.fa,bin.321.fa,17651615,2503963,0.29298893,0.30985892,0.8581454,60246696,56966617,0.30985893018713045,1
bin.195.fa,bin.1.fa,14764566,2054972,0.24676263,0.25917926,0.8608173,59833070,56966617,0.2591792663411977,1
bin.195.fa,bin.46.fa,16919406,2418096,0.30621377,0.29700562,0.85708153,55253575,56966617,0.30621377892742685,1
bin.321.fa,bin.195.fa,17604719,2497683,0.30903572,0.29221052,0.85812426,56966617,60246696,0.30903571121311274,1
bin.321.fa,bin.321.fa,60242492,0,0.9999302,0.9999302,1.0,60246696,60246696,0.9999302202397954,1
bin.321.fa,bin.1.fa,16813030,2382959,0.28099895,0.27906975,0.8582671,59833070,60246696,0.28099895258591945,1
bin.321.fa,bin.46.fa,33484143,4720512,0.60600865,0.55578387,0.85902244,55253575,60246696,0.6060086247812925,1
bin.1.fa,bin.195.fa,14654795,2044912,0.25725234,0.24492802,0.86046124,56966617,59833070,0.2572523307817278,1
bin.1.fa,bin.321.fa,16685725,2368812,0.27695668,0.2788713,0.8580336,60246696,59833070,0.27887128305467196,1
bin.1.fa,bin.1.fa,59829500,0,0.99994034,0.99994034,1.0,59833070,59833070,0.9999403339992415,1
bin.1.fa,bin.46.fa,16395696,2336447,0.29673547,0.27402398,0.8574963,55253575,59833070,0.2967354782020892,1
bin.46.fa,bin.195.fa,16880417,2412215,0.2963212,0.30550814,0.8570998,56966617,55253575,0.3055081413284118,1
bin.46.fa,bin.321.fa,33465682,4725129,0.55547744,0.6056745,0.8588067,60246696,55253575,0.6056745106538355,1
bin.46.fa,bin.1.fa,16496612,2347598,0.2757106,0.2985619,0.8576921,59833070,55253575,0.2985618939588977,1
bin.46.fa,bin.46.fa,55250453,0,0.9999435,0.9999435,1.0,55253575,55253575,0.9999434968687546,1
bin.142.fa,bin.142.fa,26349630,0,0.99999505,0.99999505,1.0,26349761,26349761,0.9999950284179048,2
bin.76.fa,bin.76.fa,25479195,0,0.9998953,0.9998953,1.0,25481863,25481863,0.9998952980792652,3
bin.335.fa,bin.335.fa,17484833,0,0.9999285,0.9999285,1.0,17486084,17486084,0.9999284573950348,4
bin.378.fa,bin.378.fa,33053427,0,0.99988633,0.99988633,1.0,33057185,33057185,0.9998863182088856,5
bin.64.fa,bin.64.fa,22349037,0,0.9998079,0.9998079,1.0,22353331,22353331,0.9998079033500644,6
bin.10.fa,bin.10.fa,23783820,0,0.9999597,0.9999597,1.0,23784779,23784779,0.9999596800962498,7
bin.376.fa,bin.376.fa,23215769,0,0.99989897,0.99989897,1.0,23218115,23218115,0.9998989582056941,8
