	AOBU01_aa	Acastr1_GeneCatalog_proteins_20160720.aa	Altal1_GeneCatalog_proteins_20141010.aa	Amamu1_GeneCatalog_proteins_20120806.aa	Artol1_GeneCatalog_proteins_20131209.aa	Ascim1_GeneCatalog_proteins_20121221.aa	Aspni_DSM_1_GeneCatalog_proteins_20130526.aa	Aurpu_var_mel1_GeneCatalog_proteins_20130418.aa	CAJPDR01_protein	Capcor1_GeneCatalog_proteins_20160826.aa	Claba1_GeneCatalog_proteins_20160826.aa	Clagr3_GeneCatalog_proteins_20111121.aa	Cocpo1_1_GeneCatalog_proteins_20191103.aa	Dibbae1_GeneCatalog_proteins_20160727.aa	EndpusZ1_GeneCatalog_proteins_20180130.aa	Erypu1_GeneCatalog_proteins_20210223.aa	Exoaq1_GeneCatalog_proteins_20160901.aa	Fonmu1_GeneCatalog_proteins_20160827.aa	Fusgr1_GeneCatalog_proteins_20110524.aa	GTX0466.bin.15.proteins	GTX0486_487.bin.100.proteins	GTX0494.bin.19.proteins	Grascr1_GeneCatalog_proteins_20160731.aa	JALAHW01_protein	JALAIA01_protein	JALAII01_protein	JALAIK01_protein	JALAIP01_protein	JAPDRQ01_protein	JAPETI01_protein	JAPETN01_protein	JAPETP01_protein	JAPETR01_protein	JAPETW01_protein	JAPEUD01_protein	JAPEUF01_protein	Monha1_GeneCatalog_proteins_20131210.aa	Morco1_GeneCatalog_proteins_20140113.aa	Neucr_trp3_1_GeneCatalog_proteins_20140324.aa	Penexp1_GeneCatalog_proteins_20170706.aa	Phach1_GeneCatalog_proteins_20150930.aa	Podan3_GeneCatalog_proteins_20171013.aa	PseVKM4520_1_GeneCatalog_proteins_20210224.aa	SacceM3707_1_GeneCatalog_proteins_20120712.aa	Sclsc1_GeneCatalog_proteins_20110903.aa	Umbpus1_GeneCatalog_proteins_20180130.aa	Xanthoria_parietina_GTX0501.proteins	coassembly.bin.376.proteins	coassembly.bin.378.proteins	coassembly.bin.64.proteins	coassembly.bin.76.proteins
AOBU01_aa	0.0	13.0	79.0	514.0	114.0	107.0	95.0	64.0	60.0	32.0	40.0	45.0	13.0	41.0	36.0	22.0	65.0	36.0	108.0	16.0	29.0	46.0	69.0	40.0	47.0	56.0	51.0	26.0	59.0	14.0	12.0	14.0	22.0	6.0	12.0	12.0	129.0	91.0	47.0	67.0	34.0	83.0	106.0	339.0	42.0	13.0	94.0	19.0	61.0	32.0	40.0
Acastr1_GeneCatalog_proteins_20160720.aa	12.0	0.0	37.0	244.0	42.0	46.0	24.0	12.0	32.0	6.0	17.0	25.0	2.0	11.0	19.0	9.0	31.0	17.0	14.0	8.0	14.0	11.0	34.0	22.0	21.0	18.0	24.0	15.0	9.0	6.0	15.0	15.0	8.0	2.0	8.0	6.0	55.0	56.0	10.0	32.0	2.0	24.0	31.0	194.0	16.0	20.0	25.0	13.0	25.0	22.0	29.0
Altal1_GeneCatalog_proteins_20141010.aa	86.0	43.0	0.0	526.0	120.0	214.0	146.0	118.0	64.0	31.0	91.0	89.0	8.0	69.0	50.0	28.0	108.0	87.0	131.0	51.0	66.0	35.0	94.0	45.0	29.0	55.0	54.0	32.0	81.0	45.0	36.0	34.0	27.0	12.0	10.0	10.0	148.0	136.0	44.0	98.0	16.0	98.0	119.0	376.0	56.0	12.0	84.0	46.0	107.0	50.0	99.0
Amamu1_GeneCatalog_proteins_20120806.aa	441.0	269.0	500.0	0.0	329.0	334.0	499.0	385.0	345.0	299.0	512.0	368.0	158.0	357.0	274.0	115.0	494.0	461.0	551.0	336.0	221.0	286.0	484.0	245.0	275.0	325.0	291.0	180.0	397.0	175.0	244.0	241.0	239.0	83.0	207.0	119.0	357.0	312.0	249.0	537.0	285.0	360.0	418.0	339.0	379.0	221.0	386.0	275.0	459.0	355.0	393.0
Artol1_GeneCatalog_proteins_20131209.aa	118.0	56.0	156.0	332.0	0.0	168.0	151.0	116.0	96.0	66.0	93.0	94.0	27.0	99.0	85.0	46.0	119.0	85.0	143.0	63.0	50.0	78.0	113.0	56.0	87.0	107.0	98.0	34.0	123.0	29.0	38.0	25.0	58.0	17.0	31.0	20.0	98.0	118.0	49.0	116.0	43.0	103.0	151.0	165.0	78.0	43.0	122.0	59.0	122.0	80.0	112.0
Ascim1_GeneCatalog_proteins_20121221.aa	141.0	52.0	235.0	367.0	214.0	0.0	144.0	153.0	119.0	72.0	121.0	127.0	38.0	135.0	130.0	24.0	144.0	106.0	217.0	91.0	38.0	102.0	121.0	70.0	85.0	109.0	86.0	59.0	143.0	51.0	52.0	29.0	53.0	23.0	49.0	15.0	203.0	205.0	88.0	132.0	44.0	185.0	191.0	144.0	171.0	43.0	119.0	127.0	234.0	59.0	121.0
Aspni_DSM_1_GeneCatalog_proteins_20130526.aa	98.0	21.0	146.0	565.0	168.0	155.0	0.0	121.0	86.0	42.0	129.0	61.0	33.0	75.0	61.0	32.0	172.0	120.0	174.0	57.0	30.0	38.0	120.0	48.0	37.0	59.0	68.0	43.0	90.0	27.0	20.0	19.0	33.0	21.0	31.0	21.0	179.0	153.0	26.0	115.0	31.0	78.0	215.0	417.0	69.0	37.0	80.0	40.0	91.0	96.0	84.0
Aurpu_var_mel1_GeneCatalog_proteins_20130418.aa	58.0	13.0	138.0	352.0	88.0	123.0	103.0	0.0	60.0	30.0	90.0	24.0	16.0	43.0	33.0	18.0	92.0	74.0	105.0	55.0	20.0	27.0	68.0	26.0	35.0	37.0	43.0	21.0	71.0	27.0	18.0	34.0	25.0	14.0	20.0	16.0	111.0	87.0	29.0	102.0	15.0	58.0	114.0	289.0	49.0	14.0	51.0	19.0	94.0	34.0	50.0
CAJPDR01_protein	53.0	39.0	78.0	335.0	87.0	119.0	86.0	64.0	0.0	12.0	53.0	85.0	23.0	102.0	60.0	8.0	55.0	64.0	87.0	33.0	57.0	84.0	145.0	64.0	62.0	130.0	103.0	39.0	41.0	23.0	67.0	42.0	39.0	7.0	31.0	14.0	111.0	94.0	24.0	93.0	12.0	61.0	132.0	211.0	36.0	42.0	127.0	73.0	72.0	34.0	50.0
Capcor1_GeneCatalog_proteins_20160826.aa	26.0	7.0	23.0	320.0	66.0	56.0	36.0	32.0	14.0	0.0	12.0	26.0	6.0	12.0	16.0	17.0	14.0	18.0	39.0	16.0	20.0	24.0	26.0	11.0	20.0	22.0	30.0	19.0	10.0	6.0	16.0	13.0	13.0	2.0	4.0	8.0	87.0	51.0	23.0	45.0	15.0	32.0	56.0	293.0	12.0	13.0	32.0	9.0	12.0	10.0	12.0
