From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
A0A139HMR0	A0A139HMR0	unreviewed	A0A139HMR0_9PEZI	Uncharacterized protein	AC578_756	Pseudocercospora eumusae	393
M3CZZ1	M3CZZ1	unreviewed	M3CZZ1_SPHMS	Uncharacterized protein	SEPMUDRAFT_119549	Sphaerulina musiva (strain SO2202) (Poplar stem canker fungus) (Septoria musiva)	369
S8A6L4	S8A6L4	unreviewed	S8A6L4_DACHA	Uncharacterized protein	H072_7764	Dactylellina haptotyla (strain CBS 200.50) (Nematode-trapping fungus) (Monacrosporium haptotylum)	317
A0A4U0Y0X0	A0A4U0Y0X0	unreviewed	A0A4U0Y0X0_9PEZI	SnoaL-like domain-containing protein	B0A49_00463	Cryomyces minteri	277
A0A5M8PLB0	A0A5M8PLB0	unreviewed	A0A5M8PLB0_9LECA	Uncharacterized protein	FRX48_06280	Lasallia pustulata	172
A0A175YGK6	A0A175YGK6	unreviewed	A0A175YGK6_DAUCS	Protein kinase domain-containing protein	DCAR_029809	Daucus carota subsp. sativus (Carrot)	572
A0A2I0BHH5	A0A2I0BHH5	unreviewed	A0A2I0BHH5_9ASPA	Cysteine-rich repeat secretory protein 55	CRRSP55 AXF42_Ash004716	Apostasia shenzhenica	261
M4EKT3	M4EKT3	unreviewed	M4EKT3_BRACM	Gnk2-homologous domain-containing protein	BRAA02T09014Z	Brassica campestris (Field mustard)	246
G5FKH8	G5FKH8		G5FKH8_9CLOT	deleted			
A0A3A2ZMW6	A0A3A2ZMW6	unreviewed	A0A3A2ZMW6_9EURO	Ecp2 effector protein domain-containing protein	PHISCL_03304	Aspergillus sclerotialis	147
N1PQS9	N1PQS9	unreviewed	N1PQS9_DOTSN	Ecp2 effector protein domain-containing protein	DOTSEDRAFT_23731	Dothistroma septosporum (strain NZE10 / CBS 128990) (Red band needle blight fungus) (Mycosphaerella pini)	132
A0A6A6TY75	A0A6A6TY75	unreviewed	A0A6A6TY75_9PEZI	Ecp2 effector protein domain-containing protein	BT63DRAFT_465142	Microthyrium microscopicum	185
A0A2J6R733	A0A2J6R733	unreviewed	A0A2J6R733_HYAVF	Ecp2 effector protein domain-containing protein	L207DRAFT_588908	Hyaloscypha variabilis (strain UAMH 11265 / GT02V1 / F) (Meliniomyces variabilis)	178
A0A2T2P1Y4	A0A2T2P1Y4	unreviewed	A0A2T2P1Y4_CORCC	Ecp2 effector protein domain-containing protein	BS50DRAFT_284313	Corynespora cassiicola Philippines	178
A0A093YD50	A0A093YD50	unreviewed	A0A093YD50_9PEZI	FAD-binding PCMH-type domain-containing protein	O988_01784	Pseudogymnoascus sp. VKM F-3808	747
A0A072Q3X7	A0A072Q3X7	unreviewed	A0A072Q3X7_9EURO	FAD-binding PCMH-type domain-containing protein	A1O9_00588	Exophiala aquamarina CBS 119918	632
A0A3D8QNJ6	A0A3D8QNJ6	unreviewed	A0A3D8QNJ6_9HELO	FAD-binding PCMH-type domain-containing protein	BP6252_10803	Coleophoma cylindrospora	591
A0A369HHK8	A0A369HHK8	unreviewed	A0A369HHK8_9HYPO	FAD-binding PCMH-type domain-containing protein	CP533_5266	Ophiocordyceps camponoti-saundersi (nom. inval.)	1046
A0A1S1W061	A0A1S1W061		A0A1S1W061_9PEZI	deleted			
M3AVB5	M3AVB5	unreviewed	M3AVB5_PSEFD	Carbohydrate esterase family 16 protein	MYCFIDRAFT_81480	Pseudocercospora fijiensis (strain CIRAD86) (Black leaf streak disease fungus) (Mycosphaerella fijiensis)	304
A0A3M7B1B8	A0A3M7B1B8	unreviewed	A0A3M7B1B8_HORWE	Carbohydrate esterase family 16 protein	D0866_05872	Hortaea werneckii	392
A0A3M7DPE9	A0A3M7DPE9	unreviewed	A0A3M7DPE9_HORWE	Carbohydrate esterase family 16 protein	D0863_08717	Hortaea werneckii	366
A0A6A6S4D4	A0A6A6S4D4	unreviewed	A0A6A6S4D4_9PLEO	Carbohydrate esterase family 16 protein	P280DRAFT_395984	Massarina eburnea CBS 473.64	321
A0A6A6UPI4	A0A6A6UPI4	unreviewed	A0A6A6UPI4_9PEZI	Carbohydrate esterase family 16 protein	BT63DRAFT_449181	Microthyrium microscopicum	337
U7PMK7	U7PMK7	unreviewed	U7PMK7_SPOS1	LysM domain-containing protein	HMPREF1624_07702	Sporothrix schenckii (strain ATCC 58251 / de Perez 2211183) (Rose-picker's disease fungus)	678
A0A0C2IKZ1	A0A0C2IKZ1	unreviewed	A0A0C2IKZ1_9PEZI	LysM domain-containing protein	SPBR_06967	Sporothrix brasiliensis 5110	606
