# Identifier	Cytoplasmic effector	Apoplastic effector	Non-effector	Prediction
FUN_000001-T1 FUN_000001	-	-	Y (0.987)	Non-effector
FUN_000002-T1 FUN_000002	-	-	Y (0.776)	Non-effector
FUN_000003-T1 FUN_000003	-	-	Y (0.549)	Non-effector
FUN_000004-T1 FUN_000004	-	-	Y (0.609)	Non-effector
FUN_000005-T1 FUN_000005	Y (0.662)	-	-	Cytoplasmic effector
FUN_000006-T1 FUN_000006	Y (0.83)	-	-	Cytoplasmic effector
FUN_000007-T1 FUN_000007	Y (0.591)	-	-	Cytoplasmic effector
FUN_000007-T2 FUN_000007	Y (0.632)	-	-	Cytoplasmic effector
FUN_000008-T1 FUN_000008	Y (0.859)	-	-	Cytoplasmic effector
FUN_000009-T1 FUN_000009	-	-	Y (0.981)	Non-effector
FUN_000010-T1 FUN_000010	Y (0.733)	-	-	Cytoplasmic effector
FUN_000011-T1 FUN_000011	-	-	Y (0.964)	Non-effector
FUN_000012-T1 FUN_000012	-	-	Y (0.962)	Non-effector
FUN_000013-T1 FUN_000013	-	Y (0.695)	-	Apoplastic effector
FUN_000014-T1 FUN_000014	-	-	Y (0.743)	Non-effector
FUN_000015-T1 FUN_000015	-	-	Y (0.593)	Non-effector
FUN_000016-T1 FUN_000016	-	-	Y (0.762)	Non-effector
FUN_000017-T1 FUN_000017	-	-	Y (0.842)	Non-effector
FUN_000018-T1 FUN_000018	-	-	Y (0.757)	Non-effector
FUN_000019-T1 FUN_000019	-	-	Y (0.508)	Non-effector
FUN_000020-T1 FUN_000020	Y (0.767)	-	-	Cytoplasmic effector
FUN_000021-T1 FUN_000021	-	-	Y (0.795)	Non-effector
FUN_000022-T1 FUN_000022	-	-	Y (0.647)	Non-effector
FUN_000023-T1 FUN_000023	-	-	Y (0.951)	Non-effector
FUN_000024-T1 FUN_000024	Y (0.659)	-	-	Cytoplasmic effector
FUN_000025-T1 FUN_000025	-	-	Y (0.546)	Non-effector
FUN_000026-T1 FUN_000026	Y (0.923)	-	-	Cytoplasmic effector
