Orthogroup	Astpho2 Asterochloris glomerata	Auxeprot1 Auxenochlorella protothecoides	Batpra1 Bathycoccus prasinos	Botrbrau1 Botryococcus braunii	Chabra1 Chara braunii	Chleu1 Chlamydomonas eustigma	Chlorella Chlorella variabilis NC64A	Chloso1228 Chlorella sorokiana	Coccomyxa Coccomyxa subellipsoidea	GTX0465.bin.1.proteins GTX0465.bin.1.proteins	GTX0468.bin.53.proteins GTX0468.bin.53.proteins	GTX0493.bin.23.proteins GTX0493.bin.23.proteins	TrebA12 Trebouxia A1-2	Ulvmu1 Ulva mutabilis	Volca2 Volvox carteri	coassembly.bin.195.proteins coassembly.bin.195.proteins	trebgel Trebouxia gelatinosa	trebus Trebouxia sp. TZW2008
OG0002823	jgi|Astpho2|20|e_gw1.00001.31.1_t	jgi|Auxeprot1|283|XM_011397460.1	jgi|Batpra1|1458|XM_007510170.1	jgi|Botrbrau1|101|Bobra.0022s0090.1	jgi|Chabra1|344801|rna-CBR_g44348	jgi|Chleu1|7015|rna-CEUSTIGMA_g931.t1	jgi|ChlNC64A_1|37008|estExt_Genewise1Plus.C_240160	jgi|Chloso1228_1|617|CSI_122800000617-RA	jgi|Coc_C169_1|59165|Genemark1.1127_g	GTX0465b1_005490-T1	GTX0468b53_003600-T1	GTX0493b23_002453-T1	jgi|TrebA12_1|3208|rna-gnl|WGS_VXIU|FRX49_05559-mRNA-1_mrna_FRX49_05559	jgi|Ulvmu1|8012|UM004_0248.1	jgi|Volca2_1|14872|Vocar.0076s0002.1	coassemb195_008786-T1	KN805362.1_2480171-2484637	BDIU01000047.1_192556-198472
OG0002837	jgi|Astpho2|398|Aster-03450	jgi|Auxeprot1|1679|XM_011401339.1	jgi|Batpra1|4421|XM_007513882.1	jgi|Botrbrau1|9524|Bobra.0211s0015.1	jgi|Chabra1|340091|rna-CBR_g33997	jgi|Chleu1|1294|rna-CEUSTIGMA_g11382.t1	jgi|ChlNC64A_1|35128|estExt_Genewise1Plus.C_80206	jgi|Chloso1228_1|3064|CSI_122800007731-RA	jgi|Coc_C169_1|42953|fgenesh1_pg.11_#_161	GTX0465b1_003123-T1	GTX0468b53_001958-T1	GTX0493b23_002460-T1	jgi|TrebA12_1|2494|rna-gnl|WGS_VXIU|FRX49_05118-mRNA-1_mrna_FRX49_05118	jgi|Ulvmu1|4739|UM020_0023.1	jgi|Volca2_1|9052|Vocar.0030s0070.1	coassemb195_006929-T1	KN805361.1_1279044-1284029	BDIU01000280.1_264879-267880
OG0002839	jgi|Astpho2|432|fgenesh1_pm.00011_%23_13_t	jgi|Auxeprot1|5108|XM_011398052.1	jgi|Batpra1|2519|XM_007509030.1	jgi|Botrbrau1|8310|Bobra.0251s0035.1	jgi|Chabra1|356459|rna-CBR_g2812	jgi|Chleu1|9545|rna-CEUSTIGMA_g7593.t1	jgi|ChlNC64A_1|141923|IGS.gm_4_00064	jgi|Chloso1228_1|10544|CSI_122800004378-RA	jgi|Coc_C169_1|65116|estExt_Genemark1.C_40150	GTX0465b1_009419-T1	GTX0468b53_000459-T1	GTX0493b23_000993-T1	jgi|TrebA12_1|9655|rna-gnl|WGS_VXIU|FRX49_01774-mRNA-1_mrna_FRX49_01774	jgi|Ulvmu1|10273|UM060_0075.1	jgi|Volca2_1|9323|Vocar.0031s0112.1	coassemb195_004658-T1	KN805367.1_2554746-2556537	BDIU01000182.1_170667-173131
OG0002841	jgi|Astpho2|452|Aster-03498	jgi|Auxeprot1|3337|XM_011397715.1	jgi|Batpra1|1691|XM_007509658.1	jgi|Botrbrau1|12466|Bobra.0169s0013.1	jgi|Chabra1|332955|rna-CBR_g22269	jgi|Chleu1|9871|rna-CEUSTIGMA_g1452.t1	jgi|ChlNC64A_1|20512|e_gw1.4.96.1	jgi|Chloso1228_1|11679|CSI_122800006044-RA	jgi|Coc_C169_1|52915|estExt_fgenesh1_pm.C_40264	GTX0465b1_001037-T1	GTX0468b53_002456-T1	GTX0493b23_005186-T1	jgi|TrebA12_1|9627|rna-gnl|WGS_VXIU|FRX49_01834-mRNA-1_mrna_FRX49_01834	jgi|Ulvmu1|10144|UM006_0098.1	jgi|Volca2_1|13822|Vocar.0006s0465.1	coassemb195_009318-T1	KN805312.1_998915-1003616	BDIU01000201.1_19601-24495
OG0002859	jgi|Astpho2|756|Aster-00617	jgi|Auxeprot1|375|XM_011400100.1	jgi|Batpra1|1817|XM_007509940.1	jgi|Botrbrau1|19971|Bobra.0059s0086.1	jgi|Chabra1|338014|rna-CBR_g34668	jgi|Chleu1|12929|rna-CEUSTIGMA_g9987.t1	jgi|ChlNC64A_1|56683|estExt_fgenesh3_pg.C_20103	jgi|Chloso1228_1|9099|CSI_122800003017-RA	jgi|Coc_C169_1|27996|estExt_Genewise1Plus.C_40524	GTX0465b1_009414-T1	GTX0468b53_011506-T1	GTX0493b23_005971-T1	jgi|TrebA12_1|4856|rna-gnl|WGS_VXIU|FRX49_06728-mRNA-1_mrna_FRX49_06728	jgi|Ulvmu1|10652|UM066_0033.1	jgi|Volca2_1|13854|Vocar.0060s0021.1	coassemb195_004733-T1	KN805368.1_299286-304699	BDIU01000040.1_20368-24363
OG0002860	jgi|Astpho2|799|Aster-00653	jgi|Auxeprot1|4945|XM_011404029.1	jgi|Batpra1|6619|XM_007511843.1	jgi|Botrbrau1|541|Bobra.0010s0016.1	jgi|Chabra1|321156|rna-CBR_g107	jgi|Chleu1|12500|rna-CEUSTIGMA_g9774.t1	jgi|ChlNC64A_1|20573|e_gw1.4.588.1	jgi|Chloso1228_1|10437|CSI_122800004271-RA	jgi|Coc_C169_1|36177|fgenesh1_pm.6_#_25	GTX0465b1_010009-T1	GTX0468b53_010678-T1	GTX0493b23_004505-T1	jgi|TrebA12_1|4902|rna-gnl|WGS_VXIU|FRX49_06725-mRNA-1_mrna_FRX49_06725	jgi|Ulvmu1|158|UM001_0162.1	jgi|Volca2_1|6950|Vocar.0024s0013.1	coassemb195_002991-T1	KN805367.1_5577697-5579499	BDIU01000148.1_82925-84644
OG0002863	jgi|Astpho2|889|e_gw1.00016.240.1_t	jgi|Auxeprot1|3651|XM_011402882.1	jgi|Batpra1|2729|XM_007508733.1	jgi|Botrbrau1|17606|Bobra.0166s0043.1	jgi|Chabra1|323941|rna-CBR_g8584	jgi|Chleu1|10716|rna-CEUSTIGMA_g8416.t1	jgi|ChlNC64A_1|48590|fgenesh3_pm.C_scaffold_4000025	jgi|Chloso1228_1|10212|CSI_122800004046-RA	jgi|Coc_C169_1|24580|estExt_Genewise1.C_110352	GTX0465b1_003831-T1	GTX0468b53_001705-T1	GTX0493b23_003555-T1	jgi|TrebA12_1|11342|rna-gnl|WGS_VXIU|FRX49_01971-mRNA-1_mrna_FRX49_01971	jgi|Ulvmu1|5667|UM024_0014.1	jgi|Volca2_1|5389|Vocar.0002s0175.1	coassemb195_002156-T1	KN805341.1_1404063-1408054	BDIU01000008.1_1516-3087
OG0002874	jgi|Astpho2|1101|e_gw1.00020.22.1_t	jgi|Auxeprot1|6883|XM_011399692.1	jgi|Batpra1|2669|XM_007508837.1	jgi|Botrbrau1|17835|Bobra.0127s0078.1	jgi|Chabra1|333798|rna-CBR_g23447	jgi|Chleu1|7118|rna-CEUSTIGMA_g5652.t1	jgi|ChlNC64A_1|58322|estExt_fgenesh3_pg.C_140192	jgi|Chloso1228_1|6897|CSI_122800010704-RA	jgi|Coc_C169_1|21918|estExt_Genewise1.C_20589	GTX0465b1_004518-T1	GTX0468b53_007250-T1	GTX0493b23_000703-T1	jgi|TrebA12_1|1681|rna-gnl|WGS_VXIU|FRX49_13224-mRNA-1_mrna_FRX49_13224	jgi|Ulvmu1|10242|UM060_0043.1	jgi|Volca2_1|4272|Vocar.0016s0255.1	coassemb195_000219-T1	KN805368.1_6873026-6878077	BDIU01000178.1_31865-35210
OG0002875	jgi|Astpho2|1139|Aster-07686	jgi|Auxeprot1|4245|XM_011403330.1	jgi|Batpra1|1349|XM_007510233.1	jgi|Botrbrau1|12690|Bobra.67_1s0054.1	jgi|Chabra1|328318|rna-CBR_g12802	jgi|Chleu1|3806|rna-CEUSTIGMA_g3804.t1	jgi|ChlNC64A_1|34039|estExt_Genewise1Plus.C_30149	jgi|Chloso1228_1|6956|CSI_122800010763-RA	jgi|Coc_C169_1|32258|fgenesh1_kg.2_#_143_#_2028_1_CBOZ_CBPA	GTX0465b1_002780-T1	GTX0468b53_003775-T1	GTX0493b23_005363-T1	jgi|TrebA12_1|3125|rna-gnl|WGS_VXIU|FRX49_05634-mRNA-1_mrna_FRX49_05634	jgi|Ulvmu1|4781|UM020_0066.1	jgi|Volca2_1|3338|Vocar.0014s0118.1	coassemb195_012186-T1	KN805367.1_1488044-1494214	BDIU01000032.1_269317-273598
OG0002880	jgi|Astpho2|1207|Aster-08174	jgi|Auxeprot1|6054|XM_011398863.1	jgi|Batpra1|1698|XM_007509744.1	jgi|Botrbrau1|17031|Bobra.49_2s0087.1	jgi|Chabra1|337029|rna-CBR_g32357	jgi|Chleu1|12022|rna-CEUSTIGMA_g9295.t1	jgi|ChlNC64A_1|139122|IGS.gm_23_00113	jgi|Chloso1228_1|648|CSI_122800000648-RA	jgi|Coc_C169_1|28713|estExt_Genewise1Plus.C_60401	GTX0465b1_006061-T1	GTX0468b53_000399-T1	GTX0493b23_006512-T1	jgi|TrebA12_1|11790|rna-gnl|WGS_VXIU|FRX49_11759-mRNA-1_mrna_FRX49_11759	jgi|Ulvmu1|4161|UM019_0140.1	jgi|Volca2_1|5563|Vocar.0002s0334.1	coassemb195_010449-T1	KN805368.1_6789549-6795222	BDIU01000381.1_56106-58562
