genome,score,completeness,contamination,strain_heterogeneity,size,N50,cluster,taxonomy,tax_confidence,cluster_members,closest_cluster_member,furthest_cluster_member,completeness_metric,contamination_metric
bin.382.fa,91.83548670117607,NA,NA,NA,NA,NA,1_0,NA,NA,1,NA,NA,NA,NA
bin.40.fa,57.42950948595743,NA,NA,NA,NA,NA,2_0,NA,NA,1,NA,NA,NA,NA
bin.149.fa,91.2579448719422,NA,NA,NA,NA,NA,3_0,NA,NA,1,NA,NA,NA,NA
bin.315.fa,91.7834108324242,NA,NA,NA,NA,NA,4_0,NA,NA,1,NA,NA,NA,NA
bin.217.fa,83.98807961528983,NA,NA,NA,NA,NA,5_0,NA,NA,1,NA,NA,NA,NA
bin.189.fa,63.152906687330244,NA,NA,NA,NA,NA,6_1,NA,NA,1,NA,NA,NA,NA
bin.9.fa,47.31992790735215,NA,NA,NA,NA,NA,6_2,NA,NA,1,NA,NA,NA,NA
bin.352.fa,75.7843942581118,NA,NA,NA,NA,NA,6_3,NA,NA,1,NA,NA,NA,NA
bin.199.fa,79.34747547723263,NA,NA,NA,NA,NA,7_0,NA,NA,1,NA,NA,NA,NA
bin.389.fa,82.69063489004553,NA,NA,NA,NA,NA,8_0,NA,NA,1,NA,NA,NA,NA
bin.28.fa,65.3610288419207,NA,NA,NA,NA,NA,9_0,NA,NA,1,NA,NA,NA,NA
bin.77.fa,90.98644300699002,NA,NA,NA,NA,NA,10_0,NA,NA,1,NA,NA,NA,NA
bin.37.fa,69.23390004543218,NA,NA,NA,NA,NA,11_0,NA,NA,1,NA,NA,NA,NA
bin.180.fa,66.1922581640036,NA,NA,NA,NA,NA,12_0,NA,NA,1,NA,NA,NA,NA
bin.280.fa,86.80148932103825,NA,NA,NA,NA,NA,13_0,NA,NA,1,NA,NA,NA,NA
bin.132.fa,96.14143708927868,NA,NA,NA,NA,NA,14_0,NA,NA,1,NA,NA,NA,NA
bin.266.fa,61.77447286351189,NA,NA,NA,NA,NA,15_0,NA,NA,1,NA,NA,NA,NA
bin.221.fa,69.23095477329407,NA,NA,NA,NA,NA,16_0,NA,NA,1,NA,NA,NA,NA
bin.324.fa,90.47256156460185,NA,NA,NA,NA,NA,17_0,NA,NA,1,NA,NA,NA,NA
bin.224.fa,49.408826118586205,NA,NA,NA,NA,NA,18_0,NA,NA,1,NA,NA,NA,NA
bin.273.fa,97.8074350658838,NA,NA,NA,NA,NA,19_0,NA,NA,1,NA,NA,NA,NA
bin.187.fa,40.13719987126029,NA,NA,NA,NA,NA,20_0,NA,NA,1,NA,NA,NA,NA
bin.210.fa,46.68019237141893,NA,NA,NA,NA,NA,21_0,NA,NA,1,NA,NA,NA,NA
bin.274.fa,48.758003729562766,NA,NA,NA,NA,NA,22_0,NA,NA,1,NA,NA,NA,NA
bin.167.fa,80.79161488236885,NA,NA,NA,NA,NA,23_0,NA,NA,1,NA,NA,NA,NA
bin.257.fa,66.2572654990252,NA,NA,NA,NA,NA,24_0,NA,NA,1,NA,NA,NA,NA
bin.70.fa,61.037545448467206,NA,NA,NA,NA,NA,25_0,NA,NA,1,NA,NA,NA,NA
bin.209.fa,76.84947822023523,NA,NA,NA,NA,NA,26_0,NA,NA,1,NA,NA,NA,NA
bin.214.fa,45.40782654926773,NA,NA,NA,NA,NA,27_0,NA,NA,1,NA,NA,NA,NA
bin.343.fa,67.49671069984052,NA,NA,NA,NA,NA,28_0,NA,NA,1,NA,NA,NA,NA
bin.143.fa,66.98745966356192,NA,NA,NA,NA,NA,29_0,NA,NA,1,NA,NA,NA,NA
bin.222.fa,74.67203302595725,NA,NA,NA,NA,NA,30_0,NA,NA,1,NA,NA,NA,NA
bin.306.fa,78.53416941134975,NA,NA,NA,NA,NA,31_0,NA,NA,1,NA,NA,NA,NA
bin.83.fa,70.8422946928347,NA,NA,NA,NA,NA,32_0,NA,NA,1,NA,NA,NA,NA
bin.226.fa,81.98588153907967,NA,NA,NA,NA,NA,33_0,NA,NA,1,NA,NA,NA,NA
bin.292.fa,45.039441207335365,NA,NA,NA,NA,NA,34_0,NA,NA,1,NA,NA,NA,NA
bin.144.fa,49.34690992292838,NA,NA,NA,NA,NA,35_1,NA,NA,1,NA,NA,NA,NA
bin.290.fa,22.747589565069713,NA,NA,NA,NA,NA,35_2,NA,NA,1,NA,NA,NA,NA
bin.354.fa,57.828454021986026,NA,NA,NA,NA,NA,35_3,NA,NA,1,NA,NA,NA,NA
bin.363.fa,57.94144651664408,NA,NA,NA,NA,NA,35_4,NA,NA,1,NA,NA,NA,NA
bin.73.fa,62.667466983279574,NA,NA,NA,NA,NA,35_5,NA,NA,1,NA,NA,NA,NA
bin.5.fa,84.47767987770459,NA,NA,NA,NA,NA,36_0,NA,NA,1,NA,NA,NA,NA
bin.58.fa,94.46845269556265,NA,NA,NA,NA,NA,37_0,NA,NA,1,NA,NA,NA,NA
bin.275.fa,64.74003400686968,NA,NA,NA,NA,NA,38_0,NA,NA,1,NA,NA,NA,NA
bin.304.fa,58.92875164971461,NA,NA,NA,NA,NA,39_0,NA,NA,1,NA,NA,NA,NA
bin.358.fa,56.0052275122305,NA,NA,NA,NA,NA,40_0,NA,NA,1,NA,NA,NA,NA
bin.118.fa,59.08544905720507,NA,NA,NA,NA,NA,41_0,NA,NA,1,NA,NA,NA,NA
bin.289.fa,95.11399159134471,NA,NA,NA,NA,NA,42_0,NA,NA,1,NA,NA,NA,NA
bin.341.fa,48.78301748130125,NA,NA,NA,NA,NA,43_1,NA,NA,1,NA,NA,NA,NA
bin.54.fa,40.43968281082797,NA,NA,NA,NA,NA,43_2,NA,NA,1,NA,NA,NA,NA
bin.216.fa,94.52404592263784,NA,NA,NA,NA,NA,44_0,NA,NA,1,NA,NA,NA,NA
bin.298.fa,42.045775152513656,NA,NA,NA,NA,NA,45_0,NA,NA,1,NA,NA,NA,NA
bin.145.fa,68.4658063646097,NA,NA,NA,NA,NA,46_0,NA,NA,1,NA,NA,NA,NA
bin.191.fa,39.854541878521815,NA,NA,NA,NA,NA,47_0,NA,NA,1,NA,NA,NA,NA
bin.66.fa,51.19645409748563,NA,NA,NA,NA,NA,48_0,NA,NA,1,NA,NA,NA,NA
bin.112.fa,23.06814495059568,NA,NA,NA,NA,NA,49_0,NA,NA,1,NA,NA,NA,NA
bin.94.fa,73.12102372963069,NA,NA,NA,NA,NA,50_0,NA,NA,1,NA,NA,NA,NA
bin.186.fa,83.64509524023727,NA,NA,NA,NA,NA,51_0,NA,NA,1,NA,NA,NA,NA
bin.377.fa,84.56757606679666,NA,NA,NA,NA,NA,52_0,NA,NA,1,NA,NA,NA,NA
bin.388.fa,67.09895093713412,NA,NA,NA,NA,NA,53_0,NA,NA,1,NA,NA,NA,NA
bin.35.fa,40.208919684109176,NA,NA,NA,NA,NA,54_0,NA,NA,1,NA,NA,NA,NA
bin.129.fa,68.19638985350447,NA,NA,NA,NA,NA,55_1,NA,NA,1,NA,NA,NA,NA
bin.211.fa,77.42073019467526,NA,NA,NA,NA,NA,55_2,NA,NA,1,NA,NA,NA,NA
bin.100.fa,71.77497809097935,NA,NA,NA,NA,NA,56_0,NA,NA,1,NA,NA,NA,NA
bin.11.fa,31.853068512615398,NA,NA,NA,NA,NA,57_0,NA,NA,1,NA,NA,NA,NA
bin.338.fa,81.06914456715037,NA,NA,NA,NA,NA,58_1,NA,NA,1,NA,NA,NA,NA
bin.45.fa,52.55287839998132,NA,NA,NA,NA,NA,58_2,NA,NA,1,NA,NA,NA,NA
bin.176.fa,43.56376448060732,NA,NA,NA,NA,NA,59_0,NA,NA,1,NA,NA,NA,NA
bin.334.fa,101.78171032148607,NA,NA,NA,NA,NA,60_0,NA,NA,1,NA,NA,NA,NA
bin.141.fa,43.51192365514986,NA,NA,NA,NA,NA,61_0,NA,NA,1,NA,NA,NA,NA
bin.148.fa,68.39856409883839,NA,NA,NA,NA,NA,62_0,NA,NA,1,NA,NA,NA,NA
bin.185.fa,24.28050490074852,NA,NA,NA,NA,NA,63_1,NA,NA,1,NA,NA,NA,NA
bin.264.fa,43.78159881503446,NA,NA,NA,NA,NA,63_2,NA,NA,1,NA,NA,NA,NA
bin.33.fa,47.083675284779005,NA,NA,NA,NA,NA,63_3,NA,NA,1,NA,NA,NA,NA
bin.165.fa,77.46183880806501,NA,NA,NA,NA,NA,64_1,NA,NA,1,NA,NA,NA,NA
bin.299.fa,70.70280304152622,NA,NA,NA,NA,NA,64_2,NA,NA,1,NA,NA,NA,NA
bin.80.fa,18.771316961266912,NA,NA,NA,NA,NA,65_0,NA,NA,1,NA,NA,NA,NA
