genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
GTX0465.bin.21.fa,1_1,0.050000000000000044,average,ANImf,1
GTX0466.bin.35.fa,1_1,0.050000000000000044,average,ANImf,1
GTX0468.bin.24.fa,1_1,0.050000000000000044,average,ANImf,1
GTX0481.bin.18.fa,1_1,0.050000000000000044,average,ANImf,1
GTX0484.bin.40.fa,1_1,0.050000000000000044,average,ANImf,1
GTX0486_487.bin.46.fa,1_1,0.050000000000000044,average,ANImf,1
GTX0493.bin.28.fa,1_1,0.050000000000000044,average,ANImf,1
GTX0494.bin.19.fa,1_1,0.050000000000000044,average,ANImf,1
GTX0491.bin.13.fa,1_2,0.050000000000000044,average,ANImf,1
GTX0481.bin.1.fa,2_0,0.050000000000000044,average,ANImf,2
GTX0486_487.bin.12.fa,3_0,0.050000000000000044,average,ANImf,3
GTX0466.bin.15.fa,4_0,0.050000000000000044,average,ANImf,4
GTX0466.bin.12.fa,5_1,0.050000000000000044,average,ANImf,5
GTX0481.bin.6.fa,5_1,0.050000000000000044,average,ANImf,5
GTX0466.bin.19.fa,6_0,0.050000000000000044,average,ANImf,6
GTX0486_487.bin.83.fa,7_0,0.050000000000000044,average,ANImf,7
GTX0466.bin.17.fa,8_0,0.050000000000000044,average,ANImf,8
GTX0468.bin.23.fa,9_1,0.050000000000000044,average,ANImf,9
GTX0468.bin.47.fa,9_2,0.050000000000000044,average,ANImf,9
GTX0484.bin.25.fa,10_0,0.050000000000000044,average,ANImf,10
GTX0466.bin.83.fa,11_0,0.050000000000000044,average,ANImf,11
GTX0468.bin.2.fa,12_0,0.050000000000000044,average,ANImf,12
GTX0486_487.bin.41.fa,13_0,0.050000000000000044,average,ANImf,13
GTX0468.bin.63.fa,14_1,0.050000000000000044,average,ANImf,14
GTX0486_487.bin.31.fa,14_1,0.050000000000000044,average,ANImf,14
GTX0491.bin.9.fa,14_1,0.050000000000000044,average,ANImf,14
GTX0468.bin.15.fa,15_1,0.050000000000000044,average,ANImf,15
GTX0486_487.bin.96.fa,15_1,0.050000000000000044,average,ANImf,15
GTX0486_487.bin.21.fa,16_0,0.050000000000000044,average,ANImf,16
GTX0466.bin.75.fa,17_0,0.050000000000000044,average,ANImf,17
GTX0486_487.bin.66.fa,18_0,0.050000000000000044,average,ANImf,18
GTX0466.bin.31.fa,19_1,0.050000000000000044,average,ANImf,19
GTX0466.bin.56.fa,19_2,0.050000000000000044,average,ANImf,19
GTX0481.bin.9.fa,19_3,0.050000000000000044,average,ANImf,19
GTX0466.bin.32.fa,20_1,0.050000000000000044,average,ANImf,20
GTX0484.bin.13.fa,20_1,0.050000000000000044,average,ANImf,20
GTX0466.bin.39.fa,21_0,0.050000000000000044,average,ANImf,21
GTX0484.bin.18.fa,22_0,0.050000000000000044,average,ANImf,22
GTX0486_487.bin.100.fa,23_0,0.050000000000000044,average,ANImf,23
GTX0493.bin.23.fa,24_1,0.050000000000000044,average,ANImf,24
GTX0494.bin.15.fa,24_1,0.050000000000000044,average,ANImf,24
GTX0466.bin.29.fa,24_2,0.050000000000000044,average,ANImf,24
