Species Tree Node	Duplications (all)	Duplications (50% support)
N1	1324	129
N2	5787	180
N8	1738	2
N24	105	6
EndpusZ1_GeneCatalog_proteins_20180130.aa	396	396
JAPDRQ01_protein	588	588
Aurpu_var_mel1_GeneCatalog_proteins_20130418.aa	649	649
Grascr1_GeneCatalog_proteins_20160731.aa	930	930
Aspni_DSM_1_GeneCatalog_proteins_20130526.aa	774	774
Artol1_GeneCatalog_proteins_20131209.aa	809	809
N4	8034	39
Xanthoria_parietina_GTX0501.proteins	505	505
Umbpus1_GeneCatalog_proteins_20180130.aa	1571	1571
Clagr3_GeneCatalog_proteins_20111121.aa	463	463
PseVKM4520_1_GeneCatalog_proteins_20210224.aa	1131	1131
N12	1326	0
CAJPDR01_protein	646	646
N18	356	0
N32	309	55
Fonmu1_GeneCatalog_proteins_20160827.aa	217	217
Morco1_GeneCatalog_proteins_20140113.aa	1097	1097
N22	282	4
JALAII01_protein	255	255
Altal1_GeneCatalog_proteins_20141010.aa	738	738
Dibbae1_GeneCatalog_proteins_20160727.aa	546	546
N6	607	607
Exoaq1_GeneCatalog_proteins_20160901.aa	480	480
Ascim1_GeneCatalog_proteins_20121221.aa	4741	4741
N45	727	170
Fusgr1_GeneCatalog_proteins_20110524.aa	896	896
Monha1_GeneCatalog_proteins_20131210.aa	774	774
N17	311	3
coassembly.bin.378.proteins	790	790
N29	501	31
Neucr_trp3_1_GeneCatalog_proteins_20140324.aa	471	471
Podan3_GeneCatalog_proteins_20171013.aa	418	418
Penexp1_GeneCatalog_proteins_20170706.aa	565	565
coassembly.bin.64.proteins	233	233
JAPETR01_protein	202	202
coassembly.bin.376.proteins	240	240
N28	219	3
N36	152	50
JALAIP01_protein	146	146
N47	86	16
JAPEUD01_protein	122	122
Acastr1_GeneCatalog_proteins_20160720.aa	126	126
Amamu1_GeneCatalog_proteins_20120806.aa	6755	6755
N41	117	117
N48	73	73
JALAHW01_protein	217	217
N30	239	169
JAPETW01_protein	180	180
JAPEUF01_protein	212	212
Claba1_GeneCatalog_proteins_20160826.aa	249	249
N23	181	181
N39	514	78
N14	72	72
AOBU01_aa	325	325
Cocpo1_1_GeneCatalog_proteins_20191103.aa	114	114
N25	1	1
JALAIK01_protein	104	104
N37	42	14
N31	52	22
JAPETI01_protein	297	297
N40	64	14
N3	47	19
Phach1_GeneCatalog_proteins_20150930.aa	77	77
N7	99	15
N10	79	48
N38	75	10
N43	46	16
N33	708	46
coassembly.bin.76.proteins	288	288
GTX0466.bin.15.proteins	101	101
SacceM3707_1_GeneCatalog_proteins_20120712.aa	838	838
Sclsc1_GeneCatalog_proteins_20110903.aa	840	840
N20	84	8
N42	94	94
Erypu1_GeneCatalog_proteins_20210223.aa	1466	1466
N0	292	76
Capcor1_GeneCatalog_proteins_20160826.aa	100	100
N46	184	184
N49	15	15
N16	14	14
N44	108	108
JAPETN01_protein	194	194
N15	21	21
GTX0486_487.bin.100.proteins	240	240
N9	50	14
N11	18	5
N5	33	33
GTX0494.bin.19.proteins	19	19
JAPETP01_protein	112	112
N19	39	13
JALAIA01_protein	16	16
N35	38	38
N21	8	1
N34	41	41
N13	4	4
N26	4	1
N27	2	2
