genome,cluster,score
bin.382.fa,1_0,91.83548670117607
bin.40.fa,2_0,57.42950948595743
bin.149.fa,3_0,91.2579448719422
bin.315.fa,4_0,91.7834108324242
bin.217.fa,5_0,83.98807961528983
bin.189.fa,6_1,63.152906687330244
bin.9.fa,6_2,47.319927907352145
bin.352.fa,6_3,75.78439425811179
bin.199.fa,7_0,79.34747547723263
bin.389.fa,8_0,82.69063489004553
bin.28.fa,9_0,65.3610288419207
bin.77.fa,10_0,90.98644300699002
bin.37.fa,11_0,69.23390004543218
bin.180.fa,12_0,66.1922581640036
bin.280.fa,13_0,86.80148932103825
bin.132.fa,14_0,96.14143708927868
bin.266.fa,15_0,61.774472863511875
bin.221.fa,16_0,69.23095477329407
bin.324.fa,17_0,90.47256156460183
bin.224.fa,18_0,49.408826118586205
bin.273.fa,19_0,97.8074350658838
bin.187.fa,20_0,40.137199871260286
bin.210.fa,21_0,46.680192371418926
bin.274.fa,22_0,48.758003729562766
bin.167.fa,23_0,80.79161488236885
bin.257.fa,24_0,66.2572654990252
bin.70.fa,25_0,61.037545448467206
bin.209.fa,26_0,76.84947822023524
bin.214.fa,27_0,45.40782654926773
bin.343.fa,28_0,67.49671069984052
bin.143.fa,29_0,66.98745966356192
bin.222.fa,30_0,74.67203302595725
bin.306.fa,31_0,78.53416941134975
bin.83.fa,32_0,70.84229469283471
bin.226.fa,33_0,81.98588153907967
bin.292.fa,34_0,45.03944120733537
bin.144.fa,35_1,49.34690992292838
bin.290.fa,35_2,22.747589565069713
bin.354.fa,35_3,57.82845402198603
bin.363.fa,35_4,57.94144651664408
bin.73.fa,35_5,62.667466983279574
bin.5.fa,36_0,84.4776798777046
bin.58.fa,37_0,94.46845269556263
bin.275.fa,38_0,64.74003400686968
bin.304.fa,39_0,58.92875164971462
bin.358.fa,40_0,56.005227512230505
bin.118.fa,41_0,59.085449057205054
bin.289.fa,42_0,95.11399159134471
bin.341.fa,43_1,48.78301748130125
bin.54.fa,43_2,40.43968281082797
bin.216.fa,44_0,94.52404592263785
bin.298.fa,45_0,42.04577515251366
bin.145.fa,46_0,68.4658063646097
bin.191.fa,47_0,39.85454187852181
bin.66.fa,48_0,51.19645409748563
bin.112.fa,49_0,23.06814495059568
bin.94.fa,50_0,73.1210237296307
bin.186.fa,51_0,83.64509524023727
bin.377.fa,52_0,84.56757606679665
bin.388.fa,53_0,67.09895093713412
bin.35.fa,54_0,40.20891968410918
bin.129.fa,55_1,68.19638985350448
bin.211.fa,55_2,77.42073019467526
bin.100.fa,56_0,71.77497809097935
bin.11.fa,57_0,31.853068512615398
bin.338.fa,58_1,81.06914456715037
bin.45.fa,58_2,52.55287839998132
bin.176.fa,59_0,43.56376448060732
bin.334.fa,60_0,101.78171032148607
bin.141.fa,61_0,43.51192365514986
bin.148.fa,62_0,68.3985640988384
bin.185.fa,63_1,24.280504900748518
bin.264.fa,63_2,43.78159881503446
bin.33.fa,63_3,47.08367528477901
bin.165.fa,64_1,77.46183880806502
bin.299.fa,64_2,70.70280304152622
bin.80.fa,65_0,18.77131696126691
bin.135.fa,66_1,48.47293954164669
bin.175.fa,66_2,89.44433513910434
bin.330.fa,67_0,91.15732190388088
bin.374.fa,68_0,74.67085529283551
bin.223.fa,69_0,66.68631525794702
bin.166.fa,70_1,78.59169478449732
bin.271.fa,70_2,55.50172252451251
bin.86.fa,71_0,73.440429252351
bin.379.fa,72_0,79.58937430812479
bin.174.fa,73_0,42.31017876391133
bin.375.fa,74_0,93.78305721720903
bin.68.fa,75_0,60.246266474217265
bin.287.fa,76_0,65.06386123101775
bin.173.fa,77_0,51.84817819436667
bin.67.fa,78_1,80.33587492719934
bin.92.fa,78_2,82.60654928301815
bin.182.fa,79_0,80.78464900605776
bin.234.fa,80_0,59.66746101571409
bin.357.fa,81_1,67.23364332233889
bin.63.fa,81_2,41.640290403244826
bin.170.fa,82_1,61.80477784211042
bin.256.fa,82_2,74.82547339236716
bin.34.fa,82_3,74.28150033478828
bin.233.fa,83_0,85.57857526063673
bin.53.fa,84_0,84.5550923261493
bin.115.fa,85_0,52.799630535556545
bin.88.fa,86_0,73.33090814702193
bin.319.fa,87_0,67.80518136024772
bin.291.fa,88_0,80.9630199282849
bin.372.fa,89_0,55.180139947316476
bin.91.fa,90_0,77.84770660198471
bin.126.fa,91_1,47.59527523075518
bin.200.fa,91_2,45.3670513278564
bin.380.fa,92_0,70.30845592041301
bin.356.fa,93_1,62.94961218924356
bin.49.fa,93_2,64.77760003848464
bin.24.fa,94_1,62.73912133372895
bin.246.fa,94_2,88.79951974294737
bin.87.fa,94_3,67.02038021316312
bin.107.fa,95_1,60.98584315772121
bin.212.fa,95_2,66.96224790729694
bin.381.fa,95_3,13.562771684978298
bin.385.fa,95_4,57.62879780909378
bin.251.fa,96_0,93.98480056605692
bin.312.fa,97_0,57.6898918900452
bin.265.fa,98_0,64.78048251480416
bin.203.fa,99_0,67.59004342510583
bin.108.fa,100_0,48.21571379352547
bin.204.fa,101_0,63.829090749175734
bin.133.fa,102_0,74.83803682724265
bin.172.fa,103_0,72.92150352091127
bin.160.fa,104_0,17.898198251138314
bin.238.fa,105_0,77.46483715897429
bin.320.fa,106_0,65.8649073478472
bin.114.fa,107_0,69.7014664782776
bin.151.fa,108_0,78.12502574205561
bin.284.fa,109_0,81.26748319203914
