target_id	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq	change	GeneID	Feature	Contig	Start	Stop	Strand	Name	Product	Alias.Synonyms	EC_number	BUSCO	PFAM	InterPro	EggNog	COG	GO.Terms	Secreted	Membrane	Protease	CAZyme	antiSMASH	Notes	ProtID	CAZyme_new	COG_new	EggNog_new	GO.Terms_new	InterPro_new	PFAM_new	Protease_new	Secreted_new	KO
XANPAGTX0501_008359-T2	4.31665966154861e-85	2.08419589310858e-82	7.37829479892112	0.37745107106028	2.35994032244189	13.78529029147	0.00203459527585168	0.110420005180375	1.00016331689962	1.00016331689962	culture	XANPAGTX0501_008359	mRNA	Xp_GTX0501_15	271800	273051	+	NA	hypothetical protein	NA	NA	NA	PF03881	IPR011009 Protein kinase-like domain superfamily;IPR016477 Fructosamine/Ketosamine-3-kinase	ENOG503P2EP	G:(G) Carbohydrate transport and metabolism	NA	NA	NA	NA	NA	NA	NA	XANPAGTX0501_008359_T2_XANPAGTX0501_008359	NA	G:(G) Carbohydrate transport and metabolism	ENOG503NZHR, ENOG503P2EP	NA	IPR011009 Protein kinase-like domain superfamily, IPR016477 Fructosamine/Ketosamine-3-kinase	PF03881	NA	NA	
XANPAGTX0501_001034-T1	8.18369196138335e-10	6.86922896683010e-09	6.18771108524551	1.00755341542067	4.40647662703822	16.5052062154723	0.0802441928627008	7.06090865282266	0.327087229289213	7.06090865282266	culture	XANPAGTX0501_001034	mRNA	Xp_GTX0501_2	475228	476609	+	NA	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	XANPAGTX0501_001034_T1_XANPAGTX0501_001034	NA	NA	NA	NA	NA	NA	NA	NA	
XANPAGTX0501_005123-T1	3.36548899505722e-15	5.33149148218408e-14	6.11447284675416	0.776288372147247	3.41085360517536	13.4804849047143	0.0351378890051669	4.20400769351651	0.625692458667466	4.20400769351651	culture	XANPAGTX0501_005123	mRNA	Xp_GTX0501_8	45588	46919	+	NA	hypothetical protein	NA	NA	NA	NA	IPR002938 FAD-binding domain;IPR036188 FAD/NAD(P)-binding domain superfamily	ENOG503NU4Y	C:(C) Energy production and conversion	GO_function: GO:0071949 - FAD binding [Evidence IEA]	NA	NA	NA	NA	Cluster_1	SMCOG1087:hypothetical protein	XANPAGTX0501_005123_T1_XANPAGTX0501_005123	NA	C:(C) Energy production and conversion	ENOG503NU4Y	GO_function: GO:0071949 - FAD binding [Evidence IEA]	IPR002938 FAD-binding domain, IPR036188 FAD/NAD(P)-binding domain superfamily	NA	NA	NA	
XANPAGTX0501_005122-T1	1.75543288219198e-16	3.1853075419513e-15	5.98899991248374	0.727022742401863	2.85741470561087	12.5965718479423	0.028901848469342	3.68925890552318	0.820427549749457	3.68925890552318	culture	XANPAGTX0501_005122	mRNA	Xp_GTX0501_8	44289	45078	-	NA	hypothetical protein	NA	NA	NA	PF01370;PF13460	IPR016040 NAD(P)-binding domain;IPR036291 NAD(P)-binding domain superfamily	ENOG503P2YS	S:(S) Function unknown	NA	NA	NA	NA	NA	Cluster_1	SMCOG1199:NmrA family protein	XANPAGTX0501_005122_T1_XANPAGTX0501_005122	NA	S:(S) Function unknown	ENOG503P2YS	NA	IPR016040 NAD(P)-binding domain, IPR036291 NAD(P)-binding domain superfamily	PF01370, PF13460	NA	NA	
XANPAGTX0501_005691-T1	8.63801157099319e-34	5.70982848189758e-32	5.85957214535923	0.483603108808909	2.5457121475788	10.2123427113897	0.128273876101154	1.51689444242736	0.933253384007346	1.51689444242736	culture	XANPAGTX0501_005691	mRNA	Xp_GTX0501_8	1501452	1503214	+	NA	hypothetical protein	NA	NA	NA	PF01565	IPR006094 FAD linked oxidase, N-terminal;IPR016166 FAD-binding domain, PCMH-type;IPR036318 FAD-binding, type PCMH-like superfamily	ENOG503NVX6	C:(C) Energy production and conversion	GO_function: GO:0016491 - oxidoreductase activity [Evidence IEA];GO_function: GO:0071949 - FAD binding [Evidence IEA];GO_function: GO:0050660 - flavin adenine dinucleotide binding [Evidence IEA];GO_process: GO:0055114 - oxidation-reduction process [Evidence IEA]	SignalP(1-22,cutsite=ADA-YT,prob=0.5326)	NA	NA	AA7	NA	NA	XANPAGTX0501_005691_T1_XANPAGTX0501_005691	AA7	C:(C) Energy production and conversion	ENOG503NVX6	GO_function: GO:0016491 - oxidoreductase activity [Evidence IEA], GO_function: GO:0050660 - flavin adenine dinucleotide binding [Evidence IEA], GO_function: GO:0071949 - FAD binding [Evidence IEA], GO_process: GO:0055114 - oxidation-reduction process [Evidence IEA]	IPR006094 FAD linked oxidase, N-terminal, IPR016166 FAD-binding domain, PCMH-type, IPR016167 FAD-binding, type PCMH, subdomain 1, IPR016169 FAD-binding, type PCMH, subdomain 2, IPR036318 FAD-binding, type PCMH-like superfamily	PF01565	NA	SignalP(1-15,cutsite=TQG-LN,prob=0.7413), SignalP(1-22,cutsite=ADA-YT,prob=0.5326), SignalP(1-22,cutsite=ADA-YT,prob=0.5497)	
XANPAGTX0501_008357-T1	1.52952852043398e-44	1.76931398118951e-42	5.79413071708135	0.413826783108713	1.8592910063522	8.60444794664543	0.0308751643250342	0.145540897340952	1.17379834289198	1.17379834289198	culture	XANPAGTX0501_008357	mRNA	Xp_GTX0501_15	267448	267900	-	NA	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	XANPAGTX0501_008357_T1_XANPAGTX0501_008357	NA	E:(E) Amino acid transport and metabolism, S:(S) Function unknown	ENOG503NWY3	GO_function: GO:0005515 - protein binding [Evidence IEA], GO_function: GO:0016788 - hydrolase activity, acting on ester bonds [Evidence IEA]	IPR001680 WD40 repeat, IPR007111 NACHT nucleoside triphosphatase, IPR007751 Domain of unknown function DUF676, lipase-like, IPR011044 Quinoprotein amine dehydrogenase, beta chain-like, IPR011047 Quinoprotein alcohol dehydrogenase-like superfamily, IPR012908 GPI inositol-deacylase PGAP1-like, IPR015943 WD40/YVTN repeat-like-containing domain superfamily, IPR027417 P-loop containing nucleoside triphosphate hydrolase, IPR029058 Alpha/Beta hydrolase fold, IPR036322 WD40-repeat-containing domain superfamily	PF05057, PF05729, PF07819	NA	NA	
XANPAGTX0501_005116-T1	2.85973222448803e-16	5.00904201150467e-15	5.71465177275056	0.698689613393571	3.39222782566887	11.5158900996978	0.136407331258458	3.29759625068181	0.632017745224979	3.29759625068181	culture	XANPAGTX0501_005116	mRNA	Xp_GTX0501_8	27020	33864	-	NA	hypothetical protein	NA	NA	NA	PF00501;PF00550;PF00668	IPR000873 AMP-dependent synthetase/ligase domain;IPR001242 Condensation domain;IPR006162 Phosphopantetheine attachment site;IPR009081 Phosphopantetheine binding ACP domain;IPR020845 AMP-binding, conserved site;IPR023213 Chloramphenicol acetyltransferase-like domain superfamily;IPR036736 ACP-like superfamily;IPR042099 ANL, N-terminal domain	ENOG503NWBA	Q:(Q) Secondary metabolites biosynthesis, transport and catabolism	GO_function: GO:0003824 - catalytic activity [Evidence IEA]	NA	NA	NA	NA	Cluster_1	SMCOG1002:AMP-dependent synthetase and ligase	XANPAGTX0501_005116_T1_XANPAGTX0501_005116	NA	Q:(Q) Secondary metabolites biosynthesis, transport and catabolism	ENOG503NWBA	GO_function: GO:0003824 - catalytic activity [Evidence IEA]	IPR000873 AMP-dependent synthetase/ligase domain, IPR001242 Condensation domain, IPR006162 Phosphopantetheine attachment site, IPR009081 Phosphopantetheine binding ACP domain, IPR020845 AMP-binding, conserved site, IPR023213 Chloramphenicol acetyltransferase-like domain superfamily, IPR036736 ACP-like superfamily, IPR042099 ANL, N-terminal domain	PF00501, PF00550, PF00668	NA	NA	K02364
XANPAGTX0501_005121-T1	3.6779389524602e-12	4.23248829710575e-11	5.65229214183532	0.813392410158794	3.32684116570769	12.5142948840297	0.0189592820409238	4.63510525011087	0.654380414939383	4.63510525011087	culture	XANPAGTX0501_005121	mRNA	Xp_GTX0501_8	41850	43493	-	NA	hypothetical protein	NA	NA	NA	PF01494	IPR002938 FAD-binding domain;IPR036188 FAD/NAD(P)-binding domain superfamily	ENOG503NZUQ	C:(C) Energy production and conversion;H:(H) Coenzyme transport and metabolism	GO_function: GO:0071949 - FAD binding [Evidence IEA]	NA	NA	NA	NA	Cluster_1	SMCOG1087:hypothetical protein	XANPAGTX0501_005121_T1_XANPAGTX0501_005121	NA	C:(C) Energy production and conversion, H:(H) Coenzyme transport and metabolism	ENOG503NZUQ	GO_function: GO:0071949 - FAD binding [Evidence IEA]	IPR002938 FAD-binding domain, IPR036188 FAD/NAD(P)-binding domain superfamily	PF01494	NA	NA	
XANPAGTX0501_005118-T1	3.57025066241084e-17	6.96794966714804e-16	5.65173294993098	0.670732085871953	2.53004265535806	11.0765183271729	0.0109172767391793	3.15376659662981	0.938920192554057	3.15376659662981	culture	XANPAGTX0501_005118	mRNA	Xp_GTX0501_8	34977	35848	+	NA	hypothetical protein	NA	NA	NA	NA	NA	ENOG503PYSR	NA	NA	SignalP(1-20,cutsite=VTC-NP,prob=0.6944)	NA	NA	NA	Cluster_1	NA	XANPAGTX0501_005118_T1_XANPAGTX0501_005118	NA	NA	ENOG503PWV2, ENOG503PYSR	NA	NA	NA	NA	SignalP(1-20,cutsite=VTC-NP,prob=0.6944)	
XANPAGTX0501_005174-T1	1.82652931239345e-34	1.2368053667152e-32	5.56151917855451	0.454253190285073	1.60817110022123	9.17041212996259	0.0105426865754237	1.44099441757526	1.25432112228171	1.44099441757526	culture	XANPAGTX0501_005174	mRNA	Xp_GTX0501_8	160895	161872	+	NA	hypothetical protein	NA	NA	NA	PF08325	IPR013536 WLM domain;IPR029071 Ubiquitin-like domain superfamily	ENOG503P00D	D:(D) Cell cycle control, cell division, chromosome partitioning	NA	NA	NA	M80	NA	NA	NA	XANPAGTX0501_005174_T1_XANPAGTX0501_005174	NA	D:(D) Cell cycle control, cell division, chromosome partitioning	ENOG503P00D	NA	IPR013536 WLM domain, IPR029071 Ubiquitin-like domain superfamily	PF08325	M80	NA	
