querry,reference,alignment_length,similarity_errors,ref_coverage,querry_coverage,ani,reference_length,querry_length,alignment_coverage,primary_cluster
bin.382.fa,bin.382.fa,3754993,0,0.99998295,0.99998295,1.0,3755057,3755057,0.9999829563173076,1
bin.40.fa,bin.40.fa,2215602,0,0.9998227,0.9998227,1.0,2215995,2215995,0.9998226530294518,2
bin.149.fa,bin.149.fa,4332951,0,0.9999709,0.9999709,1.0,4333077,4333077,0.9999709213568095,3
bin.315.fa,bin.315.fa,4203263,0,0.9999693,0.9999693,1.0,4203392,4203392,0.9999693104997107,4
bin.217.fa,bin.217.fa,3234713,0,0.9999212,0.9999212,1.0,3234968,3234968,0.9999211738725081,5
bin.189.fa,bin.189.fa,2465813,0,0.9998459,0.9998459,1.0,2466193,2466193,0.9998459163577222,6
bin.189.fa,bin.352.fa,544813,88578,0.16386083,0.22091256,0.83741575,3324852,2466193,0.22091255631655754,6
bin.189.fa,bin.9.fa,2070681,185977,0.49025437,0.8396265,0.9101856,4223687,2466193,0.8396265012511186,6
bin.352.fa,bin.189.fa,542324,88121,0.2199033,0.16311222,0.83751225,2466193,3324852,0.21990330845963799,6
bin.352.fa,bin.352.fa,3324575,0,0.9999167,0.9999167,1.0,3324852,3324852,0.9999166880210006,6
bin.352.fa,bin.9.fa,806942,131180,0.19105156,0.24270013,0.83743566,4223687,3324852,0.2427001262011061,6
bin.9.fa,bin.189.fa,2067935,185881,0.838513,0.48960423,0.91011274,2466193,4223687,0.838513044194027,6
bin.9.fa,bin.352.fa,782365,126506,0.23530822,0.18523271,0.8383031,3324852,4223687,0.2353082182304656,6
bin.9.fa,bin.9.fa,4223375,0,0.99992615,0.99992615,1.0,4223687,4223687,0.9999261308899073,6
bin.199.fa,bin.199.fa,3710787,0,0.9999334,0.9999334,1.0,3711034,3711034,0.9999334417307952,7
bin.389.fa,bin.389.fa,5582733,0,0.99996454,0.99996454,1.0,5582931,5582931,0.9999645347578181,8
bin.28.fa,bin.28.fa,2523534,0,0.999859,0.999859,1.0,2523890,2523890,0.9998589478939256,9
bin.77.fa,bin.77.fa,4031874,0,0.99997866,0.99997866,1.0,4031960,4031960,0.9999786704233177,10
bin.37.fa,bin.37.fa,3203786,0,0.9998137,0.9998137,1.0,3204383,3204383,0.9998136926828035,11
bin.180.fa,bin.180.fa,3390000,0,0.99983364,0.99983364,1.0,3390564,3390564,0.9998336559935161,12
bin.280.fa,bin.280.fa,4781515,0,0.9999534,0.9999534,1.0,4781738,4781738,0.9999533642370201,13
bin.132.fa,bin.132.fa,3710950,0,0.9999865,0.9999865,1.0,3711000,3711000,0.9999865265427108,14
bin.266.fa,bin.266.fa,1943072,0,0.9998225,0.9998225,1.0,1943417,1943417,0.9998224776257488,15
bin.221.fa,bin.221.fa,5280332,0,0.99992347,0.99992347,1.0,5280736,5280736,0.9999234955127467,16
bin.324.fa,bin.324.fa,5693062,0,0.99991745,0.99991745,1.0,5693532,5693532,0.9999174501873354,17
bin.224.fa,bin.224.fa,6021573,0,0.99994355,0.99994355,1.0,6021913,6021913,0.9999435395363566,18
bin.273.fa,bin.273.fa,6156031,0,0.99997824,0.99997824,1.0,6156165,6156165,0.9999782332020015,19
bin.187.fa,bin.187.fa,2786161,0,0.99980265,0.99980265,1.0,2786711,2786711,0.9998026347188496,20
bin.210.fa,bin.210.fa,4854888,0,0.9999829,0.9999829,1.0,4854971,4854971,0.9999829041203335,21
bin.274.fa,bin.274.fa,3192744,0,0.99983436,0.99983436,1.0,3193273,3193273,0.9998343392500422,22
bin.167.fa,bin.167.fa,4344500,0,0.9999781,0.9999781,1.0,4344595,4344595,0.9999781337500964,23
