genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
bin.382.fa,1_0,0.050000000000000044,average,ANImf,1
bin.40.fa,2_0,0.050000000000000044,average,ANImf,2
bin.149.fa,3_0,0.050000000000000044,average,ANImf,3
bin.315.fa,4_0,0.050000000000000044,average,ANImf,4
bin.217.fa,5_0,0.050000000000000044,average,ANImf,5
bin.189.fa,6_1,0.050000000000000044,average,ANImf,6
bin.9.fa,6_2,0.050000000000000044,average,ANImf,6
bin.352.fa,6_3,0.050000000000000044,average,ANImf,6
bin.199.fa,7_0,0.050000000000000044,average,ANImf,7
bin.389.fa,8_0,0.050000000000000044,average,ANImf,8
bin.28.fa,9_0,0.050000000000000044,average,ANImf,9
bin.77.fa,10_0,0.050000000000000044,average,ANImf,10
bin.37.fa,11_0,0.050000000000000044,average,ANImf,11
bin.180.fa,12_0,0.050000000000000044,average,ANImf,12
bin.280.fa,13_0,0.050000000000000044,average,ANImf,13
bin.132.fa,14_0,0.050000000000000044,average,ANImf,14
bin.266.fa,15_0,0.050000000000000044,average,ANImf,15
bin.221.fa,16_0,0.050000000000000044,average,ANImf,16
bin.324.fa,17_0,0.050000000000000044,average,ANImf,17
bin.224.fa,18_0,0.050000000000000044,average,ANImf,18
bin.273.fa,19_0,0.050000000000000044,average,ANImf,19
bin.187.fa,20_0,0.050000000000000044,average,ANImf,20
bin.210.fa,21_0,0.050000000000000044,average,ANImf,21
bin.274.fa,22_0,0.050000000000000044,average,ANImf,22
bin.167.fa,23_0,0.050000000000000044,average,ANImf,23
bin.257.fa,24_0,0.050000000000000044,average,ANImf,24
bin.70.fa,25_0,0.050000000000000044,average,ANImf,25
bin.209.fa,26_0,0.050000000000000044,average,ANImf,26
bin.214.fa,27_0,0.050000000000000044,average,ANImf,27
bin.343.fa,28_0,0.050000000000000044,average,ANImf,28
bin.143.fa,29_0,0.050000000000000044,average,ANImf,29
bin.222.fa,30_0,0.050000000000000044,average,ANImf,30
bin.306.fa,31_0,0.050000000000000044,average,ANImf,31
bin.83.fa,32_0,0.050000000000000044,average,ANImf,32
bin.226.fa,33_0,0.050000000000000044,average,ANImf,33
bin.292.fa,34_0,0.050000000000000044,average,ANImf,34
bin.144.fa,35_1,0.050000000000000044,average,ANImf,35
bin.290.fa,35_2,0.050000000000000044,average,ANImf,35
bin.354.fa,35_3,0.050000000000000044,average,ANImf,35
bin.363.fa,35_4,0.050000000000000044,average,ANImf,35
bin.73.fa,35_5,0.050000000000000044,average,ANImf,35
bin.5.fa,36_0,0.050000000000000044,average,ANImf,36
bin.58.fa,37_0,0.050000000000000044,average,ANImf,37
bin.275.fa,38_0,0.050000000000000044,average,ANImf,38
bin.304.fa,39_0,0.050000000000000044,average,ANImf,39
bin.358.fa,40_0,0.050000000000000044,average,ANImf,40
bin.118.fa,41_0,0.050000000000000044,average,ANImf,41
bin.289.fa,42_0,0.050000000000000044,average,ANImf,42
bin.341.fa,43_1,0.050000000000000044,average,ANImf,43
bin.54.fa,43_2,0.050000000000000044,average,ANImf,43
bin.216.fa,44_0,0.050000000000000044,average,ANImf,44
bin.298.fa,45_0,0.050000000000000044,average,ANImf,45
bin.145.fa,46_0,0.050000000000000044,average,ANImf,46
bin.191.fa,47_0,0.050000000000000044,average,ANImf,47
bin.66.fa,48_0,0.050000000000000044,average,ANImf,48
bin.112.fa,49_0,0.050000000000000044,average,ANImf,49
bin.94.fa,50_0,0.050000000000000044,average,ANImf,50
bin.186.fa,51_0,0.050000000000000044,average,ANImf,51
bin.377.fa,52_0,0.050000000000000044,average,ANImf,52
bin.388.fa,53_0,0.050000000000000044,average,ANImf,53
bin.35.fa,54_0,0.050000000000000044,average,ANImf,54
bin.129.fa,55_1,0.050000000000000044,average,ANImf,55
bin.211.fa,55_2,0.050000000000000044,average,ANImf,55
bin.100.fa,56_0,0.050000000000000044,average,ANImf,56
bin.11.fa,57_0,0.050000000000000044,average,ANImf,57
bin.338.fa,58_1,0.050000000000000044,average,ANImf,58
bin.45.fa,58_2,0.050000000000000044,average,ANImf,58
bin.176.fa,59_0,0.050000000000000044,average,ANImf,59
bin.334.fa,60_0,0.050000000000000044,average,ANImf,60
bin.141.fa,61_0,0.050000000000000044,average,ANImf,61
bin.148.fa,62_0,0.050000000000000044,average,ANImf,62
bin.185.fa,63_1,0.050000000000000044,average,ANImf,63
bin.264.fa,63_2,0.050000000000000044,average,ANImf,63
bin.33.fa,63_3,0.050000000000000044,average,ANImf,63
bin.165.fa,64_1,0.050000000000000044,average,ANImf,64
bin.299.fa,64_2,0.050000000000000044,average,ANImf,64
bin.80.fa,65_0,0.050000000000000044,average,ANImf,65
bin.135.fa,66_1,0.050000000000000044,average,ANImf,66
bin.175.fa,66_2,0.050000000000000044,average,ANImf,66
bin.330.fa,67_0,0.050000000000000044,average,ANImf,67
bin.374.fa,68_0,0.050000000000000044,average,ANImf,68
bin.223.fa,69_0,0.050000000000000044,average,ANImf,69
bin.166.fa,70_1,0.050000000000000044,average,ANImf,70
bin.271.fa,70_2,0.050000000000000044,average,ANImf,70
bin.86.fa,71_0,0.050000000000000044,average,ANImf,71
bin.379.fa,72_0,0.050000000000000044,average,ANImf,72
bin.174.fa,73_0,0.050000000000000044,average,ANImf,73
bin.375.fa,74_0,0.050000000000000044,average,ANImf,74
bin.68.fa,75_0,0.050000000000000044,average,ANImf,75
bin.287.fa,76_0,0.050000000000000044,average,ANImf,76
bin.173.fa,77_0,0.050000000000000044,average,ANImf,77
bin.67.fa,78_1,0.050000000000000044,average,ANImf,78
bin.92.fa,78_2,0.050000000000000044,average,ANImf,78
bin.182.fa,79_0,0.050000000000000044,average,ANImf,79
bin.234.fa,80_0,0.050000000000000044,average,ANImf,80
bin.357.fa,81_1,0.050000000000000044,average,ANImf,81
bin.63.fa,81_2,0.050000000000000044,average,ANImf,81
bin.170.fa,82_1,0.050000000000000044,average,ANImf,82
bin.256.fa,82_2,0.050000000000000044,average,ANImf,82
bin.34.fa,82_3,0.050000000000000044,average,ANImf,82
bin.233.fa,83_0,0.050000000000000044,average,ANImf,83
bin.53.fa,84_0,0.050000000000000044,average,ANImf,84
bin.115.fa,85_0,0.050000000000000044,average,ANImf,85
bin.88.fa,86_0,0.050000000000000044,average,ANImf,86
bin.319.fa,87_0,0.050000000000000044,average,ANImf,87
bin.291.fa,88_0,0.050000000000000044,average,ANImf,88
bin.372.fa,89_0,0.050000000000000044,average,ANImf,89
bin.91.fa,90_0,0.050000000000000044,average,ANImf,90
bin.126.fa,91_1,0.050000000000000044,average,ANImf,91
bin.200.fa,91_2,0.050000000000000044,average,ANImf,91
bin.380.fa,92_0,0.050000000000000044,average,ANImf,92
bin.356.fa,93_1,0.050000000000000044,average,ANImf,93
bin.49.fa,93_2,0.050000000000000044,average,ANImf,93
bin.24.fa,94_1,0.050000000000000044,average,ANImf,94
bin.246.fa,94_2,0.050000000000000044,average,ANImf,94
bin.87.fa,94_3,0.050000000000000044,average,ANImf,94
bin.107.fa,95_1,0.050000000000000044,average,ANImf,95
bin.212.fa,95_2,0.050000000000000044,average,ANImf,95
bin.381.fa,95_3,0.050000000000000044,average,ANImf,95
bin.385.fa,95_4,0.050000000000000044,average,ANImf,95
bin.251.fa,96_0,0.050000000000000044,average,ANImf,96
bin.312.fa,97_0,0.050000000000000044,average,ANImf,97
bin.265.fa,98_0,0.050000000000000044,average,ANImf,98
bin.203.fa,99_0,0.050000000000000044,average,ANImf,99
bin.108.fa,100_0,0.050000000000000044,average,ANImf,100
bin.204.fa,101_0,0.050000000000000044,average,ANImf,101
bin.133.fa,102_0,0.050000000000000044,average,ANImf,102
